DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-03-31 00:00:00;1;1;1;1;0;0;1;1;0;0
2020-03-31 00:15:00;1;3;3;2;0;0;0;1;0;0
2020-03-31 00:30:00;0;0;0;0;0;0;1;0;0;0
2020-03-31 00:45:00;0;0;2;3;0;0;1;0;0;0
2020-03-31 01:00:00;2;2;1;2;0;0;0;0;0;0
2020-03-31 01:15:00;2;2;0;0;0;0;0;0;0;0
2020-03-31 01:30:00;0;0;1;1;0;0;0;0;0;0
2020-03-31 01:45:00;1;2;1;0;0;0;0;1;0;0
2020-03-31 02:00:00;1;2;3;1;0;0;0;0;0;0
2020-03-31 02:15:00;1;1;1;0;0;0;0;1;0;0
2020-03-31 02:30:00;1;1;3;1;0;0;0;0;0;0
2020-03-31 02:45:00;0;0;2;0;0;0;0;0;0;0
2020-03-31 03:00:00;3;3;0;0;0;0;0;2;0;0
2020-03-31 03:15:00;2;2;1;2;0;0;0;0;0;0
2020-03-31 03:30:00;3;3;1;0;0;0;0;0;0;0
2020-03-31 03:45:00;3;3;4;3;0;0;0;0;0;0
2020-03-31 04:00:00;5;7;2;0;0;0;0;0;0;0
2020-03-31 04:15:00;4;3;1;0;0;0;0;0;0;0
2020-03-31 04:30:00;4;4;1;0;0;0;0;1;0;0
2020-03-31 04:45:00;5;5;3;0;0;0;0;0;0;0
2020-03-31 05:00:00;9;8;5;1;0;0;1;1;0;0
2020-03-31 05:15:00;13;10;10;1;0;0;0;1;0;0
2020-03-31 05:30:00;13;8;27;3;0;0;0;3;0;0
2020-03-31 05:45:00;24;11;25;4;1;0;1;2;0;0
2020-03-31 06:00:00;12;11;25;1;0;0;2;1;0;0
2020-03-31 06:15:00;28;16;31;1;1;0;2;2;0;0
2020-03-31 06:30:00;40;36;44;2;0;0;1;1;0;0
2020-03-31 06:45:00;22;25;38;2;1;0;3;3;0;0
2020-03-31 07:00:00;30;22;32;3;2;1;4;4;0;0
2020-03-31 07:15:00;39;19;36;4;1;2;0;1;0;0
2020-03-31 07:30:00;31;26;40;3;3;2;2;6;0;0
2020-03-31 07:45:00;35;27;38;5;1;2;3;3;0;0
2020-03-31 08:00:00;33;27;34;4;1;1;2;4;0;3
2020-03-31 08:15:00;19;16;37;0;3;4;4;2;0;0
2020-03-31 08:30:00;25;24;30;4;0;1;8;7;0;0
2020-03-31 08:45:00;25;24;33;2;4;3;5;2;0;0
2020-03-31 09:00:00;18;24;18;1;0;3;5;3;0;0
2020-03-31 09:15:00;17;21;28;3;2;3;5;9;0;0
2020-03-31 09:30:00;17;39;33;2;4;1;4;5;0;0
2020-03-31 09:45:00;27;39;30;3;2;1;6;8;1;1
2020-03-31 10:00:00;20;33;37;4;4;4;7;11;0;0
2020-03-31 10:15:00;14;20;40;2;1;3;9;8;3;0
2020-03-31 10:30:00;32;36;30;5;2;3;7;9;0;0
2020-03-31 10:45:00;29;32;48;3;7;3;4;9;1;0
2020-03-31 11:00:00;28;27;40;1;2;5;7;7;0;0
2020-03-31 11:15:00;22;32;55;4;6;4;3;5;1;0
2020-03-31 11:30:00;32;34;37;4;3;5;9;7;0;4
2020-03-31 11:45:00;24;39;47;3;3;9;10;9;2;0
2020-03-31 12:00:00;30;35;38;4;3;5;3;15;0;0
2020-03-31 12:15:00;31;40;42;8;3;4;5;10;0;0
