DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2020-09-29 00:00:00;1;4;0;0;4;3;0;0
2020-09-29 00:15:00;3;1;1;0;4;4;0;0
2020-09-29 00:30:00;1;3;0;0;1;4;0;0
2020-09-29 00:45:00;4;2;0;0;4;4;0;0
2020-09-29 01:00:00;2;4;0;0;2;3;0;0
2020-09-29 01:15:00;3;6;0;0;1;4;0;0
2020-09-29 01:30:00;1;0;0;0;1;3;0;0
2020-09-29 01:45:00;3;2;0;0;1;3;0;0
2020-09-29 02:00:00;2;3;0;0;2;2;0;0
2020-09-29 02:15:00;1;2;0;0;3;5;0;0
2020-09-29 02:30:00;1;0;1;0;2;3;0;0
2020-09-29 02:45:00;3;5;0;0;1;0;0;0
2020-09-29 03:00:00;0;1;1;0;2;2;0;0
2020-09-29 03:15:00;4;2;0;0;2;1;0;0
2020-09-29 03:30:00;3;3;0;0;5;0;0;0
2020-09-29 03:45:00;5;1;0;0;0;5;0;0
2020-09-29 04:00:00;1;3;0;0;3;2;0;0
2020-09-29 04:15:00;1;4;0;0;2;6;0;0
2020-09-29 04:30:00;5;5;0;0;3;6;0;0
2020-09-29 04:45:00;2;7;0;0;7;19;0;1
2020-09-29 05:00:00;5;7;1;0;28;44;10;0
2020-09-29 05:15:00;14;25;1;0;70;108;16;0
2020-09-29 05:30:00;39;47;6;0;74;87;7;10
2020-09-29 05:45:00;70;112;1;0;83;68;8;13
2020-09-29 06:00:00;101;158;5;0;49;40;2;12
2020-09-29 06:15:00;37;75;1;0;53;48;13;5
2020-09-29 06:30:00;30;77;2;0;74;59;12;6
2020-09-29 06:45:00;39;80;0;0;67;55;9;0
2020-09-29 07:00:00;37;68;6;0;51;58;18;1
2020-09-29 07:15:00;58;107;8;0;68;63;16;0
2020-09-29 07:30:00;46;100;7;0;78;70;27;1
2020-09-29 07:45:00;38;100;10;0;72;79;8;10
2020-09-29 08:00:00;28;69;5;0;76;78;22;2
2020-09-29 08:15:00;41;79;9;0;66;59;16;2
2020-09-29 08:30:00;33;47;9;0;56;50;13;0
2020-09-29 08:45:00;32;50;13;0;34;38;8;0
2020-09-29 09:00:00;37;41;8;0;36;33;0;1
2020-09-29 09:15:00;30;50;10;0;34;32;7;4
2020-09-29 09:30:00;26;46;13;0;35;27;9;1
2020-09-29 09:45:00;21;38;10;0;50;30;7;2
2020-09-29 10:00:00;24;48;13;0;40;21;3;4
2020-09-29 10:15:00;22;43;16;0;39;38;5;1
2020-09-29 10:30:00;28;35;11;0;34;34;5;1
2020-09-29 10:45:00;25;53;10;0;28;26;3;0
2020-09-29 11:00:00;24;30;10;0;35;24;2;1
2020-09-29 11:15:00;29;45;9;0;28;19;5;3
2020-09-29 11:30:00;32;43;12;0;34;33;1;2
2020-09-29 11:45:00;27;41;12;0;35;38;2;5
2020-09-29 12:00:00;34;38;10;0;32;34;5;10
2020-09-29 12:15:00;30;31;9;0;42;42;9;6
2020-09-29 12:30:00;28;51;15;0;46;41;10;14
2020-09-29 12:45:00;33;44;12;0;57;65;15;33
2020-09-29 13:00:00;43;44;8;0;57;51;11;4
2020-09-29 13:15:00;36;51;10;0;85;98;12;6
2020-09-29 13:30:00;34;67;7;0;99;109;18;8
2020-09-29 13:45:00;62;77;8;0;90;97;15;10
2020-09-29 14:00:00;111;118;13;0;98;91;11;16
2020-09-29 14:15:00;107;138;16;0;56;43;2;13
2020-09-29 14:30:00;47;68;7;0;56;48;4;25
2020-09-29 14:45:00;67;73;10;0;53;39;1;17
2020-09-29 15:00:00;50;64;8;0;58;39;1;20
2020-09-29 15:15:00;48;84;10;0;69;51;0;11
2020-09-29 15:30:00;36;71;5;0;59;44;0;17
2020-09-29 15:45:00;45;56;12;0;67;43;0;21
2020-09-29 16:00:00;60;59;11;0;73;23;0;20
2020-09-29 16:15:00;53;57;8;0;81;45;0;11
2020-09-29 16:30:00;57;67;8;0;69;32;2;8
2020-09-29 16:45:00;56;74;9;0;73;48;14;9
2020-09-29 17:00:00;60;76;10;0;71;41;0;9
2020-09-29 17:15:00;42;53;6;0;56;38;5;9
2020-09-29 17:30:00;48;58;7;0;50;48;0;8
2020-09-29 17:45:00;45;51;9;0;48;34;0;8
2020-09-29 18:00:00;31;38;6;0;35;25;1;5
2020-09-29 18:15:00;29;39;9;0;51;32;0;4
2020-09-29 18:30:00;28;40;11;0;38;32;0;3
2020-09-29 18:45:00;32;30;3;0;35;17;1;2
