DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-05-14 00:00:00;3;8;7;11;9;0;0;0;0;0;0;0;0
2020-05-14 00:15:00;1;8;3;10;3;2;0;0;0;0;0;0;0
2020-05-14 00:30:00;0;3;5;15;5;0;0;0;0;0;0;0;0
2020-05-14 00:45:00;3;4;3;9;7;1;0;0;0;0;0;0;0
2020-05-14 01:00:00;1;3;4;6;7;0;0;0;0;0;0;0;0
2020-05-14 01:15:00;2;5;4;7;1;0;0;0;0;0;0;0;0
2020-05-14 01:30:00;1;1;0;1;1;0;0;0;0;0;0;0;0
2020-05-14 01:45:00;2;3;1;8;6;0;0;0;0;0;0;0;0
2020-05-14 02:00:00;1;3;3;8;1;0;0;0;0;0;0;0;0
2020-05-14 02:15:00;2;1;2;9;5;0;0;0;0;0;0;0;0
2020-05-14 02:30:00;1;6;1;7;2;0;0;0;0;0;0;0;0
2020-05-14 02:45:00;0;3;5;3;3;0;0;0;0;0;0;0;0
2020-05-14 03:00:00;0;4;3;5;3;0;0;0;0;0;0;0;0
2020-05-14 03:15:00;2;4;1;2;5;0;0;0;0;0;0;0;0
2020-05-14 03:30:00;2;4;0;3;2;0;0;0;0;0;0;0;0
2020-05-14 03:45:00;3;3;1;2;3;0;0;0;0;0;0;0;0
2020-05-14 04:00:00;0;6;2;3;2;0;0;0;0;0;0;0;0
2020-05-14 04:15:00;5;8;1;9;4;0;0;0;0;0;0;0;0
2020-05-14 04:30:00;6;8;1;14;9;0;0;0;0;0;0;0;0
2020-05-14 04:45:00;4;23;8;28;12;0;0;0;0;0;0;0;0
2020-05-14 05:00:00;16;45;5;43;31;0;0;1;0;0;0;0;0
2020-05-14 05:15:00;14;56;8;84;83;0;0;0;0;0;0;0;0
2020-05-14 05:30:00;8;25;15;69;84;0;0;0;0;0;0;0;0
2020-05-14 05:45:00;20;37;18;71;79;3;0;0;0;0;0;0;0
2020-05-14 06:00:00;8;31;18;61;44;4;0;0;3;0;0;0;0
2020-05-14 06:15:00;18;32;18;81;82;3;0;0;0;0;0;0;0
2020-05-14 06:30:00;20;53;22;89;91;3;0;0;1;1;0;0;0
2020-05-14 06:45:00;24;58;34;107;111;9;0;0;0;0;0;0;0
2020-05-14 07:00:00;19;42;35;82;84;7;0;0;0;0;0;0;0
2020-05-14 07:15:00;36;67;32;112;111;10;0;0;0;0;0;0;0
2020-05-14 07:30:00;30;58;49;109;116;11;0;1;20;14;0;0;0
2020-05-14 07:45:00;50;78;31;104;106;15;0;1;0;0;0;0;0
2020-05-14 08:00:00;32;67;44;86;95;20;0;1;4;0;0;0;0
2020-05-14 08:15:00;40;63;28;82;78;18;0;1;1;0;0;0;0
2020-05-14 08:30:00;37;50;42;89;71;17;0;2;0;0;3;0;10
2020-05-14 08:45:00;49;45;38;86;86;18;0;1;7;0;0;0;0
2020-05-14 09:00:00;46;49;51;83;69;19;0;2;5;3;0;0;0
2020-05-14 09:15:00;35;58;41;75;84;20;0;0;6;0;0;0;0
2020-05-14 09:30:00;29;43;35;63;65;9;0;0;9;0;4;1;0
2020-05-14 09:45:00;24;33;16;33;29;9;0;2;0;0;0;0;0
2020-05-14 10:00:00;40;63;42;91;70;19;0;1;1;0;0;0;0
2020-05-14 10:15:00;37;63;48;93;57;23;0;1;2;0;0;0;0
2020-05-14 10:30:00;53;69;47;106;81;20;0;0;2;0;0;0;0
2020-05-14 10:45:00;57;78;40;105;81;25;0;0;1;0;0;0;0
2020-05-14 11:00:00;40;69;47;85;60;20;0;1;1;0;0;0;0
2020-05-14 11:15:00;40;68;38;100;73;22;0;0;1;0;0;0;0
2020-05-14 11:30:00;54;82;49;104;84;29;0;2;1;1;0;0;0
2020-05-14 11:45:00;46;72;46;105;73;24;0;0;6;0;0;0;0
2020-05-14 12:00:00;49;90;36;113;83;21;0;1;0;0;0;0;0
2020-05-14 12:15:00;57;80;47;87;99;30;0;0;9;0;1;0;55
2020-05-14 12:30:00;47;70;36;98;101;23;0;3;7;0;0;0;11
2020-05-14 12:45:00;48;74;44;85;84;19;0;1;7;0;0;0;0
2020-05-14 13:00:00;42;68;36;107;74;26;0;0;1;0;0;0;0
2020-05-14 13:15:00;47;74;39;99;89;27;0;1;5;0;0;0;0
