DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2020-02-15 00:00:00;32;16;0;0;0;19;15;0;0
2020-02-15 00:15:00;28;14;0;0;0;28;14;0;1
2020-02-15 00:30:00;23;19;0;0;0;15;17;0;0
2020-02-15 00:45:00;19;13;1;0;0;18;10;0;0
2020-02-15 01:00:00;18;15;1;0;0;22;23;0;0
2020-02-15 01:15:00;18;8;0;0;0;9;4;0;0
2020-02-15 01:30:00;27;7;0;0;0;9;8;0;0
2020-02-15 01:45:00;20;13;1;0;0;14;6;0;0
2020-02-15 02:00:00;26;12;0;0;0;10;7;0;0
2020-02-15 02:15:00;11;8;0;0;0;7;7;0;0
2020-02-15 02:30:00;11;9;0;0;0;13;2;0;0
2020-02-15 02:45:00;9;7;0;0;0;9;4;0;0
2020-02-15 03:00:00;7;9;0;1;0;16;4;0;1
2020-02-15 03:15:00;7;7;0;0;0;9;6;0;2
2020-02-15 03:30:00;16;8;1;0;0;6;3;0;0
2020-02-15 03:45:00;12;6;0;1;0;11;5;0;0
2020-02-15 04:00:00;10;10;0;0;1;9;5;0;0
2020-02-15 04:15:00;6;7;1;0;1;8;2;0;0
2020-02-15 04:30:00;10;11;1;0;0;12;7;0;0
2020-02-15 04:45:00;11;9;0;0;1;21;11;0;0
2020-02-15 05:00:00;20;12;2;1;0;73;30;0;0
2020-02-15 05:15:00;28;20;0;1;2;86;40;0;0
2020-02-15 05:30:00;38;29;1;0;1;96;68;0;3
2020-02-15 05:45:00;79;78;0;0;3;50;31;0;5
2020-02-15 06:00:00;109;88;2;1;2;40;29;0;0
2020-02-15 06:15:00;56;48;3;0;0;28;26;0;0
2020-02-15 06:30:00;39;38;2;2;2;40;31;0;1
2020-02-15 06:45:00;29;30;0;0;1;32;29;0;3
2020-02-15 07:00:00;34;31;2;1;6;42;18;0;0
2020-02-15 07:15:00;39;29;3;7;3;48;29;1;0
2020-02-15 07:30:00;42;48;3;3;4;59;43;0;0
2020-02-15 07:45:00;54;59;3;1;2;53;43;3;0
2020-02-15 08:00:00;52;45;3;7;4;44;28;3;0
2020-02-15 08:15:00;49;44;0;9;6;43;42;5;2
2020-02-15 08:30:00;53;45;2;6;2;54;59;7;1
2020-02-15 08:45:00;65;52;6;5;13;66;68;1;1
2020-02-15 09:00:00;56;58;5;9;14;74;92;1;5
2020-02-15 09:15:00;90;72;7;6;20;73;107;51;0
2020-02-15 09:30:00;94;78;8;20;13;93;101;5;1
2020-02-15 09:45:00;105;89;10;17;18;98;126;5;3
2020-02-15 10:00:00;109;106;13;18;21;101;110;6;0
2020-02-15 10:15:00;125;92;10;25;19;100;116;3;4
2020-02-15 10:30:00;92;106;10;28;19;102;136;1;1
2020-02-15 10:45:00;119;98;10;25;18;100;133;7;1
2020-02-15 11:00:00;127;106;11;19;25;101;129;6;3
2020-02-15 11:15:00;111;102;10;24;19;108;112;71;2
2020-02-15 11:30:00;132;131;16;28;22;104;136;6;6
2020-02-15 11:45:00;117;135;12;28;14;113;127;7;2
2020-02-15 12:00:00;137;128;13;37;20;118;120;6;5
2020-02-15 12:15:00;122;119;17;33;21;112;145;38;2
2020-02-15 12:30:00;136;133;12;20;9;118;141;19;3
2020-02-15 12:45:00;135;147;10;24;19;125;128;11;2
2020-02-15 13:00:00;134;133;19;18;20;125;148;5;1
2020-02-15 13:15:00;134;141;7;45;14;127;140;29;4
2020-02-15 13:30:00;138;140;12;30;11;115;129;3;1
2020-02-15 13:45:00;140;140;12;23;17;129;145;20;0
2020-02-15 14:00:00;154;136;12;23;13;138;151;27;4
2020-02-15 14:15:00;167;168;12;27;13;137;134;8;2
2020-02-15 14:30:00;196;162;13;28;16;128;176;9;2
2020-02-15 14:45:00;153;167;13;19;13;132;144;9;1
2020-02-15 15:00:00;159;145;11;20;17;117;141;7;0
2020-02-15 15:15:00;152;135;7;21;15;118;113;5;2
2020-02-15 15:30:00;128;152;8;30;15;122;135;7;0
2020-02-15 15:45:00;121;132;10;23;13;126;133;21;2
2020-02-15 16:00:00;135;113;10;21;18;106;136;16;1
2020-02-15 16:15:00;130;132;10;19;18;125;137;7;1
2020-02-15 16:30:00;125;138;8;28;9;124;133;22;2
2020-02-15 16:45:00;131;132;16;24;13;135;142;1;2
2020-02-15 17:00:00;136;149;14;22;16;117;121;3;2
2020-02-15 17:15:00;114;121;12;17;7;114;127;9;3
2020-02-15 17:30:00;141;153;9;23;9;113;127;4;4
2020-02-15 17:45:00;143;157;12;16;9;114;143;2;0
2020-02-15 18:00:00;138;139;7;13;9;119;140;3;6
2020-02-15 18:15:00;137;122;4;21;7;118;143;0;7
2020-02-15 18:30:00;108;95;4;20;5;108;110;3;1
2020-02-15 18:45:00;115;116;2;17;2;120;110;3;0
2020-02-15 19:00:00;134;115;2;13;2;105;102;2;0
2020-02-15 19:15:00;97;98;0;7;3;89;96;24;4
2020-02-15 19:30:00;96;99;2;0;2;76;81;0;0
2020-02-15 19:45:00;105;111;1;4;5;79;74;0;0
2020-02-15 20:00:00;109;115;3;2;2;84;77;0;3
2020-02-15 20:15:00;90;131;2;1;2;84;63;0;0
2020-02-15 20:30:00;51;51;0;2;0;49;47;0;3
2020-02-15 20:45:00;73;43;2;1;1;59;60;0;2
2020-02-15 21:00:00;59;45;2;2;1;69;49;0;2
2020-02-15 21:15:00;62;50;0;0;0;72;62;0;0
2020-02-15 21:30:00;41;47;1;0;2;59;48;0;0
2020-02-15 21:45:00;59;42;1;2;0;45;43;0;0
2020-02-15 22:00:00;66;54;0;3;0;43;40;0;0
2020-02-15 22:15:00;68;74;2;2;2;44;38;0;0
2020-02-15 22:30:00;42;46;0;2;0;41;38;0;0
2020-02-15 22:45:00;42;39;2;1;2;55;40;0;0
2020-02-15 23:00:00;40;28;1;1;0;38;27;0;0
2020-02-15 23:15:00;41;29;0;1;0;42;28;0;0
2020-02-15 23:30:00;34;29;0;0;0;33;23;0;3
2020-02-15 23:45:00;40;34;0;1;1;36;28;0;0
