DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2020-03-10 00:00:00;7;10;5;1;8;6;3;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 00:15:00;5;9;6;0;6;4;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 00:30:00;8;9;4;0;7;10;2;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 00:45:00;6;11;8;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 01:00:00;4;5;2;0;3;4;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 01:15:00;4;5;2;1;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 01:30:00;3;4;3;0;4;5;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 01:45:00;4;5;4;0;5;6;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 02:00:00;3;3;0;0;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 02:15:00;1;2;2;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 02:30:00;3;5;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 02:45:00;4;6;5;0;8;9;2;5;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 03:00:00;2;3;2;0;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 03:15:00;2;3;2;1;5;5;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 03:30:00;5;4;1;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 03:45:00;6;8;4;0;4;5;4;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 04:00:00;5;5;4;1;4;6;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 04:15:00;11;10;1;1;12;6;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-10 04:30:00;24;18;3;1;8;9;2;4;0;0;0;0;0;0;0;0;0;0;0
