DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-09-01 00:00:00;17;12;6;7;11;7;0;7
2019-09-01 00:15:00;18;13;12;7;10;12;0;6
2019-09-01 00:30:00;6;4;3;6;9;13;0;8
2019-09-01 00:45:00;15;9;4;4;9;10;0;9
2019-09-01 01:00:00;13;4;4;4;3;8;0;5
2019-09-01 01:15:00;7;11;10;9;10;7;0;6
2019-09-01 01:30:00;9;4;6;9;8;3;0;8
2019-09-01 01:45:00;10;6;5;2;5;4;0;2
2019-09-01 02:00:00;6;3;3;6;6;3;0;1
2019-09-01 02:15:00;7;6;4;3;5;8;0;4
2019-09-01 02:30:00;4;2;1;4;2;5;0;0
2019-09-01 02:45:00;5;5;5;5;1;6;0;4
2019-09-01 03:00:00;6;7;1;5;5;4;0;5
2019-09-01 03:15:00;3;7;4;2;3;12;0;6
2019-09-01 03:30:00;4;1;1;2;2;4;0;1
2019-09-01 03:45:00;5;5;3;6;6;8;0;3
2019-09-01 04:00:00;3;8;4;2;4;4;0;1
2019-09-01 04:15:00;6;5;4;2;2;4;0;1
2019-09-01 04:30:00;8;3;0;2;1;2;0;3
2019-09-01 04:45:00;6;7;3;1;1;3;0;2
2019-09-01 05:00:00;5;2;2;5;5;1;0;2
2019-09-01 05:15:00;4;5;5;4;5;4;0;3
2019-09-01 05:30:00;10;1;4;4;5;6;0;4
2019-09-01 05:45:00;10;8;3;3;3;4;0;7
2019-09-01 06:00:00;4;8;1;1;4;1;0;2
2019-09-01 06:15:00;6;2;0;2;0;3;0;3
2019-09-01 06:30:00;7;2;3;5;1;3;0;5
2019-09-01 06:45:00;4;4;4;1;1;2;0;2
2019-09-01 07:00:00;8;6;2;2;2;3;0;2
2019-09-01 07:15:00;12;5;2;1;1;3;0;5
2019-09-01 07:30:00;11;7;2;1;4;4;0;2
2019-09-01 07:45:00;24;9;1;10;5;5;0;4
2019-09-01 08:00:00;6;2;1;7;7;3;0;4
2019-09-01 08:15:00;11;9;4;6;5;6;0;9
2019-09-01 08:30:00;17;6;7;7;7;5;0;2
2019-09-01 08:45:00;12;10;9;8;7;6;0;5
2019-09-01 09:00:00;17;21;15;13;9;6;0;12
2019-09-01 09:15:00;24;14;13;5;11;4;0;9
2019-09-01 09:30:00;18;18;12;13;15;8;0;10
2019-09-01 09:45:00;18;11;10;12;15;13;0;12
2019-09-01 10:00:00;20;16;11;14;15;11;0;17
2019-09-01 10:15:00;29;22;13;12;16;5;0;13
