DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-12-22 00:00:00;0;1;1;0;0;2;1;0;0
2020-12-22 00:15:00;2;4;2;0;0;1;3;0;0
2020-12-22 00:30:00;1;2;2;0;0;2;1;0;0
2020-12-22 00:45:00;5;1;2;0;0;1;1;0;0
2020-12-22 01:00:00;0;0;0;0;0;0;0;0;0
2020-12-22 01:15:00;3;2;1;0;0;1;1;0;0
2020-12-22 01:30:00;0;0;1;0;0;4;2;0;0
2020-12-22 01:45:00;0;1;2;1;0;1;1;0;1
2020-12-22 02:00:00;1;2;3;1;0;3;3;0;0
2020-12-22 02:15:00;7;2;3;2;0;10;7;0;0
2020-12-22 02:30:00;0;1;2;2;1;5;2;0;1
2020-12-22 02:45:00;1;0;1;0;0;6;6;0;0
2020-12-22 03:00:00;2;2;3;2;0;4;4;0;0
2020-12-22 03:15:00;0;2;1;1;1;7;2;0;0
2020-12-22 03:30:00;3;2;3;2;0;5;1;0;1
2020-12-22 03:45:00;1;1;4;1;0;8;3;0;0
2020-12-22 04:00:00;6;2;2;0;0;6;5;0;0
2020-12-22 04:15:00;3;1;2;0;0;7;2;0;0
2020-12-22 04:30:00;2;5;8;3;1;15;6;1;0
2020-12-22 04:45:00;11;6;10;4;1;20;9;1;1
2020-12-22 05:00:00;7;10;9;5;2;20;9;1;1
2020-12-22 05:15:00;13;9;10;2;0;34;14;1;1
2020-12-22 05:30:00;22;15;20;8;1;33;20;1;1
2020-12-22 05:45:00;27;18;23;5;2;37;20;5;9
2020-12-22 06:00:00;23;26;23;9;5;28;15;0;1
2020-12-22 06:15:00;33;33;26;5;3;41;24;2;5
2020-12-22 06:30:00;33;44;37;3;9;36;29;5;11
2020-12-22 06:45:00;57;55;52;12;8;55;52;11;15
2020-12-22 07:00:00;51;62;48;16;10;48;48;8;11
2020-12-22 07:15:00;61;51;38;15;13;51;46;10;16
2020-12-22 07:30:00;67;72;50;15;13;45;36;11;12
2020-12-22 07:45:00;68;82;58;15;11;70;44;7;16
2020-12-22 08:00:00;53;46;39;9;9;62;41;3;9
2020-12-22 08:15:00;56;56;43;9;7;54;36;8;12
2020-12-22 08:30:00;59;56;58;12;9;63;51;7;167
2020-12-22 08:45:00;67;53;60;16;10;53;58;11;13
2020-12-22 09:00:00;56;61;82;17;11;64;53;8;16
2020-12-22 09:15:00;56;71;80;21;11;36;82;12;15
2020-12-22 09:30:00;73;60;51;21;10;77;58;12;16
2020-12-22 09:45:00;69;63;78;21;12;71;69;14;23
2020-12-22 10:00:00;64;60;53;18;8;69;54;9;13
2020-12-22 10:15:00;52;50;52;14;11;71;56;12;18
2020-12-22 10:30:00;71;66;57;9;13;67;52;12;14
2020-12-22 10:45:00;66;60;74;20;11;95;54;15;18
2020-12-22 11:00:00;68;64;75;20;13;88;75;13;15
2020-12-22 11:15:00;75;73;82;26;11;70;75;14;21
2020-12-22 11:30:00;73;72;74;17;12;76;60;14;24
2020-12-22 11:45:00;72;82;75;19;12;74;58;10;21
2020-12-22 12:00:00;61;57;63;23;13;94;68;13;18
2020-12-22 12:15:00;72;71;63;15;14;74;59;9;13
2020-12-22 12:30:00;55;84;73;16;13;65;63;15;13
2020-12-22 12:45:00;57;68;72;23;18;73;73;18;25
2020-12-22 13:00:00;58;49;62;17;7;79;71;10;13
2020-12-22 13:15:00;81;83;64;22;11;76;74;12;16
2020-12-22 13:30:00;85;64;61;17;15;80;70;12;25
2020-12-22 13:45:00;74;89;64;25;12;68;67;14;15
2020-12-22 14:00:00;77;75;54;19;12;71;81;11;16
2020-12-22 14:15:00;89;102;73;32;17;86;62;23;26
2020-12-22 14:30:00;83;77;68;21;13;83;71;18;23
2020-12-22 14:45:00;98;75;69;19;12;91;69;14;16
2020-12-22 15:00:00;65;86;69;28;17;78;58;23;23
2020-12-22 15:15:00;77;75;71;23;12;80;64;15;20
2020-12-22 15:30:00;70;98;54;23;17;83;75;18;19
2020-12-22 15:45:00;81;98;61;30;14;87;70;10;17
2020-12-22 16:00:00;73;69;62;22;15;67;73;10;20
2020-12-22 16:15:00;83;99;62;30;12;92;92;18;25
2020-12-22 16:30:00;77;113;61;29;20;79;74;20;32
2020-12-22 16:45:00;69;90;77;27;16;70;74;13;21
2020-12-22 17:00:00;86;84;67;23;14;67;73;12;22
2020-12-22 17:15:00;61;67;57;17;14;65;53;15;14
2020-12-22 17:30:00;75;66;73;16;11;67;52;6;16
2020-12-22 17:45:00;60;77;52;25;21;45;49;10;18
2020-12-22 18:00:00;55;59;48;14;16;62;47;10;14
2020-12-22 18:15:00;47;53;43;19;8;42;46;4;9
2020-12-22 18:30:00;43;41;34;11;11;53;43;7;17
2020-12-22 18:45:00;33;49;44;17;15;36;47;9;13
2020-12-22 19:00:00;35;35;43;16;12;55;37;5;16
2020-12-22 19:15:00;33;44;38;11;13;42;28;4;8
2020-12-22 19:30:00;32;30;23;17;15;34;24;2;7
2020-12-22 19:45:00;28;24;22;8;13;36;15;4;8
2020-12-22 20:00:00;31;32;26;7;11;24;24;6;13
2020-12-22 20:15:00;36;34;30;12;13;22;18;2;5
2020-12-22 20:30:00;22;27;26;7;13;20;17;2;7
2020-12-22 20:45:00;23;26;17;7;11;18;8;3;4
2020-12-22 21:00:00;13;24;18;10;7;18;18;1;3
2020-12-22 21:15:00;8;11;11;8;2;8;2;2;4
2020-12-22 21:30:00;12;7;8;1;0;7;6;0;0
2020-12-22 21:45:00;8;6;5;0;3;9;6;6;7
2020-12-22 22:00:00;5;9;5;3;3;7;3;1;1
2020-12-22 22:15:00;4;10;10;6;3;3;3;0;0
2020-12-22 22:30:00;7;4;6;2;2;4;3;1;1
2020-12-22 22:45:00;5;3;1;0;0;6;1;0;0
2020-12-22 23:00:00;4;5;6;2;1;5;1;0;0
2020-12-22 23:15:00;7;4;4;1;2;5;3;0;0
2020-12-22 23:30:00;6;4;6;2;0;0;3;0;1
