DATUM;1(DA1);2(DC1);3(TAFGA);4(TAFBA)
2020-06-18 00:00:00;0;0;0;0
2020-06-18 00:15:00;0;0;0;0
2020-06-18 00:30:00;0;0;0;0
2020-06-18 00:45:00;0;0;0;0
2020-06-18 01:00:00;0;0;0;0
2020-06-18 01:15:00;0;0;0;0
2020-06-18 01:30:00;0;0;0;0
2020-06-18 01:45:00;0;0;0;0
2020-06-18 02:00:00;0;0;0;0
2020-06-18 02:15:00;0;0;0;0
2020-06-18 02:30:00;0;0;0;0
2020-06-18 02:45:00;0;0;0;0
2020-06-18 03:00:00;0;0;0;0
2020-06-18 03:15:00;0;0;0;0
2020-06-18 03:30:00;0;0;0;0
2020-06-18 03:45:00;0;0;0;0
2020-06-18 04:00:00;0;0;0;0
2020-06-18 04:15:00;0;0;0;0
2020-06-18 04:30:00;0;0;0;0
2020-06-18 05:00:00;0;0;0;0
2020-06-18 05:15:00;0;0;0;0
2020-06-18 05:30:00;0;0;0;0
2020-06-18 05:45:00;0;0;0;0
2020-06-18 06:00:00;0;0;0;0
2020-06-18 06:15:00;0;0;0;0
2020-06-18 06:30:00;0;0;0;0
2020-06-18 06:45:00;0;0;1;0
2020-06-18 07:00:00;0;0;0;0
2020-06-18 07:15:00;0;0;4;0
2020-06-18 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 07:45:00;0;0;8;2
2020-06-18 08:00:00;0;0;14;1
2020-06-18 08:15:00;0;0;3;0
2020-06-18 08:30:00;0;0;2;0
2020-06-18 08:45:00;0;0;2;0
2020-06-18 09:00:00;0;0;0;0
2020-06-18 09:15:00;0;0;2;0
2020-06-18 09:30:00;0;0;0;0
2020-06-18 09:45:00;0;0;2;0
2020-06-18 10:00:00;0;0;3;0
2020-06-18 10:15:00;0;0;0;0
2020-06-18 10:30:00;0;0;1;1
2020-06-18 10:45:00;0;0;0;0
2020-06-18 11:00:00;0;0;3;2
2020-06-18 11:15:00;0;0;7;0
2020-06-18 11:30:00;0;0;5;0
2020-06-18 11:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 12:00:00;0;0;0;0
2020-06-18 12:15:00;0;0;1;0
2020-06-18 12:30:00;0;0;1;0
2020-06-18 12:45:00;0;0;8;4
2020-06-18 13:00:00;0;0;4;0
2020-06-18 13:15:00;0;0;2;13
2020-06-18 13:30:00;0;0;4;2
2020-06-18 13:45:00;0;0;0;0
2020-06-18 14:00:00;0;0;2;0
2020-06-18 14:15:00;0;0;1;0
2020-06-18 14:30:00;0;0;5;0
2020-06-18 14:45:00;0;0;3;0
2020-06-18 15:00:00;0;0;5;0
2020-06-18 15:15:00;0;0;5;0
2020-06-18 15:30:00;0;0;5;2
2020-06-18 15:45:00;0;0;2;0
2020-06-18 16:00:00;0;0;6;0
2020-06-18 16:15:00;0;0;6;7
2020-06-18 16:30:00;0;0;5;0
2020-06-18 16:45:00;0;0;4;3
2020-06-18 17:00:00;0;0;2;4
2020-06-18 17:15:00;0;0;5;1
2020-06-18 17:30:00;0;0;5;0
2020-06-18 17:45:00;0;0;7;2
2020-06-18 18:00:00;0;0;6;1
2020-06-18 18:15:00;0;0;2;0
2020-06-18 18:30:00;0;0;7;0
2020-06-18 18:45:00;0;0;0;0
2020-06-18 19:00:00;0;0;2;1
2020-06-18 19:15:00;0;0;0;0
2020-06-18 19:30:00;0;0;0;0
2020-06-18 19:45:00;0;0;2;0
2020-06-18 20:00:00;0;0;0;0
2020-06-18 20:15:00;0;0;0;0
2020-06-18 20:30:00;0;0;0;0
2020-06-18 20:45:00;0;0;0;0
2020-06-18 21:00:00;0;0;0;0
2020-06-18 21:15:00;0;0;0;0
2020-06-18 21:30:00;0;0;0;0
2020-06-18 21:45:00;0;0;0;0
2020-06-18 22:00:00;0;0;0;0
2020-06-18 22:15:00;0;0;0;0
2020-06-18 22:30:00;0;0;0;0
2020-06-18 22:45:00;0;0;0;0
2020-06-18 23:00:00;0;0;0;0
2020-06-18 23:15:00;0;0;0;0
2020-06-18 23:30:00;0;0;0;0
2020-06-18 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
