DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-10-01 21:00:00;50;28;6;7;12;32;33;14;52;14;0;0
2020-10-01 21:15:00;48;32;4;4;7;27;30;18;28;16;0;0
2020-10-01 21:30:00;41;28;1;3;5;35;29;22;46;10;0;0
2020-10-01 21:45:00;33;13;2;7;8;25;31;21;32;10;0;0
2020-10-01 22:00:00;39;20;5;4;6;26;38;26;22;9;0;1
2020-10-01 22:15:00;37;21;2;3;7;25;30;18;22;6;0;1
2020-10-01 22:30:00;25;10;4;4;7;28;34;22;30;14;0;0
2020-10-01 22:45:00;21;15;3;2;4;13;19;12;19;8;0;0
2020-10-01 23:00:00;17;10;3;4;8;19;15;10;20;12;0;0
2020-10-01 23:15:00;13;5;1;2;1;11;12;7;9;5;0;0
2020-10-01 23:30:00;17;6;2;4;6;13;17;14;4;4;0;0
2020-10-01 23:45:00;9;11;1;3;4;7;14;11;2;2;0;0
