DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-09-06 00:00:00;8;10;6;4;2;3;0;4
2019-09-06 00:15:00;10;1;1;1;3;2;0;4
2019-09-06 00:30:00;0;0;2;4;2;0;0;4
2019-09-06 00:45:00;6;7;5;1;2;3;0;1
2019-09-06 01:00:00;3;3;1;0;0;4;0;2
2019-09-06 01:15:00;5;6;1;4;3;0;0;3
2019-09-06 01:30:00;2;2;3;1;0;2;0;4
2019-09-06 01:45:00;3;0;0;3;2;1;0;1
2019-09-06 02:00:00;2;1;1;0;1;0;0;0
2019-09-06 02:15:00;2;0;0;4;2;1;0;1
2019-09-06 02:30:00;2;0;0;1;1;3;0;2
2019-09-06 02:45:00;2;1;0;1;2;0;0;1
2019-09-06 03:00:00;1;0;0;2;3;2;0;0
2019-09-06 03:15:00;3;2;0;3;2;0;0;1
2019-09-06 03:30:00;4;3;0;1;2;0;0;2
2019-09-06 03:45:00;3;1;0;0;1;1;0;0
2019-09-06 04:00:00;1;1;0;2;0;1;0;1
2019-09-06 04:15:00;6;6;4;1;2;4;0;2
2019-09-06 04:30:00;2;2;2;4;2;3;0;1
2019-09-06 04:45:00;7;14;10;3;2;3;0;2
2019-09-06 05:00:00;12;19;26;5;4;10;0;3
2019-09-06 05:15:00;14;37;61;7;6;20;0;10
2019-09-06 05:30:00;26;39;61;12;6;17;0;14
2019-09-06 05:45:00;41;35;63;30;17;18;0;17
2019-09-06 06:00:00;25;27;40;24;16;11;0;14
2019-09-06 06:15:00;30;24;52;11;10;12;0;19
2019-09-06 06:30:00;52;38;110;19;16;33;0;30
2019-09-06 06:45:00;58;40;108;19;39;30;0;38
2019-09-06 07:00:00;54;32;86;30;19;33;0;42
2019-09-06 07:15:00;57;54;100;30;22;25;0;42
2019-09-06 07:30:00;57;61;60;23;65;30;0;44
2019-09-06 07:45:00;61;62;102;32;40;43;0;59
2019-09-06 08:00:00;66;48;93;34;95;43;0;40
2019-09-06 08:15:00;43;44;57;21;27;32;0;48
2019-09-06 08:30:00;74;51;54;30;56;33;0;30
2019-09-06 08:45:00;75;60;44;27;36;33;0;45
2019-09-06 09:00:00;52;37;32;18;64;23;0;29
2019-09-06 09:15:00;51;29;31;24;21;21;0;32
2019-09-06 09:30:00;52;42;38;28;33;23;0;32
2019-09-06 09:45:00;52;50;29;26;41;30;0;38
2019-09-06 10:00:00;56;43;19;26;32;33;0;46
2019-09-06 10:15:00;60;37;29;28;47;27;0;34
2019-09-06 10:30:00;66;49;33;29;49;25;0;41
2019-09-06 10:45:00;69;57;37;33;71;36;0;43
2019-09-06 11:00:00;68;47;29;32;43;25;0;36
2019-09-06 11:15:00;63;40;34;31;31;37;0;47
2019-09-06 11:30:00;71;49;41;39;83;33;0;49
2019-09-06 11:45:00;64;49;22;33;49;29;0;44
2019-09-06 12:00:00;57;46;46;44;36;43;0;62
2019-09-06 12:15:00;65;61;35;45;42;36;0;51
2019-09-06 12:30:00;63;54;43;45;36;38;0;60
2019-09-06 12:45:00;64;53;39;40;40;36;0;62
2019-09-06 13:00:00;51;51;33;43;68;43;0;57
2019-09-06 13:15:00;69;58;32;40;29;38;0;61
2019-09-06 13:30:00;61;62;63;48;32;54;0;48
2019-09-06 13:45:00;60;64;62;51;72;37;0;52
2019-09-06 14:00:00;50;60;41;45;61;32;0;66
2019-09-06 14:15:00;72;71;28;72;66;35;0;60
2019-09-06 14:30:00;73;70;34;69;99;30;0;49
2019-09-06 14:45:00;94;57;32;73;105;30;0;47
2019-09-06 15:00:00;69;75;36;72;75;36;0;42
2019-09-06 15:15:00;76;70;38;99;76;36;0;51
2019-09-06 15:30:00;74;60;31;76;111;33;0;49
2019-09-06 15:45:00;78;70;35;68;94;25;0;50
2019-09-06 16:00:00;86;71;28;54;55;31;0;65
2019-09-06 16:15:00;63;66;27;60;40;24;0;51
2019-09-06 16:30:00;85;52;24;63;51;24;0;41
2019-09-06 16:45:00;53;50;25;54;58;33;0;53
2019-09-06 17:00:00;60;60;24;42;36;28;0;44
2019-09-06 17:15:00;66;52;22;39;62;35;0;57
2019-09-06 17:30:00;62;43;37;37;39;38;0;57
2019-09-06 17:45:00;58;50;30;56;38;38;0;43
2019-09-06 18:00:00;65;45;24;38;26;26;0;50
2019-09-06 18:15:00;52;35;29;25;26;27;0;50
2019-09-06 18:30:00;53;31;28;34;29;32;0;35
2019-09-06 18:45:00;51;36;28;34;53;24;0;45
2019-09-06 19:00:00;47;36;26;30;18;28;0;35
2019-09-06 19:15:00;43;28;14;34;30;25;0;40
2019-09-06 19:30:00;40;21;10;18;17;18;0;27
2019-09-06 19:45:00;35;28;25;22;32;19;0;24
2019-09-06 20:00:00;34;25;18;24;22;24;0;32
2019-09-06 20:15:00;38;27;13;17;20;14;0;32
2019-09-06 20:30:00;42;27;19;25;19;21;0;23
2019-09-06 20:45:00;30;28;21;21;17;19;0;26
2019-09-06 21:00:00;35;21;22;8;11;23;0;24
2019-09-06 21:15:00;19;15;23;16;23;16;0;20
2019-09-06 21:30:00;33;16;19;21;14;18;0;12
2019-09-06 21:45:00;32;21;13;47;33;14;0;11
2019-09-06 22:00:00;36;27;17;68;59;12;0;17
2019-09-06 22:15:00;35;22;11;33;50;8;0;12
2019-09-06 22:30:00;38;27;12;15;7;11;0;17
2019-09-06 22:45:00;36;15;23;15;13;8;0;10
2019-09-06 23:00:00;31;20;18;10;9;15;0;10
2019-09-06 23:15:00;37;17;5;8;9;10;0;11
2019-09-06 23:30:00;19;14;10;2;3;15;0;5
2019-09-06 23:45:00;22;12;7;12;10;7;0;10
