DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-09-04 00:00:00;14;0;0;0;14;0;0;0;0;0;0;0;0
2020-09-04 00:15:00;12;1;0;1;15;0;0;0;0;0;0;0;0
2020-09-04 00:30:00;9;1;0;1;22;0;0;0;0;0;0;0;0
2020-09-04 00:45:00;12;1;0;0;12;1;0;0;0;0;0;0;0
2020-09-04 01:00:00;8;0;0;3;10;1;0;0;0;0;0;0;0
2020-09-04 01:15:00;3;0;0;0;11;0;0;0;0;0;0;0;0
2020-09-04 01:30:00;10;0;0;0;12;0;0;0;0;0;0;0;0
2020-09-04 01:45:00;9;0;0;0;7;1;0;0;0;0;0;0;0
2020-09-04 02:00:00;9;0;0;1;7;0;0;0;0;0;0;0;0
2020-09-04 02:15:00;5;0;0;0;3;0;0;0;0;0;0;0;0
2020-09-04 02:30:00;5;0;1;0;8;1;0;0;0;0;0;0;0
2020-09-04 02:45:00;3;0;1;0;8;0;0;0;0;0;0;0;0
2020-09-04 03:00:00;6;0;0;0;13;0;0;0;0;0;0;0;0
2020-09-04 03:15:00;11;1;0;0;3;0;0;0;0;0;0;0;0
2020-09-04 03:30:00;4;0;0;1;5;1;0;0;0;0;0;0;0
2020-09-04 03:45:00;5;0;0;0;5;0;0;0;0;0;0;0;0
2020-09-04 04:00:00;2;2;1;0;8;1;0;0;0;0;0;0;0
2020-09-04 04:15:00;9;0;0;1;6;1;0;0;0;0;0;0;0
2020-09-04 04:30:00;14;0;0;0;8;0;0;0;0;0;0;0;0
2020-09-04 04:45:00;17;0;0;0;7;0;0;0;0;0;0;0;0
2020-09-04 05:00:00;26;0;0;1;21;0;0;0;0;0;0;0;0
2020-09-04 05:15:00;36;0;0;4;22;0;0;0;0;0;0;0;0
2020-09-04 05:30:00;80;0;0;2;38;0;0;0;0;0;0;0;0
2020-09-04 05:45:00;75;0;1;2;77;0;0;0;0;0;0;0;0
2020-09-04 06:00:00;70;1;2;3;70;0;1;0;0;0;0;0;0
2020-09-04 06:15:00;96;3;3;5;72;0;0;0;0;0;0;0;0
2020-09-04 06:30:00;103;2;3;6;88;0;0;0;1;0;0;0;0
