DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2019-09-12 00:00:00;10;4;2;0;0;10;0;0;0;0;0
2019-09-12 00:15:00;4;7;1;3;0;7;2;0;0;0;0
2019-09-12 00:30:00;7;5;0;0;0;8;2;0;0;0;0
2019-09-12 00:45:00;6;3;1;5;0;7;1;0;0;0;0
2019-09-12 01:00:00;9;3;1;1;0;3;3;0;0;0;0
2019-09-12 01:15:00;12;4;0;0;0;4;0;0;0;0;0
2019-09-12 01:30:00;6;0;1;0;0;5;1;0;0;0;0
2019-09-12 01:45:00;7;3;0;1;0;5;0;0;0;0;0
2019-09-12 02:00:00;11;5;1;0;0;1;1;0;0;0;0
2019-09-12 02:15:00;2;2;0;0;0;1;0;0;0;0;0
2019-09-12 02:30:00;7;4;0;1;0;4;2;0;0;0;0
2019-09-12 02:45:00;5;3;1;0;0;3;0;0;0;0;0
2019-09-12 03:00:00;3;2;0;3;0;4;4;0;0;0;0
2019-09-12 03:15:00;6;2;0;0;0;6;0;0;0;0;0
2019-09-12 03:30:00;8;3;0;2;0;6;1;0;0;0;0
2019-09-12 03:45:00;5;1;0;0;0;7;1;0;0;0;0
2019-09-12 04:00:00;9;4;0;1;0;6;0;0;0;0;0
2019-09-12 04:15:00;12;6;1;2;0;4;1;0;0;0;0
2019-09-12 04:30:00;17;16;3;3;0;9;5;0;0;0;0
2019-09-12 04:45:00;23;14;5;3;0;25;6;0;0;0;0
2019-09-12 05:00:00;23;11;1;9;0;54;4;0;0;0;0
2019-09-12 05:15:00;35;36;2;12;0;148;6;0;0;0;0
2019-09-12 05:30:00;48;40;4;22;0;148;20;0;0;0;0
2019-09-12 05:45:00;99;107;6;42;0;124;9;0;1;0;0
2019-09-12 06:00:00;123;119;14;37;0;133;11;0;0;0;0
2019-09-12 06:15:00;92;81;19;18;0;159;13;0;0;0;0
2019-09-12 06:30:00;72;82;9;20;0;172;18;0;0;0;0
2019-09-12 06:45:00;85;82;14;29;0;165;13;1;0;0;0
2019-09-12 07:00:00;65;72;8;33;0;185;19;0;18;0;1
2019-09-12 07:15:00;69;79;4;48;0;169;29;0;0;0;0
2019-09-12 07:30:00;71;81;10;55;0;128;30;0;0;0;0
2019-09-12 07:45:00;68;98;13;43;0;160;29;0;0;0;0
2019-09-12 08:00:00;76;79;15;37;0;129;31;0;4;0;0
2019-09-12 08:15:00;79;78;15;55;0;124;29;1;1;0;0
2019-09-12 08:30:00;96;86;17;50;0;150;24;0;0;0;0
2019-09-12 08:45:00;66;69;14;36;0;128;21;0;0;0;0
2019-09-12 09:00:00;70;71;14;41;0;128;17;0;0;0;0
2019-09-12 09:15:00;66;58;8;34;0;101;16;5;0;0;0
2019-09-12 09:30:00;82;81;18;44;0;120;24;0;14;0;1
2019-09-12 09:45:00;82;80;17;44;0;101;22;0;0;0;0
2019-09-12 10:00:00;95;83;17;33;0;100;34;0;0;0;0
2019-09-12 10:15:00;82;85;19;44;0;91;22;0;0;0;0
2019-09-12 10:30:00;79;80;20;37;0;82;26;0;0;0;0
2019-09-12 10:45:00;92;79;16;29;0;70;21;0;0;0;0
2019-09-12 11:00:00;96;76;22;34;0;74;25;0;0;0;0
2019-09-12 11:15:00;86;86;20;39;0;87;28;0;1;0;0
2019-09-12 11:30:00;90;81;23;41;0;97;32;0;0;0;0
2019-09-12 11:45:00;85;73;15;49;0;95;36;0;0;0;0
2019-09-12 12:00:00;93;88;24;39;0;80;37;0;0;1;2
2019-09-12 12:15:00;104;115;22;52;0;82;29;2;0;0;1
2019-09-12 12:30:00;103;116;19;50;0;82;21;0;0;0;0
2019-09-12 12:45:00;90;84;19;36;0;77;25;0;26;0;0
2019-09-12 13:00:00;94;101;21;43;0;117;23;0;0;0;0
2019-09-12 13:15:00;98;89;20;29;0;142;31;0;0;0;0
2019-09-12 13:30:00;97;110;16;64;0;162;33;0;0;0;0
2019-09-12 13:45:00;112;112;19;39;0;121;23;0;1;0;0
2019-09-12 14:00:00;123;103;29;53;0;99;20;0;4;0;0
2019-09-12 14:15:00;170;171;24;75;0;103;29;7;14;0;0
2019-09-12 14:30:00;169;199;27;77;0;107;16;0;0;0;0
2019-09-12 14:45:00;152;174;35;53;0;94;18;0;23;0;0
2019-09-12 15:00:00;146;167;21;54;0;95;30;3;0;1;0
2019-09-12 15:15:00;162;187;27;53;0;92;27;0;0;0;0
2019-09-12 15:30:00;146;193;16;46;0;99;38;0;0;0;0
2019-09-12 15:45:00;151;177;33;53;0;99;25;0;2;0;0
2019-09-12 16:00:00;146;176;28;47;0;112;33;0;0;0;0
2019-09-12 16:15:00;170;171;32;61;0;99;41;0;7;0;0
2019-09-12 16:30:00;160;196;26;54;0;95;45;7;0;0;0
2019-09-12 16:45:00;174;186;26;76;0;113;31;0;0;0;0
2019-09-12 17:00:00;154;174;31;58;0;121;42;1;0;0;2
2019-09-12 17:15:00;150;170;37;52;0;116;47;0;13;0;0
2019-09-12 17:30:00;157;177;28;57;0;94;46;0;5;0;0
2019-09-12 17:45:00;130;147;23;55;0;91;43;0;0;0;0
2019-09-12 18:00:00;146;148;31;51;0;105;25;6;0;0;0
2019-09-12 18:15:00;110;133;20;53;0;95;26;8;0;0;0
2019-09-12 18:30:00;112;106;28;44;0;85;23;7;0;0;0
2019-09-12 18:45:00;93;95;23;34;0;95;24;0;0;5;0
2019-09-12 19:00:00;94;80;20;29;0;58;25;4;3;0;2
2019-09-12 19:15:00;83;75;23;35;0;75;18;0;0;0;0
2019-09-12 19:30:00;68;70;15;27;0;66;11;6;0;0;0
2019-09-12 19:45:00;80;66;17;28;0;55;26;5;0;0;0
2019-09-12 20:00:00;51;60;14;29;0;54;18;1;3;0;0
2019-09-12 20:15:00;53;65;15;15;0;55;17;0;0;0;0
2019-09-12 20:30:00;53;61;15;18;0;48;9;18;3;0;0
2019-09-12 20:45:00;48;51;21;23;0;62;8;3;0;0;0
2019-09-12 21:00:00;50;35;7;20;0;104;22;0;0;0;0
2019-09-12 21:15:00;46;35;9;20;0;131;11;6;0;0;0
2019-09-12 21:30:00;52;38;13;32;0;54;7;0;0;0;0
2019-09-12 21:45:00;91;108;9;56;0;25;9;0;0;0;0
2019-09-12 22:00:00;121;152;12;44;0;43;7;0;0;0;0
2019-09-12 22:15:00;71;75;16;17;0;31;5;9;0;0;0
2019-09-12 22:30:00;37;32;5;11;0;23;4;0;0;0;0
2019-09-12 22:45:00;28;14;4;9;0;15;1;0;0;0;0
2019-09-12 23:00:00;21;12;1;2;0;17;5;0;0;0;0
2019-09-12 23:15:00;13;10;5;6;0;12;6;0;0;0;0
2019-09-12 23:30:00;17;7;1;8;0;8;3;0;0;0;0
2019-09-12 23:45:00;13;11;0;4;0;15;4;0;0;0;0
