DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-05-26 00:00:00;2;0;0;0;0
2020-05-26 00:15:00;2;2;2;5;4
2020-05-26 00:30:00;2;0;0;0;0
2020-05-26 00:45:00;1;0;1;2;1
2020-05-26 01:00:00;3;1;0;0;0
2020-05-26 01:15:00;0;0;0;1;0
2020-05-26 01:30:00;0;0;0;2;0
2020-05-26 01:45:00;0;0;0;2;0
2020-05-26 02:00:00;2;0;2;3;0
2020-05-26 02:15:00;0;0;1;0;1
2020-05-26 02:30:00;1;0;0;1;1
2020-05-26 02:45:00;0;0;0;0;1
2020-05-26 03:00:00;0;0;0;1;1
2020-05-26 03:15:00;2;0;0;0;0
2020-05-26 03:30:00;0;0;0;1;2
2020-05-26 03:45:00;2;1;0;1;0
2020-05-26 04:00:00;1;1;0;0;0
2020-05-26 04:15:00;0;0;0;0;0
2020-05-26 04:30:00;1;0;0;0;1
2020-05-26 04:45:00;1;0;0;0;2
2020-05-26 05:00:00;5;0;2;2;1
2020-05-26 05:15:00;1;0;1;5;4
2020-05-26 05:30:00;3;1;0;4;10
2020-05-26 05:45:00;14;0;3;8;12
2020-05-26 06:00:00;11;2;6;13;15
2020-05-26 06:15:00;24;6;4;16;31
2020-05-26 06:30:00;30;4;4;16;32
2020-05-26 06:45:00;35;2;7;12;54
2020-05-26 07:00:00;31;7;10;19;55
2020-05-26 07:15:00;46;12;11;24;79
2020-05-26 07:30:00;51;13;8;32;93
2020-05-26 07:45:00;75;7;17;36;57
2020-05-26 08:00:00;62;12;13;19;71
2020-05-26 08:15:00;49;18;12;26;77
2020-05-26 08:30:00;55;13;12;24;51
2020-05-26 08:45:00;32;15;14;30;69
2020-05-26 09:00:00;29;20;12;18;49
2020-05-26 09:15:00;29;11;9;27;54
2020-05-26 09:30:00;34;19;16;25;47
2020-05-26 09:45:00;38;12;13;22;42
2020-05-26 10:00:00;39;13;11;23;62
2020-05-26 10:15:00;29;9;11;25;59
2020-05-26 10:30:00;41;16;15;24;52
2020-05-26 10:45:00;42;7;20;33;63
2020-05-26 11:00:00;37;10;21;24;48
2020-05-26 11:15:00;39;10;12;19;52
2020-05-26 11:30:00;48;14;20;33;55
2020-05-26 11:45:00;52;11;18;28;56
2020-05-26 12:00:00;51;13;21;27;63
2020-05-26 12:15:00;53;4;17;32;59
2020-05-26 12:30:00;48;11;13;19;55
2020-05-26 12:45:00;31;9;18;29;80
2020-05-26 13:00:00;59;11;20;28;67
2020-05-26 13:15:00;53;9;7;21;49
2020-05-26 13:30:00;46;11;19;34;52
2020-05-26 13:45:00;56;3;13;21;58
2020-05-26 14:00:00;61;8;16;23;57
2020-05-26 14:15:00;51;13;19;23;64
2020-05-26 14:30:00;51;14;13;43;61
2020-05-26 14:45:00;41;8;21;27;65
2020-05-26 15:00:00;37;15;14;21;41
2020-05-26 15:15:00;44;8;16;33;60
2020-05-26 15:30:00;52;14;21;32;68
2020-05-26 15:45:00;54;8;18;27;70
2020-05-26 16:00:00;58;16;26;34;99
2020-05-26 16:15:00;46;8;23;46;75
2020-05-26 16:30:00;58;8;23;33;79
2020-05-26 16:45:00;47;10;20;26;86
2020-05-26 17:00:00;55;5;24;33;78
2020-05-26 17:15:00;53;12;23;35;100
2020-05-26 17:30:00;31;5;11;19;36
2020-05-26 17:45:00;33;3;7;16;28
2020-05-26 18:00:00;31;9;26;37;70
2020-05-26 18:15:00;36;7;18;18;43
2020-05-26 18:30:00;36;7;16;27;55
2020-05-26 18:45:00;23;4;13;22;36
2020-05-26 19:00:00;30;4;9;15;85
2020-05-26 19:15:00;26;8;8;18;47
2020-05-26 19:30:00;21;7;8;11;25
2020-05-26 19:45:00;20;6;11;15;23
2020-05-26 20:00:00;20;8;4;9;21
2020-05-26 20:15:00;26;2;3;14;21
2020-05-26 20:30:00;16;2;6;11;16
2020-05-26 20:45:00;12;3;6;10;26
2020-05-26 21:00:00;17;3;3;15;17
2020-05-26 21:15:00;15;2;5;16;15
2020-05-26 21:30:00;14;3;4;11;12
2020-05-26 21:45:00;7;1;3;15;18
2020-05-26 22:00:00;5;3;8;7;4
2020-05-26 22:15:00;11;1;1;12;11
2020-05-26 22:30:00;11;2;0;4;6
2020-05-26 22:45:00;4;3;1;7;2
2020-05-26 23:00:00;7;2;2;7;8
2020-05-26 23:15:00;1;0;2;1;4
2020-05-26 23:30:00;2;0;0;5;6
