DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-07-06 00:00:00;10;11;1;3;0;13;3;2;2;1;0
2020-07-06 00:15:00;7;6;3;2;0;9;6;1;2;6;1
2020-07-06 00:30:00;14;6;2;2;0;6;9;1;1;4;1
2020-07-06 00:45:00;6;3;0;3;2;3;4;0;2;0;0
2020-07-06 01:00:00;5;6;2;0;1;5;6;0;1;2;1
2020-07-06 01:15:00;8;5;1;1;1;11;8;2;0;1;0
2020-07-06 01:30:00;9;5;3;2;2;13;5;2;0;1;0
2020-07-06 01:45:00;8;5;0;1;2;7;6;3;0;0;0
2020-07-06 02:00:00;2;5;3;1;1;2;4;1;1;2;2
2020-07-06 02:15:00;6;3;0;0;0;3;3;1;1;3;2
2020-07-06 02:30:00;6;3;1;1;0;3;4;0;0;2;1
2020-07-06 02:45:00;4;0;1;1;0;5;4;1;0;2;1
2020-07-06 03:00:00;3;0;0;0;1;8;7;0;0;0;0
2020-07-06 03:15:00;3;3;0;0;0;3;5;2;0;1;0
2020-07-06 03:30:00;6;4;1;4;3;7;1;1;0;0;0
2020-07-06 03:45:00;11;5;1;1;1;6;4;0;0;1;0
2020-07-06 04:00:00;9;7;0;3;4;9;9;1;1;2;0
2020-07-06 04:15:00;11;12;0;4;3;12;7;1;3;0;0
2020-07-06 04:30:00;18;14;2;2;3;18;9;1;1;1;2
2020-07-06 04:45:00;22;18;0;7;2;48;14;1;1;4;2
2020-07-06 05:00:00;25;19;2;12;5;81;58;0;2;7;4
2020-07-06 05:15:00;40;35;13;13;6;117;111;6;5;16;7
2020-07-06 05:30:00;34;36;13;32;12;108;115;2;5;15;7
2020-07-06 05:45:00;43;46;9;24;19;100;114;7;14;14;7
2020-07-06 06:00:00;50;52;10;36;16;100;84;2;7;13;5
2020-07-06 06:15:00;57;57;18;36;14;102;106;5;14;28;12
2020-07-06 06:30:00;64;83;18;43;21;125;134;9;18;29;10
2020-07-06 06:45:00;56;69;32;41;20;109;126;12;12;25;8
2020-07-06 07:00:00;66;77;8;61;25;117;154;20;14;23;11
2020-07-06 07:15:00;79;87;13;74;23;138;161;25;18;32;14
2020-07-06 07:30:00;74;76;22;79;22;111;124;30;16;46;12
2020-07-06 07:45:00;85;97;22;93;28;112;144;27;39;48;20
2020-07-06 08:00:00;83;79;22;56;30;101;113;26;23;41;17
2020-07-06 08:15:00;84;69;15;69;23;110;116;15;18;34;9
2020-07-06 08:30:00;68;55;14;64;25;80;86;16;28;34;15
2020-07-06 08:45:00;74;74;19;53;18;99;100;22;26;43;18
2020-07-06 09:00:00;64;64;14;60;19;70;80;22;31;42;17
2020-07-06 09:15:00;64;68;16;40;23;75;82;26;23;46;15
2020-07-06 09:30:00;70;79;20;50;24;78;92;29;30;43;21
2020-07-06 09:45:00;77;82;21;40;21;78;96;20;26;45;18
2020-07-06 10:00:00;75;65;28;56;28;69;72;17;25;40;18
2020-07-06 10:15:00;69;79;18;64;17;75;74;16;35;54;22
2020-07-06 10:30:00;90;83;36;65;21;60;88;28;30;58;19
2020-07-06 10:45:00;79;96;25;64;17;63;81;23;26;51;22
2020-07-06 11:00:00;79;83;27;50;22;76;103;26;33;59;21
2020-07-06 11:15:00;88;91;32;49;11;79;71;23;31;53;18
2020-07-06 11:30:00;85;92;26;45;17;72;70;19;40;61;28
2020-07-06 11:45:00;83;96;34;55;19;69;66;24;39;63;24
2020-07-06 12:00:00;74;97;27;35;20;60;63;18;32;61;21
2020-07-06 12:15:00;90;102;23;45;10;68;73;21;34;57;20
2020-07-06 12:30:00;92;86;29;61;15;76;73;24;28;40;22
2020-07-06 12:45:00;78;95;29;52;20;93;71;20;36;71;27
2020-07-06 13:00:00;81;101;30;43;19;89;100;21;26;59;24
2020-07-06 13:15:00;90;102;29;38;16;106;130;16;38;58;24
2020-07-06 13:30:00;94;92;23;48;16;142;153;28;30;51;28
2020-07-06 13:45:00;93;106;24;68;18;113;135;27;33;56;25
2020-07-06 14:00:00;128;146;29;46;19;98;107;19;34;44;23
