DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-12-14 00:00:00;13;12;7;10;9;8;11;6
2019-12-14 00:15:00;14;7;1;15;10;9;25;14
2019-12-14 00:30:00;17;9;13;9;6;7;22;10
2019-12-14 00:45:00;9;11;9;13;8;9;15;8
2019-12-14 01:00:00;7;2;5;10;12;11;15;6
2019-12-14 01:15:00;15;7;9;10;9;7;19;8
2019-12-14 01:30:00;12;9;5;13;10;8;7;5
2019-12-14 01:45:00;7;4;8;2;3;4;10;4
2019-12-14 02:00:00;9;9;2;9;9;4;11;3
2019-12-14 02:15:00;9;3;2;4;5;6;12;4
2019-12-14 02:30:00;7;5;4;6;9;5;8;2
2019-12-14 02:45:00;3;0;1;2;3;4;6;2
2019-12-14 03:00:00;8;5;0;4;4;5;11;4
2019-12-14 03:15:00;5;3;4;3;6;6;11;1
2019-12-14 03:30:00;4;3;2;3;3;2;9;1
2019-12-14 03:45:00;7;5;0;3;3;1;6;0
2019-12-14 04:00:00;7;5;1;4;6;6;4;1
2019-12-14 04:15:00;3;4;3;1;1;4;7;4
2019-12-14 04:30:00;3;3;2;7;3;4;5;1
2019-12-14 04:45:00;5;0;1;2;3;2;1;0
2019-12-14 05:00:00;6;4;2;9;7;1;7;4
2019-12-14 05:15:00;9;11;6;7;7;6;13;2
2019-12-14 05:30:00;17;15;8;14;8;8;20;3
2019-12-14 05:45:00;13;7;8;20;4;1;8;6
2019-12-14 06:00:00;10;18;9;42;14;8;23;10
2019-12-14 06:15:00;9;10;10;15;5;9;15;13
2019-12-14 06:30:00;17;11;11;5;4;5;23;5
2019-12-14 06:45:00;14;11;6;10;6;7;16;8
2019-12-14 07:00:00;12;13;7;6;3;5;12;8
2019-12-14 07:15:00;11;6;7;4;10;2;16;8
2019-12-14 07:30:00;26;21;6;9;12;4;14;7
2019-12-14 07:45:00;27;25;10;12;21;6;15;11
2019-12-14 08:00:00;36;16;5;12;37;7;21;7
2019-12-14 08:15:00;21;21;6;11;28;8;18;13
2019-12-14 08:30:00;29;27;12;13;18;11;27;14
2019-12-14 08:45:00;52;20;16;26;25;13;35;24
2019-12-14 09:00:00;39;20;11;13;21;16;37;23
2019-12-14 09:15:00;38;21;16;21;50;22;33;20
2019-12-14 09:30:00;44;37;18;23;28;17;49;21
2019-12-14 09:45:00;44;36;17;21;31;20;41;28
2019-12-14 10:00:00;45;29;15;20;20;22;53;30
2019-12-14 10:15:00;52;24;22;23;30;29;53;31
2019-12-14 10:30:00;46;33;16;30;60;27;45;29
2019-12-14 10:45:00;55;25;21;27;31;38;56;39
2019-12-14 11:00:00;45;33;19;37;39;25;47;29
2019-12-14 11:15:00;65;33;24;22;34;26;57;43
2019-12-14 11:30:00;61;42;25;21;51;27;50;33
2019-12-14 11:45:00;67;33;18;36;47;31;54;47
2019-12-14 12:00:00;57;51;16;21;23;35;58;44
2019-12-14 12:15:00;46;42;31;24;25;27;71;54
2019-12-14 12:30:00;66;40;19;21;27;31;58;48
2019-12-14 12:45:00;52;48;17;24;45;33;53;31
2019-12-14 13:00:00;64;45;30;19;20;27;62;48
2019-12-14 13:15:00;50;35;29;37;30;32;59;49
2019-12-14 13:30:00;51;39;19;35;42;33;65;45
2019-12-14 13:45:00;46;46;29;31;48;26;60;47
2019-12-14 14:00:00;47;51;22;25;32;34;64;48
2019-12-14 14:15:00;66;46;21;30;36;38;54;44
2019-12-14 14:30:00;50;35;30;25;36;41;70;39
2019-12-14 14:45:00;59;44;18;29;91;37;63;44
2019-12-14 15:00:00;42;21;25;19;27;22;63;36
2019-12-14 15:15:00;45;40;24;26;27;21;66;50
2019-12-14 15:30:00;53;37;20;25;27;29;61;33
2019-12-14 15:45:00;50;35;25;25;21;36;53;37
2019-12-14 16:00:00;59;34;25;31;48;26;57;38
2019-12-14 16:15:00;44;35;24;33;40;32;51;34
2019-12-14 16:30:00;62;36;20;26;27;30;61;31
2019-12-14 16:45:00;62;33;30;34;37;31;64;34
2019-12-14 17:00:00;49;39;26;26;40;35;66;40
2019-12-14 17:15:00;48;28;24;28;31;40;53;36
2019-12-14 17:30:00;63;30;17;32;33;25;57;36
2019-12-14 17:45:00;66;39;27;23;30;30;43;33
2019-12-14 18:00:00;68;35;36;23;24;30;51;37
2019-12-14 18:15:00;68;40;32;38;37;35;50;34
2019-12-14 18:30:00;65;41;24;27;31;30;48;35
2019-12-14 18:45:00;48;21;22;27;32;21;49;35
2019-12-14 19:00:00;52;20;20;22;36;28;55;41
2019-12-14 19:15:00;54;22;20;19;45;24;41;33
2019-12-14 19:30:00;46;20;20;21;33;16;41;24
2019-12-14 19:45:00;40;20;11;19;23;27;36;23
2019-12-14 20:00:00;46;28;21;11;28;23;41;25
2019-12-14 20:15:00;55;27;16;16;28;23;32;29
2019-12-14 20:30:00;30;16;13;17;18;28;39;16
2019-12-14 20:45:00;34;16;16;19;21;28;28;21
2019-12-14 21:00:00;23;13;14;14;19;23;37;28
2019-12-14 21:15:00;28;12;12;17;14;22;35;19
2019-12-14 21:30:00;23;9;11;9;17;17;34;17
2019-12-14 21:45:00;23;13;9;12;16;16;31;11
2019-12-14 22:00:00;26;13;11;12;18;16;25;17
2019-12-14 22:15:00;36;14;13;14;24;23;19;16
2019-12-14 22:30:00;37;12;14;12;16;13;28;18
2019-12-14 22:45:00;32;11;10;17;16;13;25;12
2019-12-14 23:00:00;22;11;15;8;11;19;27;19
2019-12-14 23:15:00;13;14;19;7;13;10;30;16
2019-12-14 23:30:00;20;18;8;8;9;18;23;9
2019-12-14 23:45:00;22;19;21;17;23;9;23;8
