DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2019-11-21 00:00:00;0;8;7;3;0;10;4;5;2;0;6;8;3
2019-11-21 00:15:00;0;7;2;2;2;5;3;3;1;0;4;4;6
2019-11-21 00:30:00;0;3;5;0;1;9;0;4;4;1;6;3;4
2019-11-21 00:45:00;0;3;1;0;1;2;1;9;1;1;2;3;3
2019-11-21 01:00:00;0;8;5;1;2;5;1;6;2;1;8;7;0
2019-11-21 01:15:00;0;6;1;0;1;4;1;3;0;0;2;4;2
2019-11-21 01:30:00;0;5;3;0;1;4;0;4;1;0;5;3;1
2019-11-21 01:45:00;0;2;0;0;0;2;0;4;1;2;4;6;2
2019-11-21 02:00:00;0;2;1;0;4;6;2;1;1;0;4;3;0
2019-11-21 02:15:00;0;3;1;0;2;2;1;2;0;0;2;2;2
2019-11-21 02:30:00;0;2;0;0;2;1;0;1;0;1;4;2;2
2019-11-21 02:45:00;0;2;0;0;2;6;0;3;1;0;5;6;4
2019-11-21 03:00:00;0;6;0;0;0;4;0;2;1;1;2;1;0
2019-11-21 03:15:00;0;3;0;0;0;1;0;1;1;0;3;5;3
2019-11-21 03:30:00;0;2;2;0;0;2;2;4;0;0;0;1;1
2019-11-21 03:45:00;0;0;1;1;2;4;0;5;3;2;5;2;0
2019-11-21 04:00:00;0;7;3;0;2;4;2;4;3;0;4;4;1
2019-11-21 04:15:00;0;7;4;0;4;6;0;5;2;1;5;4;1
2019-11-21 04:30:00;0;3;2;0;3;10;1;10;5;2;15;11;2
2019-11-21 04:45:00;0;8;3;0;5;14;4;7;8;0;19;26;10
2019-11-21 05:00:00;0;12;6;2;5;18;7;35;18;4;43;63;13
2019-11-21 05:15:00;0;16;15;1;6;17;9;57;38;4;83;96;15
2019-11-21 05:30:00;0;21;16;2;19;62;14;68;53;4;68;80;24
2019-11-21 05:45:00;0;29;23;2;51;81;19;56;54;1;58;79;36
2019-11-21 06:00:00;0;35;35;4;50;81;30;71;59;4;61;70;15
2019-11-21 06:15:00;0;39;34;3;43;93;31;97;82;7;75;87;32
2019-11-21 06:30:00;0;34;36;3;32;60;13;135;147;7;71;76;39
2019-11-21 06:45:00;0;42;41;5;36;64;23;139;163;5;75;102;39
2019-11-21 07:00:00;0;46;53;5;35;50;16;126;152;4;104;102;58
2019-11-21 07:15:00;0;45;53;6;59;82;18;147;171;5;106;107;72
2019-11-21 07:30:00;0;59;55;12;51;72;32;133;157;4;94;94;71
2019-11-21 07:45:00;0;73;69;6;127;93;30;117;141;6;82;84;66
2019-11-21 08:00:00;0;60;59;7;51;70;21;113;144;6;84;100;83
2019-11-21 08:15:00;0;62;58;9;57;72;27;128;163;7;72;86;76
2019-11-21 08:30:00;0;59;47;10;56;72;16;134;160;13;82;106;73
2019-11-21 08:45:00;0;62;47;3;67;74;14;114;124;17;75;65;64
2019-11-21 09:00:00;0;61;47;10;39;46;28;99;86;20;52;53;40
2019-11-21 09:15:00;0;52;38;9;49;70;26;111;98;16;68;49;46
2019-11-21 09:30:00;0;60;43;7;57;70;21;96;84;20;58;45;40
2019-11-21 09:45:00;0;62;47;4;50;65;19;86;74;19;60;56;46
2019-11-21 10:00:00;0;47;42;8;38;48;15;82;58;15;71;57;54
2019-11-21 10:15:00;0;56;46;6;52;68;16;75;64;11;50;44;40
2019-11-21 10:30:00;0;74;54;12;43;60;31;79;53;11;60;48;37
2019-11-21 10:45:00;0;64;51;16;50;78;17;76;71;13;65;60;51
2019-11-21 11:00:00;0;66;61;11;50;73;34;71;50;18;67;62;38
2019-11-21 11:15:00;0;66;51;11;57;71;26;82;56;15;52;50;49
2019-11-21 11:30:00;0;81;67;13;56;61;25;76;56;13;50;63;45
2019-11-21 11:45:00;0;67;58;16;48;59;30;89;51;15;55;56;46
2019-11-21 12:00:00;0;75;64;10;38;57;25;67;54;10;57;60;46
2019-11-21 12:15:00;0;70;69;13;54;68;25;68;46;13;70;65;51
2019-11-21 12:30:00;0;95;77;14;46;71;13;71;59;16;64;63;47
2019-11-21 12:45:00;0;72;58;18;65;87;40;74;66;13;65;59;44
2019-11-21 13:00:00;0;75;84;18;35;57;30;78;63;12;72;72;43
2019-11-21 13:15:00;0;104;88;19;53;78;27;85;70;6;76;92;48
2019-11-21 13:30:00;0;74;73;13;46;67;35;92;85;20;89;101;51
2019-11-21 13:45:00;0;67;70;7;55;93;31;95;81;12;70;77;48
2019-11-21 14:00:00;0;94;99;6;53;86;37;75;58;15;67;69;34
2019-11-21 14:15:00;0;92;102;12;71;85;37;69;65;16;59;49;48
2019-11-21 14:30:00;0;108;114;11;80;115;41;86;73;17;58;51;54
2019-11-21 14:45:00;0;112;117;23;81;92;33;86;60;21;63;61;53
2019-11-21 15:00:00;0;111;121;19;71;101;34;72;66;9;63;61;57
2019-11-21 15:15:00;0;117;151;15;84;96;47;75;63;19;65;65;47
2019-11-21 15:30:00;0;135;140;25;72;90;50;89;76;18;71;73;62
2019-11-21 15:45:00;0;147;173;11;96;124;53;84;73;18;76;77;52
2019-11-21 16:00:00;0;148;184;18;70;87;53;80;70;16;70;75;53
2019-11-21 16:15:00;0;139;175;10;82;98;59;90;71;24;87;71;61
2019-11-21 16:30:00;0;135;172;19;85;109;46;92;69;22;83;82;58
2019-11-21 16:45:00;0;150;168;19;79;96;54;93;80;16;90;87;56
2019-11-21 17:00:00;0;133;172;15;87;92;49;91;92;13;98;89;54
2019-11-21 17:15:00;0;139;153;18;81;90;58;109;82;17;88;89;59
2019-11-21 17:30:00;0;124;156;13;83;111;43;89;68;24;72;67;46
2019-11-21 17:45:00;0;124;130;10;84;89;51;84;79;23;64;62;51
2019-11-21 18:00:00;0;84;103;18;75;100;37;74;69;24;61;57;51
2019-11-21 18:15:00;0;76;83;7;76;96;45;71;47;19;53;56;43
2019-11-21 18:30:00;0;84;62;16;55;71;26;83;62;12;47;48;33
2019-11-21 18:45:00;0;60;66;8;61;67;26;62;54;6;53;49;42
2019-11-21 19:00:00;0;80;73;10;51;77;27;61;39;7;46;52;36
2019-11-21 19:15:00;0;49;50;8;47;50;18;58;31;8;40;48;28
2019-11-21 19:30:00;0;49;39;7;35;51;13;49;41;11;36;37;34
2019-11-21 19:45:00;0;46;45;7;30;36;13;45;24;3;40;39;20
2019-11-21 20:00:00;0;43;42;8;23;34;10;49;36;7;32;35;22
2019-11-21 20:15:00;0;49;44;1;18;41;12;43;24;7;34;29;28
2019-11-21 20:30:00;0;32;28;10;21;32;14;43;26;6;43;40;18
2019-11-21 20:45:00;0;27;22;3;14;26;15;45;20;5;39;39;12
2019-11-21 21:00:00;0;37;30;4;18;31;14;46;25;3;60;65;14
2019-11-21 21:15:00;0;47;40;7;12;22;9;51;22;2;66;70;15
2019-11-21 21:30:00;0;33;35;2;15;41;13;47;21;1;47;46;17
2019-11-21 21:45:00;0;32;27;2;42;67;24;17;10;2;26;27;11
2019-11-21 22:00:00;0;43;43;12;50;92;22;29;8;4;12;15;12
2019-11-21 22:15:00;0;35;34;7;29;58;24;26;18;6;20;20;9
2019-11-21 22:30:00;0;35;21;3;10;28;9;24;13;1;24;22;14
2019-11-21 22:45:00;0;19;21;3;8;11;8;21;9;3;24;18;2
2019-11-21 23:00:00;0;28;15;4;8;14;3;18;9;1;18;13;8
2019-11-21 23:15:00;0;11;10;0;10;20;6;7;5;3;20;16;6
2019-11-21 23:30:00;0;16;9;0;6;12;4;9;3;0;6;9;9
2019-11-21 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
