DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-09-27 00:00:00;6;5;4;14;9;1;0;0;0;0;0;0;0
2019-09-27 00:15:00;1;7;7;13;8;4;0;2;0;0;0;0;0
2019-09-27 00:30:00;6;7;7;17;6;1;0;0;0;0;0;0;0
2019-09-27 00:45:00;5;4;6;18;10;0;0;0;0;0;0;0;0
2019-09-27 01:00:00;3;8;2;12;7;1;0;0;0;0;0;0;0
2019-09-27 01:15:00;3;5;6;10;5;2;0;0;0;0;0;0;0
2019-09-27 01:30:00;1;2;3;10;7;0;0;0;0;0;0;0;0
2019-09-27 01:45:00;1;5;2;9;12;0;0;0;0;0;0;0;0
2019-09-27 02:00:00;1;2;2;6;9;0;0;0;0;0;0;0;0
2019-09-27 02:15:00;0;1;6;9;4;0;0;0;0;0;0;0;0
2019-09-27 02:30:00;1;2;1;1;4;0;0;0;0;0;0;0;0
2019-09-27 02:45:00;2;4;3;9;6;0;0;0;0;0;0;0;0
2019-09-27 03:00:00;0;3;6;6;7;0;0;0;0;0;0;0;0
2019-09-27 03:15:00;2;2;4;5;1;1;0;0;0;0;0;0;0
2019-09-27 03:30:00;2;4;2;6;5;0;0;0;0;0;0;0;0
2019-09-27 03:45:00;2;3;4;7;8;0;0;0;0;0;0;0;0
2019-09-27 04:00:00;2;4;4;12;6;0;0;0;0;0;0;0;0
2019-09-27 04:15:00;2;14;4;13;6;0;0;0;0;0;0;0;0
2019-09-27 04:30:00;4;8;10;23;15;0;0;0;0;0;0;0;0
2019-09-27 04:45:00;7;12;5;39;31;2;0;0;0;0;0;0;0
2019-09-27 05:00:00;4;19;4;63;55;1;0;0;0;0;0;0;0
2019-09-27 05:15:00;5;14;10;92;86;2;0;1;0;0;0;0;0
2019-09-27 05:30:00;19;39;8;88;100;5;0;1;1;0;0;0;0
2019-09-27 05:45:00;29;76;23;90;100;2;0;0;0;0;0;0;0
2019-09-27 06:00:00;50;82;25;85;87;2;0;0;0;0;0;0;0
2019-09-27 06:15:00;31;69;30;108;110;3;0;0;1;0;0;0;0
2019-09-27 06:30:00;31;61;39;124;137;5;0;0;8;0;3;0;0
2019-09-27 06:45:00;34;59;34;113;104;7;0;0;0;0;0;0;0
2019-09-27 07:00:00;27;56;28;119;129;8;0;2;3;0;0;0;0
2019-09-27 07:15:00;52;90;53;136;161;11;0;1;7;0;1;0;0
2019-09-27 07:30:00;35;64;60;140;156;23;0;2;10;0;0;0;0
