DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2020-03-30 00:00:00;1;0;0;3;1;0;0;0;0;0
2020-03-30 00:15:00;5;0;0;2;3;0;0;0;0;0
2020-03-30 00:30:00;2;3;0;2;3;0;0;0;0;0
2020-03-30 00:45:00;4;1;0;2;2;0;0;0;0;0
2020-03-30 01:00:00;2;0;0;1;0;0;0;0;0;0
2020-03-30 01:15:00;2;1;0;0;0;0;0;0;0;0
2020-03-30 01:30:00;6;2;0;1;4;0;0;0;0;0
2020-03-30 01:45:00;6;1;0;3;3;0;0;0;0;0
2020-03-30 02:00:00;3;1;0;2;3;0;0;0;0;0
2020-03-30 02:15:00;4;4;0;2;2;0;0;0;0;0
2020-03-30 02:30:00;4;1;0;1;1;0;0;0;0;0
2020-03-30 02:45:00;4;2;0;9;6;0;0;0;0;0
2020-03-30 03:00:00;1;1;0;6;3;0;0;0;0;0
2020-03-30 03:15:00;3;0;0;4;3;0;0;0;0;0
2020-03-30 03:30:00;2;2;0;5;3;0;0;0;0;0
2020-03-30 03:45:00;5;2;0;4;3;0;0;0;0;0
2020-03-30 04:00:00;2;4;0;5;3;0;0;0;0;0
2020-03-30 04:15:00;3;3;0;5;5;0;0;0;0;0
2020-03-30 04:30:00;9;4;1;4;3;0;0;0;0;0
2020-03-30 04:45:00;9;8;0;9;1;0;0;0;0;0
2020-03-30 05:00:00;12;4;4;10;4;0;0;0;0;0
2020-03-30 05:15:00;25;15;0;29;9;4;0;0;0;0
2020-03-30 05:30:00;36;17;0;33;21;1;0;0;0;0
2020-03-30 05:45:00;50;27;1;40;20;3;0;0;0;0
2020-03-30 06:00:00;50;20;0;41;18;0;0;0;0;0
2020-03-30 06:15:00;56;35;1;54;24;0;0;0;0;0
2020-03-30 06:30:00;74;37;0;48;29;4;0;0;0;0
2020-03-30 06:45:00;91;64;0;87;40;8;0;0;0;0
2020-03-30 07:00:00;68;37;1;95;46;3;0;0;0;0
2020-03-30 07:15:00;82;44;0;64;34;6;0;0;0;0
2020-03-30 07:30:00;77;22;3;71;42;4;2;0;0;0
2020-03-30 07:45:00;77;43;0;82;45;8;0;0;0;0
2020-03-30 08:00:00;64;26;0;56;30;8;0;0;0;0
2020-03-30 08:15:00;52;39;0;57;39;3;0;0;0;0
2020-03-30 08:30:00;60;26;0;46;22;3;0;0;0;0
2020-03-30 08:45:00;51;37;1;53;32;4;0;0;0;0
2020-03-30 09:00:00;48;28;2;60;28;7;0;0;0;0
2020-03-30 09:15:00;66;34;0;54;30;4;0;0;0;0
2020-03-30 09:30:00;56;36;3;59;37;6;0;0;0;0
2020-03-30 09:45:00;76;41;2;70;27;6;0;0;0;0
2020-03-30 10:00:00;59;36;2;65;43;4;0;0;0;0
2020-03-30 10:15:00;67;34;0;69;32;9;0;0;0;0
2020-03-30 10:30:00;55;28;0;57;27;9;0;0;0;0
2020-03-30 10:45:00;66;40;5;58;38;8;1;0;0;0
