DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-10-25 00:00:00;10;3;1;9;0;8;0;0;0
2020-10-25 00:15:00;15;5;0;13;0;14;1;0;0
2020-10-25 00:30:00;18;1;0;14;0;12;1;0;0
2020-10-25 00:45:00;7;3;0;17;0;14;1;0;0
2020-10-25 01:00:00;12;3;2;3;0;12;0;0;0
2020-10-25 01:15:00;9;4;0;13;0;13;1;0;0
2020-10-25 01:30:00;8;1;0;6;0;12;1;0;0
2020-10-25 01:45:00;11;3;0;10;0;14;1;0;0
2020-10-25 02:00:00;10;1;0;6;0;12;0;0;0
2020-10-25 02:15:00;7;2;0;3;0;14;1;0;0
2020-10-25 02:30:00;8;1;0;8;0;12;1;0;0
2020-10-25 02:45:00;4;2;1;6;0;13;1;0;0
2020-10-25 02:00:00;10;1;0;6;0;16;0;0;0
2020-10-25 02:15:00;11;2;0;5;0;20;2;0;0
2020-10-25 02:30:00;11;1;0;11;0;18;1;0;0
2020-10-25 02:45:00;4;2;1;8;0;21;2;0;0
2020-10-25 03:00:00;3;1;0;0;0;12;1;0;0
2020-10-25 03:15:00;3;1;0;3;0;14;1;0;0
2020-10-25 03:30:00;1;1;0;1;0;12;1;0;0
2020-10-25 03:45:00;2;2;0;3;0;13;0;0;0
2020-10-25 04:00:00;1;3;0;3;0;12;1;0;0
2020-10-25 04:15:00;2;2;0;3;0;14;1;0;0
2020-10-25 04:30:00;2;0;2;2;0;12;1;0;0
2020-10-25 04:45:00;5;1;0;3;0;14;1;0;0
2020-10-25 05:00:00;2;1;0;2;0;12;0;0;0
2020-10-25 05:15:00;4;2;0;7;0;13;1;0;0
2020-10-25 05:30:00;3;3;0;11;0;12;1;0;0
2020-10-25 05:45:00;6;1;0;4;0;14;1;0;0
2020-10-25 06:00:00;5;2;0;9;0;12;1;0;0
2020-10-25 06:15:00;9;3;0;11;0;14;0;0;0
2020-10-25 06:30:00;7;2;0;13;0;12;1;0;0
2020-10-25 06:45:00;10;4;0;10;0;14;1;0;0
2020-10-25 07:00:00;11;1;0;12;0;12;1;0;0
2020-10-25 07:15:00;10;3;0;6;0;13;1;0;0
2020-10-25 07:30:00;16;9;0;20;0;12;0;0;0
2020-10-25 07:45:00;20;7;1;33;0;14;1;0;0
2020-10-25 08:00:00;18;12;0;29;0;12;1;0;0
2020-10-25 08:15:00;28;8;0;30;0;14;1;0;0
2020-10-25 08:30:00;27;7;0;36;0;12;1;0;0
2020-10-25 08:45:00;33;7;2;52;0;13;0;0;0
2020-10-25 09:00:00;39;9;2;46;0;12;1;0;0
2020-10-25 09:15:00;49;10;3;45;0;14;1;0;0
2020-10-25 09:30:00;45;12;3;53;0;12;1;0;0
2020-10-25 09:45:00;40;10;0;56;0;14;1;0;0
2020-10-25 10:00:00;54;7;2;54;0;12;0;0;0
2020-10-25 10:15:00;62;7;2;59;0;14;1;0;0
2020-10-25 10:30:00;46;8;1;51;0;12;1;0;0
2020-10-25 10:45:00;60;15;5;69;0;13;1;0;0
2020-10-25 11:00:00;59;14;4;61;0;12;0;0;0
2020-10-25 11:15:00;76;16;2;88;0;14;1;0;0
2020-10-25 11:30:00;70;14;4;53;0;12;1;0;0
