DATUM;1(TAFGA);2(MP0701);3(MP0702);4(MP0703);5(MP0704);6(MP0705);7(MP0706);8(MP0707);9(MP0708)
2019-11-06 00:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 00:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 00:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 00:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 01:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 01:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 01:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 01:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 02:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 02:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 02:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 02:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 03:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 03:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 03:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 03:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 04:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 04:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 04:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 04:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 05:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 05:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 05:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 05:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 06:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 06:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 06:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 06:45:00;9;1;0;0;0;0;0;0;0
2019-11-06 07:00:00;69;6;0;0;0;0;0;0;0
2019-11-06 07:15:00;65;0;0;0;0;0;0;0;0
2019-11-06 07:30:00;30;0;0;0;0;0;0;0;0
2019-11-06 07:45:00;40;0;0;0;0;0;0;0;0
2019-11-06 08:00:00;20;9;0;0;0;0;0;0;0
2019-11-06 08:15:00;41;4;0;0;0;0;0;0;0
2019-11-06 08:30:00;13;2;0;0;0;0;0;0;0
2019-11-06 08:45:00;2;0;0;0;0;0;0;0;0
2019-11-06 09:00:00;2;0;0;0;0;0;0;0;0
2019-11-06 09:15:00;2;0;0;0;0;0;0;0;0
2019-11-06 09:30:00;3;0;0;0;0;0;0;0;0
2019-11-06 09:45:00;14;0;0;0;0;0;0;0;0
2019-11-06 10:00:00;4;0;0;0;0;0;0;0;0
2019-11-06 10:15:00;9;1;0;0;0;0;0;0;0
2019-11-06 10:30:00;19;7;0;0;0;0;0;0;0
2019-11-06 10:45:00;7;1;0;0;0;0;0;0;0
2019-11-06 11:00:00;4;2;0;0;0;0;0;0;0
2019-11-06 11:15:00;1;0;0;0;0;0;0;0;0
2019-11-06 11:30:00;29;1;0;0;0;0;0;0;0
2019-11-06 11:45:00;29;0;0;0;0;0;0;0;0
2019-11-06 12:00:00;18;0;0;0;0;0;0;0;0
2019-11-06 12:15:00;13;1;0;0;0;0;0;0;0
2019-11-06 12:30:00;13;3;0;0;0;0;0;0;0
2019-11-06 12:45:00;42;0;0;0;0;0;0;0;0
2019-11-06 13:00:00;28;0;0;0;0;0;0;0;0
2019-11-06 13:15:00;30;9;0;0;0;0;0;0;0
2019-11-06 13:30:00;13;4;0;0;0;0;0;0;0
2019-11-06 13:45:00;34;0;0;0;0;0;0;0;0
2019-11-06 14:00:00;42;12;0;0;0;0;0;0;0
2019-11-06 14:15:00;15;2;0;0;0;0;0;0;0
2019-11-06 14:30:00;19;53;0;0;0;0;0;0;0
2019-11-06 14:45:00;21;2;0;0;0;0;0;0;0
2019-11-06 15:00:00;56;5;0;0;0;0;0;0;0
2019-11-06 15:15:00;22;2;0;0;0;0;0;0;0
2019-11-06 15:30:00;33;5;0;0;0;0;0;0;0
2019-11-06 15:45:00;10;0;0;0;0;0;0;0;0
2019-11-06 16:00:00;137;59;0;0;0;0;0;0;0
2019-11-06 16:15:00;22;1;0;0;0;0;0;0;0
2019-11-06 16:30:00;23;3;0;0;0;0;0;0;0
2019-11-06 16:45:00;37;4;0;0;0;0;0;0;0
2019-11-06 17:00:00;27;3;0;0;0;0;0;0;0
2019-11-06 17:15:00;16;0;0;0;0;0;0;0;0
2019-11-06 17:30:00;4;0;0;0;0;0;0;0;0
2019-11-06 17:45:00;9;5;0;0;0;0;0;0;0
2019-11-06 18:00:00;5;8;0;0;0;0;0;0;0
2019-11-06 18:15:00;2;0;0;0;0;0;0;0;0
2019-11-06 18:30:00;2;0;0;0;0;0;0;0;0
2019-11-06 18:45:00;15;2;0;0;0;0;0;0;0
2019-11-06 19:00:00;3;0;0;0;0;0;0;0;0
2019-11-06 19:15:00;30;0;0;0;0;0;0;0;0
2019-11-06 19:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 19:45:00;1;0;0;0;0;0;0;0;0
2019-11-06 20:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 20:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 20:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 20:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 21:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 21:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 21:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 21:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 22:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 22:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 22:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 22:45:00;0;0;0;0;0;0;0;0;0
2019-11-06 23:00:00;0;0;0;0;0;0;0;0;0
2019-11-06 23:15:00;0;0;0;0;0;0;0;0;0
2019-11-06 23:30:00;0;0;0;0;0;0;0;0;0
2019-11-06 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
