DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2019-09-23 00:00:00;3;4;2;0;0;0;0;2;0;0
2019-09-23 00:15:00;2;1;1;0;1;0;0;0;0;0
2019-09-23 00:30:00;4;6;2;1;1;1;0;0;0;0
2019-09-23 00:45:00;7;8;2;3;0;0;0;0;0;0
2019-09-23 01:00:00;1;1;0;0;0;0;0;0;0;0
2019-09-23 01:15:00;0;0;1;0;0;0;0;0;0;0
2019-09-23 01:30:00;2;2;1;0;0;0;0;1;0;0
2019-09-23 01:45:00;1;1;4;1;0;0;0;1;0;0
2019-09-23 02:00:00;
2019-09-23 02:15:00;
2019-09-23 02:30:00;
2019-09-23 02:45:00;
2019-09-23 03:00:00;
2019-09-23 03:15:00;
2019-09-23 03:30:00;
2019-09-23 03:45:00;
2019-09-23 04:00:00;
2019-09-23 04:15:00;
2019-09-23 04:30:00;
2019-09-23 04:45:00;
2019-09-23 05:00:00;
2019-09-23 05:15:00;
2019-09-23 05:30:00;
2019-09-23 05:45:00;
2019-09-23 06:00:00;
2019-09-23 06:15:00;
2019-09-23 06:30:00;
2019-09-23 06:45:00;
2019-09-23 07:00:00;
2019-09-23 07:15:00;
2019-09-23 07:30:00;
2019-09-23 07:45:00;
2019-09-23 08:00:00;77;51;129;10;2;8;13;10;1;0
2019-09-23 08:15:00;58;53;115;6;5;4;8;10;2;0
2019-09-23 08:30:00;59;51;89;9;9;4;10;9;3;3
2019-09-23 08:45:00;52;50;79;7;2;3;8;7;2;0
2019-09-23 09:00:00;41;47;59;4;9;6;11;6;2;1
2019-09-23 09:15:00;33;51;65;6;6;3;8;11;0;0
2019-09-23 09:30:00;37;52;60;5;3;2;15;6;0;0
2019-09-23 09:45:00;42;63;60;11;4;7;18;9;0;1
2019-09-23 10:00:00;31;58;70;6;7;1;18;8;0;0
2019-09-23 10:15:00;34;57;46;6;4;2;9;7;0;0
2019-09-23 10:30:00;34;48;74;3;6;2;10;7;1;0
2019-09-23 10:45:00;26;47;75;5;7;5;18;5;1;0
2019-09-23 11:00:00;31;64;77;6;7;5;22;15;11;0
2019-09-23 11:15:00;32;53;65;2;7;4;13;15;2;0
2019-09-23 11:30:00;47;63;61;8;10;2;27;11;0;0
2019-09-23 11:45:00;62;58;67;5;11;3;23;10;2;7
2019-09-23 12:00:00;35;55;87;6;11;2;23;17;2;1
2019-09-23 12:15:00;40;54;91;5;12;3;15;15;3;2
2019-09-23 12:30:00;47;56;72;7;6;8;23;18;1;0
2019-09-23 12:45:00;48;49;77;3;9;6;26;14;2;2
2019-09-23 13:00:00;78;44;100;7;5;7;23;15;0;0
2019-09-23 13:15:00;111;55;112;15;7;3;22;12;1;1
2019-09-23 13:30:00;104;51;136;11;14;8;26;17;1;1
2019-09-23 13:45:00;88;154;120;6;6;6;32;25;1;0
2019-09-23 14:00:00;49;50;84;7;65;5;82;62;2;4
2019-09-23 14:15:00;33;72;65;9;62;2;165;89;1;0
2019-09-23 14:30:00;28;101;68;13;41;5;117;52;2;9
2019-09-23 14:45:00;36;64;73;9;15;2;62;25;1;4
2019-09-23 15:00:00;43;93;86;10;28;2;51;35;3;0
2019-09-23 15:15:00;46;101;71;7;19;1;51;29;2;1
2019-09-23 15:30:00;38;113;100;6;29;2;84;45;2;0
2019-09-23 15:45:00;44;82;77;3;19;5;57;32;0;0
2019-09-23 16:00:00;50;107;103;11;39;8;54;34;1;0
2019-09-23 16:15:00;42;91;87;9;23;4;57;20;0;0
2019-09-23 16:30:00;40;81;93;6;18;3;62;28;1;1
2019-09-23 16:45:00;36;73;111;4;11;2;50;22;3;4
2019-09-23 17:00:00;37;79;96;7;16;6;44;32;2;0
2019-09-23 17:15:00;41;71;70;9;18;4;28;20;15;1
2019-09-23 17:30:00;35;80;78;9;10;4;36;23;0;3
2019-09-23 17:45:00;21;53;72;3;7;5;17;12;0;1
2019-09-23 18:00:00;38;53;74;6;14;5;119;49;0;0
2019-09-23 18:15:00;33;51;52;6;12;4;55;30;3;1
2019-09-23 18:30:00;30;48;53;9;16;2;44;27;1;5
2019-09-23 18:45:00;27;31;43;7;9;5;30;14;1;1
2019-09-23 19:00:00;19;35;72;5;8;0;19;14;2;0
2019-09-23 19:15:00;20;35;64;3;2;3;11;4;0;2
2019-09-23 19:30:00;27;32;43;2;9;5;6;5;0;7
2019-09-23 19:45:00;21;31;46;4;1;2;3;3;0;0
2019-09-23 20:00:00;14;27;47;1;2;0;3;4;0;0
2019-09-23 20:15:00;19;29;38;3;3;0;1;4;0;0
2019-09-23 20:30:00;32;23;25;1;1;0;1;8;0;0
2019-09-23 20:45:00;31;16;37;1;3;1;7;8;1;0
2019-09-23 21:00:00;95;19;80;0;4;3;2;11;0;0
2019-09-23 21:15:00;131;22;98;1;1;4;5;13;1;0
2019-09-23 21:30:00;100;18;72;7;7;5;12;17;0;0
2019-09-23 21:45:00;42;27;7;5;27;1;48;33;0;0
2019-09-23 22:00:00;23;49;21;13;104;2;101;101;6;0
2019-09-23 22:15:00;10;15;13;6;50;2;26;42;1;1
2019-09-23 22:30:00;12;16;11;3;16;0;4;2;0;0
2019-09-23 22:45:00;7;11;5;1;6;1;5;6;0;0
2019-09-23 23:00:00;5;7;15;4;2;1;0;2;0;0
2019-09-23 23:15:00;4;4;6;0;1;1;4;5;0;0
2019-09-23 23:30:00;4;5;6;1;0;1;2;1;0;0
2019-09-23 23:45:00;2;5;7;0;0;1;2;2;0;0
