DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-10-01 00:00:00;0;0;0;0;0;0;0;0
2020-10-01 00:15:00;0;1;1;0;0;0;0;0
2020-10-01 00:30:00;0;1;0;0;0;0;0;0
2020-10-01 00:45:00;0;0;0;0;0;0;0;0
2020-10-01 01:00:00;0;1;1;1;0;0;0;0
2020-10-01 01:15:00;0;3;1;1;0;0;0;0
2020-10-01 01:30:00;0;1;0;0;0;0;0;0
2020-10-01 01:45:00;0;0;0;0;0;0;0;0
2020-10-01 02:00:00;0;0;0;0;0;0;0;0
2020-10-01 02:15:00;0;0;0;0;0;0;0;0
2020-10-01 02:30:00;0;0;0;0;0;0;0;0
2020-10-01 02:45:00;0;2;1;0;0;0;0;0
2020-10-01 03:00:00;0;0;1;0;0;0;0;0
2020-10-01 03:15:00;0;2;1;1;0;0;0;0
2020-10-01 03:30:00;0;0;0;0;0;0;0;0
2020-10-01 03:45:00;0;0;0;0;0;0;0;0
2020-10-01 04:00:00;0;0;0;0;0;0;0;0
2020-10-01 04:15:00;2;1;0;0;9;0;0;0
2020-10-01 04:30:00;1;3;0;0;0;0;0;0
2020-10-01 04:45:00;1;1;2;1;0;0;0;0
2020-10-01 05:00:00;3;6;5;0;1;0;0;0
2020-10-01 05:15:00;3;8;21;2;0;0;0;0
2020-10-01 05:30:00;1;18;33;6;1;0;0;0
2020-10-01 05:45:00;6;29;34;6;8;0;0;0
2020-10-01 06:00:00;4;8;25;1;10;1;0;0
2020-10-01 06:15:00;0;15;43;4;6;0;0;0
2020-10-01 06:30:00;3;38;95;3;5;0;0;0
2020-10-01 06:45:00;4;25;100;4;5;0;0;0
2020-10-01 07:00:00;3;16;45;4;4;0;0;0
2020-10-01 07:15:00;1;15;59;9;7;0;0;0
2020-10-01 07:30:00;1;7;13;2;3;0;0;0
2020-10-01 07:45:00;2;21;70;20;14;0;0;0
2020-10-01 08:00:00;5;21;73;11;26;0;0;0
2020-10-01 08:15:00;4;25;62;7;17;0;0;0
2020-10-01 08:30:00;2;19;43;11;17;0;1;0
2020-10-01 08:45:00;2;19;40;12;266;0;6;0
2020-10-01 09:00:00;3;9;26;6;7;0;0;0
2020-10-01 09:15:00;1;18;26;3;8;0;0;0
2020-10-01 09:30:00;4;22;22;10;293;1;0;0
2020-10-01 09:45:00;2;13;22;4;9;0;0;0
2020-10-01 10:00:00;2;12;9;7;5;0;0;0
2020-10-01 10:15:00;0;17;10;2;7;0;0;0
2020-10-01 10:30:00;2;19;6;4;263;0;0;0
2020-10-01 10:45:00;3;21;10;5;263;0;0;0
2020-10-01 11:00:00;4;14;9;3;259;0;0;0
2020-10-01 11:15:00;0;16;15;3;267;0;0;0
2020-10-01 11:30:00;4;23;9;5;11;0;0;0
2020-10-01 11:45:00;2;29;18;5;14;0;0;0
2020-10-01 12:00:00;4;25;15;2;8;1;1;1
2020-10-01 12:15:00;4;17;21;3;266;0;1;0
2020-10-01 12:30:00;2;22;17;5;262;0;0;0
2020-10-01 12:45:00;11;29;17;3;266;0;0;0
2020-10-01 13:00:00;3;30;16;8;11;0;2;0
2020-10-01 13:15:00;1;28;24;5;10;0;2;0
2020-10-01 13:30:00;8;41;33;7;6;0;0;0
2020-10-01 13:45:00;7;34;37;4;10;0;0;0
2020-10-01 14:00:00;2;60;43;10;4;0;0;0
2020-10-01 14:15:00;8;43;32;4;20;0;0;0
2020-10-01 14:30:00;4;48;13;4;12;0;0;0
2020-10-01 14:45:00;3;49;26;2;10;0;0;0
2020-10-01 15:00:00;10;74;31;4;11;0;0;0
2020-10-01 15:15:00;1;80;19;1;14;0;0;0
2020-10-01 15:30:00;3;61;15;4;9;0;1;0
2020-10-01 15:45:00;2;61;12;1;9;0;0;0
2020-10-01 16:00:00;3;39;8;6;10;0;0;0
2020-10-01 16:15:00;7;52;16;3;13;0;1;0
2020-10-01 16:30:00;3;47;19;4;15;0;0;0
2020-10-01 16:45:00;1;43;23;5;12;0;0;0
2020-10-01 17:00:00;3;35;11;4;8;0;0;0
2020-10-01 17:15:00;0;51;8;1;8;0;0;0
2020-10-01 17:30:00;1;43;14;7;9;0;0;0
2020-10-01 17:45:00;1;45;19;3;10;0;0;0
2020-10-01 18:00:00;2;32;8;5;3;0;0;0
2020-10-01 18:15:00;3;24;6;2;6;0;0;0
2020-10-01 18:30:00;2;21;12;5;4;0;0;0
2020-10-01 18:45:00;1;19;10;5;4;0;0;0
2020-10-01 19:00:00;4;25;11;2;2;0;0;0
2020-10-01 19:15:00;0;13;8;1;6;0;0;0
2020-10-01 19:30:00;1;15;4;1;5;0;0;0
2020-10-01 19:45:00;0;3;5;0;1;0;0;0
2020-10-01 20:00:00;2;19;6;0;3;0;0;0
2020-10-01 20:15:00;1;10;3;0;2;0;0;0
2020-10-01 20:30:00;1;20;6;0;2;0;0;0
2020-10-01 20:45:00;0;9;8;0;2;0;0;0
2020-10-01 21:00:00;0;10;7;3;2;0;0;0
2020-10-01 21:15:00;1;18;10;1;2;0;0;0
2020-10-01 21:30:00;0;20;8;0;4;0;0;0
2020-10-01 21:45:00;7;42;11;2;17;0;0;0
2020-10-01 22:00:00;5;36;16;0;8;0;0;0
2020-10-01 22:15:00;0;5;3;0;3;0;0;0
2020-10-01 22:30:00;0;2;0;0;2;0;0;0
2020-10-01 22:45:00;2;3;5;1;0;0;0;0
2020-10-01 23:00:00;0;5;4;2;2;0;0;0
2020-10-01 23:15:00;0;3;1;0;0;0;0;0
2020-10-01 23:30:00;1;3;2;0;0;0;0;0
2020-10-01 23:45:00;0;4;4;0;0;0;0;0
