DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-02-14 00:00:00;8;6;5;4;1;12;8;2;2;2;1
2020-02-14 00:15:00;9;5;4;5;2;17;4;0;2;2;0
2020-02-14 00:30:00;7;5;0;1;3;11;6;0;2;0;0
2020-02-14 00:45:00;10;5;1;0;1;6;7;2;1;5;1
2020-02-14 01:00:00;10;4;1;0;0;6;3;2;0;2;1
2020-02-14 01:15:00;8;4;0;2;2;6;9;1;0;1;0
2020-02-14 01:30:00;8;3;1;3;2;10;2;0;0;2;0
2020-02-14 01:45:00;9;5;0;1;1;5;3;0;0;0;0
2020-02-14 02:00:00;12;11;0;0;0;10;4;0;2;3;2
2020-02-14 02:15:00;8;6;2;1;0;8;7;1;1;0;0
2020-02-14 02:30:00;6;5;0;2;1;4;0;0;1;0;0
2020-02-14 02:45:00;5;7;0;1;1;7;4;0;3;2;1
2020-02-14 03:00:00;8;6;0;1;1;7;4;0;0;2;0
2020-02-14 03:15:00;6;3;2;1;0;2;2;1;1;1;0
2020-02-14 03:30:00;8;12;0;0;1;10;7;3;2;1;0
2020-02-14 03:45:00;11;8;1;3;3;8;3;0;1;2;0
2020-02-14 04:00:00;18;12;1;6;2;7;8;3;0;1;1
2020-02-14 04:15:00;12;8;0;1;3;9;8;0;0;1;1
2020-02-14 04:30:00;12;9;2;0;1;23;10;4;1;2;1
2020-02-14 04:45:00;19;8;4;2;3;58;34;4;4;3;2
2020-02-14 05:00:00;31;28;4;14;15;102;77;1;4;8;3
2020-02-14 05:15:00;35;35;11;17;6;133;121;3;3;21;10
2020-02-14 05:30:00;54;43;17;48;15;122;123;3;10;30;12
2020-02-14 05:45:00;95;113;30;32;18;109;141;6;11;18;8
2020-02-14 06:00:00;122;119;24;35;22;119;133;12;8;23;7
2020-02-14 06:15:00;88;101;22;45;19;123;139;11;21;36;9
2020-02-14 06:30:00;83;87;24;54;23;133;166;13;18;37;9
2020-02-14 06:45:00;57;63;18;55;19;118;135;16;23;35;8
2020-02-14 07:00:00;49;62;17;77;29;122;128;23;20;31;7
2020-02-14 07:15:00;75;83;19;86;19;128;147;28;29;42;14
2020-02-14 07:30:00;82;69;22;100;25;132;146;49;27;51;14
2020-02-14 07:45:00;80;77;27;86;26;114;117;33;41;48;8
2020-02-14 08:00:00;76;78;16;105;24;93;117;27;31;48;16
2020-02-14 08:15:00;86;84;18;64;28;106;121;28;38;51;24
2020-02-14 08:30:00;82;69;18;72;29;99;121;21;29;28;22
2020-02-14 08:45:00;67;68;22;66;21;81;116;18;18;39;19
2020-02-14 09:00:00;66;58;15;50;17;65;81;30;35;42;15
2020-02-14 09:15:00;80;82;26;61;16;79;94;20;34;54;15
2020-02-14 09:30:00;68;71;21;54;21;75;87;21;25;48;20
2020-02-14 09:45:00;66;81;28;61;35;61;87;21;23;51;28
