DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-03-12 00:00:00;4;7;10;0;5;3;2;0;1;3;0;0;0;0
2020-03-12 00:15:00;8;4;16;0;7;4;2;1;4;0;0;0;0;0
2020-03-12 00:30:00;6;6;13;1;7;3;0;1;4;0;0;0;0;0
2020-03-12 00:45:00;1;3;7;1;2;2;2;0;1;3;0;0;0;0
2020-03-12 01:00:00;1;6;7;1;2;3;1;0;3;4;0;0;0;0
2020-03-12 01:15:00;1;1;8;1;0;3;2;1;4;0;0;0;0;0
2020-03-12 01:30:00;2;0;3;1;3;2;1;1;3;4;0;0;0;0
2020-03-12 01:45:00;2;2;5;0;6;1;1;0;3;3;0;0;0;0
2020-03-12 02:00:00;0;2;0;0;8;2;0;0;0;3;0;0;0;0
2020-03-12 02:15:00;2;1;3;0;3;1;0;0;0;2;0;0;0;0
2020-03-12 02:30:00;1;2;2;1;3;1;0;0;0;4;0;0;0;0
2020-03-12 02:45:00;1;2;3;0;6;3;2;0;1;1;0;0;0;0
2020-03-12 03:00:00;1;3;8;0;5;6;1;0;0;0;0;0;0;0
2020-03-12 03:15:00;2;2;8;1;3;2;1;0;1;0;0;0;0;0
2020-03-12 03:30:00;3;0;3;2;4;7;4;2;4;4;0;0;0;0
2020-03-12 03:45:00;3;7;6;1;5;3;0;0;2;3;0;0;0;0
2020-03-12 04:00:00;4;3;12;0;4;2;1;1;2;1;0;0;0;0
2020-03-12 04:15:00;8;4;5;1;10;7;3;0;5;3;0;0;0;0
2020-03-12 04:30:00;8;6;11;3;9;6;2;1;4;3;0;0;0;0
2020-03-12 04:45:00;20;13;11;1;7;6;2;0;4;6;0;0;0;0
2020-03-12 05:00:00;31;35;24;3;9;8;4;0;14;12;0;0;0;0
2020-03-12 05:15:00;92;90;36;11;16;20;9;3;10;18;0;0;0;0
2020-03-12 05:30:00;100;76;40;28;22;19;20;12;10;16;0;0;0;0
2020-03-12 05:45:00;86;59;48;32;24;26;22;9;46;58;0;0;0;0
2020-03-12 06:00:00;75;49;55;33;25;36;22;10;50;59;0;0;0;0
2020-03-12 06:15:00;111;81;73;42;45;48;28;8;41;48;0;0;0;0
2020-03-12 06:30:00;112;67;76;59;32;27;21;13;24;37;0;0;0;0
2020-03-12 06:45:00;128;94;97;76;59;62;42;14;28;27;0;0;0;0
2020-03-12 07:00:00;121;83;94;73;49;56;39;22;25;31;0;0;0;0
2020-03-12 07:15:00;157;101;119;93;81;88;69;40;49;53;0;0;0;0
2020-03-12 07:30:00;61;48;47;33;47;27;39;26;24;22;0;0;0;0
2020-03-12 07:45:00;154;120;110;87;66;63;57;46;58;41;0;0;0;0
2020-03-12 08:00:00;130;97;94;66;55;54;38;25;49;51;0;0;0;0
2020-03-12 08:15:00;100;57;101;70;61;61;38;9;45;45;0;0;0;0
2020-03-12 08:30:00;87;54;91;56;49;62;43;24;42;36;0;0;0;0
2020-03-12 08:45:00;90;58;100;67;63;69;40;20;48;49;0;0;0;0
2020-03-12 09:00:00;57;33;68;47;62;55;37;18;38;36;0;0;0;0
2020-03-12 09:15:00;54;34;79;35;54;39;32;12;31;37;0;0;0;0
2020-03-12 09:30:00;69;51;99;63;66;67;39;25;45;42;0;0;0;0
2020-03-12 09:45:00;69;43;94;47;65;74;37;14;38;40;0;0;0;0
2020-03-12 10:00:00;52;45;90;34;62;48;31;16;38;42;0;0;0;0
2020-03-12 10:15:00;60;46;92;50;63;53;30;16;43;36;0;0;0;0
2020-03-12 10:30:00;60;49;82;51;78;66;31;11;47;53;0;0;0;0
2020-03-12 10:45:00;56;40;82;33;56;62;45;19;31;31;0;0;0;0
2020-03-12 11:00:00;51;36;89;36;66;65;37;15;45;54;0;0;0;0
2020-03-12 11:15:00;58;53;100;37;71;60;29;23;54;56;0;0;0;0
2020-03-12 11:30:00;64;43;78;50;65;64;24;13;51;49;0;0;0;0
2020-03-12 11:45:00;61;35;78;51;65;59;29;9;44;56;0;0;0;0
2020-03-12 12:00:00;55;41;79;50;76;54;36;15;56;54;0;0;0;0
2020-03-12 12:15:00;60;39;59;41;57;52;34;18;46;39;0;0;0;0
