DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-08-21 00:00:00;3;14;12;6;6;0;0;0;0;0;0;0
2020-08-21 00:15:00;2;7;12;15;7;0;0;0;0;0;0;0
2020-08-21 00:30:00;2;3;15;9;10;0;0;0;0;0;0;0
2020-08-21 00:45:00;1;4;6;11;7;0;0;0;0;0;0;0
2020-08-21 01:00:00;2;5;7;7;8;0;0;0;0;0;0;0
2020-08-21 01:15:00;0;6;4;4;3;0;0;0;0;0;0;0
2020-08-21 01:30:00;0;8;9;8;4;0;0;0;0;0;0;0
2020-08-21 01:45:00;0;1;1;3;1;0;0;0;0;0;0;0
2020-08-21 02:00:00;0;6;4;6;1;0;0;0;0;0;0;0
2020-08-21 02:15:00;1;1;5;3;3;0;0;0;0;0;0;0
2020-08-21 02:30:00;2;4;3;0;4;0;0;0;0;0;0;0
2020-08-21 02:45:00;1;1;3;5;4;0;0;0;0;0;0;0
2020-08-21 03:00:00;3;6;6;1;3;0;0;0;0;0;0;0
2020-08-21 03:15:00;0;2;2;3;3;0;0;0;0;0;0;0
2020-08-21 03:30:00;2;3;0;1;3;0;0;0;0;0;0;0
2020-08-21 03:45:00;1;1;1;3;1;0;0;0;0;0;0;0
2020-08-21 04:00:00;2;2;2;3;1;0;0;0;0;0;0;0
2020-08-21 04:15:00;1;4;5;3;2;0;0;0;0;0;0;0
2020-08-21 04:30:00;0;6;8;8;2;0;0;0;0;0;0;0
2020-08-21 04:45:00;3;16;16;12;4;0;0;0;0;0;0;0
2020-08-21 05:00:00;5;19;9;5;2;0;0;0;0;0;0;0
2020-08-21 05:15:00;1;16;12;17;8;0;0;0;0;0;0;0
2020-08-21 05:30:00;17;23;16;29;21;0;0;0;0;0;0;0
2020-08-21 05:45:00;8;33;18;39;36;0;0;0;0;0;0;0
2020-08-21 06:00:00;8;22;19;30;26;1;0;0;0;0;1;2
2020-08-21 06:15:00;8;40;30;45;40;0;0;0;0;0;1;0
2020-08-21 06:30:00;15;30;26;47;52;2;0;0;0;11;1;0
2020-08-21 06:45:00;19;40;28;58;55;0;1;0;0;0;0;0
2020-08-21 07:00:00;8;37;31;56;39;1;2;0;0;2;0;1
2020-08-21 07:15:00;12;39;30;50;43;3;3;0;0;6;6;0
2020-08-21 07:30:00;21;58;28;56;61;0;1;0;0;3;5;0
2020-08-21 07:45:00;20;47;36;76;54;3;6;0;0;11;5;0
2020-08-21 08:00:00;19;39;37;52;39;0;4;0;0;0;0;0
2020-08-21 08:15:00;19;50;41;45;36;3;4;0;0;6;0;0
2020-08-21 08:30:00;16;36;39;65;45;0;2;0;0;23;2;0
2020-08-21 08:45:00;6;47;39;45;44;2;4;0;0;3;3;0
2020-08-21 09:00:00;22;42;39;57;39;3;0;0;0;2;8;28
2020-08-21 09:15:00;16;58;54;46;45;3;2;0;0;2;3;2
2020-08-21 09:30:00;13;46;58;64;53;3;1;0;0;0;9;6
2020-08-21 09:45:00;24;60;62;60;36;4;1;0;0;5;14;0
2020-08-21 10:00:00;21;70;45;57;41;2;1;0;0;6;12;17
2020-08-21 10:15:00;18;75;47;65;52;2;3;0;0;9;4;0
2020-08-21 10:30:00;13;51;62;65;46;0;3;0;0;0;0;0
2020-08-21 10:45:00;22;67;81;52;48;3;3;0;0;18;1;0
2020-08-21 11:00:00;18;57;50;54;45;6;0;0;0;51;18;6
2020-08-21 11:15:00;17;72;49;55;41;5;1;0;8;18;2;0
2020-08-21 11:30:00;20;57;46;64;53;1;1;0;0;5;6;3
