DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2019-08-23 00:00:00;8;0;2;5;4;1;0;0;0;0
2019-08-23 00:15:00;10;3;0;2;4;0;0;0;0;0
2019-08-23 00:30:00;11;7;0;7;4;0;0;0;0;0
2019-08-23 00:45:00;7;3;1;3;4;0;0;0;0;0
2019-08-23 01:00:00;3;2;0;11;7;1;0;0;0;0
2019-08-23 01:15:00;5;6;1;8;3;0;0;0;0;0
2019-08-23 01:30:00;16;8;1;6;2;0;0;0;0;0
2019-08-23 01:45:00;4;3;1;2;2;0;0;0;0;0
2019-08-23 02:00:00;5;3;0;4;3;0;0;0;0;0
2019-08-23 02:15:00;6;3;0;4;1;1;0;0;0;0
2019-08-23 02:30:00;4;2;2;3;5;0;0;0;0;0
2019-08-23 02:45:00;3;1;0;10;5;0;0;0;0;0
2019-08-23 03:00:00;2;4;1;5;1;0;0;0;0;0
2019-08-23 03:15:00;5;3;0;8;3;0;0;0;0;0
2019-08-23 03:30:00;5;5;0;8;3;1;0;0;0;0
2019-08-23 03:45:00;6;3;0;6;3;0;0;0;0;0
2019-08-23 04:00:00;13;6;0;10;8;2;0;0;0;0
2019-08-23 04:15:00;8;5;0;7;3;0;0;0;0;0
2019-08-23 04:30:00;10;3;2;5;2;0;0;0;0;0
2019-08-23 04:45:00;17;10;0;13;8;0;0;0;0;0
2019-08-23 05:00:00;17;6;0;8;6;2;0;0;0;0
2019-08-23 05:15:00;23;18;0;23;11;1;0;0;0;0
2019-08-23 05:30:00;26;15;1;42;18;1;0;0;0;0
2019-08-23 05:45:00;47;18;1;39;23;2;0;0;0;0
2019-08-23 06:00:00;42;20;5;34;14;0;0;0;0;0
2019-08-23 06:15:00;54;26;0;76;41;3;0;0;0;0
2019-08-23 06:30:00;84;46;0;66;25;7;0;0;0;0
2019-08-23 06:45:00;105;51;0;65;47;0;0;0;0;0
2019-08-23 07:00:00;81;47;0;75;41;8;0;0;0;0
2019-08-23 07:15:00;92;41;0;80;45;5;1;0;0;0
2019-08-23 07:30:00;85;55;0;77;60;3;0;0;0;0
2019-08-23 07:45:00;108;70;0;75;50;4;0;0;0;0
2019-08-23 08:00:00;76;61;0;82;52;4;0;0;0;0
2019-08-23 08:15:00;82;64;1;79;42;6;0;0;0;0
2019-08-23 08:30:00;65;72;2;57;30;6;0;0;0;0
2019-08-23 08:45:00;81;67;3;65;35;11;1;0;0;0
2019-08-23 09:00:00;78;68;1;92;36;7;6;0;0;0
2019-08-23 09:15:00;64;51;7;94;53;258;9;0;0;0
2019-08-23 09:30:00;67;42;2;85;49;7;6;0;0;0
2019-08-23 09:45:00;96;51;2;79;49;10;3;0;0;0
2019-08-23 10:00:00;85;41;0;78;44;5;1;0;0;0
2019-08-23 10:15:00;104;71;2;105;47;6;2;0;0;0
2019-08-23 10:30:00;84;50;5;109;50;10;0;0;0;0
2019-08-23 10:45:00;79;60;4;102;52;6;2;0;0;0
2019-08-23 11:00:00;78;62;7;92;51;259;1;0;0;0
2019-08-23 11:15:00;94;61;2;97;51;12;0;0;0;0
2019-08-23 11:30:00;102;70;7;96;69;8;0;0;0;0
2019-08-23 11:45:00;102;76;5;95;50;7;4;0;0;0
2019-08-23 12:00:00;112;63;5;119;63;5;2;0;0;0
2019-08-23 12:15:00;130;96;2;108;67;6;2;0;0;0
2019-08-23 12:30:00;117;55;4;101;64;9;7;0;0;0
2019-08-23 12:45:00;104;61;1;92;73;7;0;0;0;0
2019-08-23 13:00:00;92;58;5;100;70;13;0;0;0;0
2019-08-23 13:15:00;103;80;10;108;58;7;1;0;0;0
2019-08-23 13:30:00;123;67;1;104;60;257;1;0;0;0
2019-08-23 13:45:00;99;58;1;103;72;6;0;0;0;0
2019-08-23 14:00:00;99;66;11;128;66;8;7;0;0;0
2019-08-23 14:15:00;82;60;6;107;72;11;5;0;0;0
2019-08-23 14:30:00;103;57;5;109;80;8;1;0;0;0
2019-08-23 14:45:00;93;61;4;88;58;7;5;0;0;0
2019-08-23 15:00:00;106;73;2;115;58;8;2;0;0;0
2019-08-23 15:15:00;102;60;2;110;75;261;3;0;0;0
2019-08-23 15:30:00;106;56;4;122;63;8;4;0;0;0
2019-08-23 15:45:00;87;60;5;90;57;256;6;0;0;0
2019-08-23 16:00:00;106;64;3;110;65;6;0;0;0;0
2019-08-23 16:15:00;103;67;2;111;63;262;0;0;0;0
2019-08-23 16:30:00;108;73;3;96;57;7;6;0;0;0
2019-08-23 16:45:00;82;66;4;82;53;4;1;0;0;0
2019-08-23 17:00:00;87;64;2;90;50;8;0;0;0;0
2019-08-23 17:15:00;111;106;0;84;24;5;0;0;0;0
2019-08-23 17:30:00;96;116;0;87;44;6;0;0;0;0
2019-08-23 17:45:00;138;154;2;84;48;5;3;0;0;0
2019-08-23 18:00:00;132;136;0;71;32;7;0;0;0;0
2019-08-23 18:15:00;108;171;0;81;51;3;0;0;0;0
2019-08-23 18:30:00;89;96;0;68;39;5;0;0;0;0
2019-08-23 18:45:00;52;47;3;43;28;1;0;0;0;0
2019-08-23 19:00:00;60;32;2;46;18;2;0;0;0;0
2019-08-23 19:15:00;49;28;0;69;23;3;0;0;0;0
2019-08-23 19:30:00;29;19;3;41;17;0;6;0;0;0
2019-08-23 19:45:00;56;25;0;28;16;2;0;0;0;0
2019-08-23 20:00:00;54;16;1;41;16;2;0;0;0;0
2019-08-23 20:15:00;63;11;1;36;11;2;0;0;0;0
2019-08-23 20:30:00;35;31;0;43;17;0;0;0;0;0
2019-08-23 20:45:00;47;18;1;80;49;0;0;0;0;0
2019-08-23 21:00:00;37;24;0;206;152;0;0;0;0;0
2019-08-23 21:15:00;52;34;4;225;163;3;0;0;0;0
2019-08-23 21:30:00;28;18;2;83;55;0;0;0;0;0
2019-08-23 21:45:00;35;17;0;82;56;0;0;0;0;0
2019-08-23 22:00:00;20;14;7;45;27;0;0;0;0;0
2019-08-23 22:15:00;22;16;1;42;17;1;0;0;0;0
2019-08-23 22:30:00;20;14;1;31;22;0;0;0;0;0
2019-08-23 22:45:00;20;12;0;20;13;0;0;0;0;0
2019-08-23 23:00:00;15;3;3;39;11;0;0;0;0;0
2019-08-23 23:15:00;24;8;0;24;11;0;0;0;0;0
2019-08-23 23:30:00;20;7;1;20;5;0;0;0;0;0
2019-08-23 23:45:00;14;13;1;13;6;0;0;0;0;0
