DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-01-14 00:00:00;10;12;9;13;7;0;0;3;0;1;0
2020-01-14 00:15:00;9;13;10;10;1;1;2;5;0;1;0
2020-01-14 00:30:00;9;14;7;4;0;2;1;2;0;3;0
2020-01-14 00:45:00;8;10;6;13;4;2;1;4;0;4;1
2020-01-14 01:00:00;10;12;6;12;7;0;0;1;0;1;1
2020-01-14 01:15:00;7;7;5;9;4;0;2;0;0;0;0
2020-01-14 01:30:00;5;6;5;6;3;1;0;1;0;1;1
2020-01-14 01:45:00;5;5;1;2;0;1;1;5;0;1;0
2020-01-14 02:00:00;7;8;4;5;1;2;2;2;0;0;2
2020-01-14 02:15:00;13;14;6;6;1;0;0;3;0;0;0
2020-01-14 02:30:00;5;6;4;6;3;2;0;0;0;1;0
2020-01-14 02:45:00;8;13;9;12;6;1;0;1;0;2;1
2020-01-14 03:00:00;6;6;6;2;2;2;0;2;0;4;4
2020-01-14 03:15:00;5;8;1;5;2;2;0;0;0;0;0
2020-01-14 03:30:00;4;4;4;5;2;0;0;0;0;0;0
2020-01-14 03:45:00;6;6;4;5;2;1;0;2;0;1;0
2020-01-14 04:00:00;8;12;7;6;3;0;0;1;0;0;0
2020-01-14 04:15:00;22;25;10;6;5;0;0;0;0;1;1
2020-01-14 04:30:00;27;29;17;12;9;3;1;4;0;4;5
2020-01-14 04:45:00;26;28;14;12;5;5;1;8;0;2;5
2020-01-14 05:00:00;58;62;43;17;18;9;5;7;0;9;8
2020-01-14 05:15:00;71;79;71;26;21;12;4;14;0;9;22
2020-01-14 05:30:00;91;105;82;31;27;16;7;29;0;11;19
2020-01-14 05:45:00;100;116;80;56;44;20;4;38;0;21;26
2020-01-14 06:00:00;96;121;87;50;41;20;7;30;0;19;18
2020-01-14 06:15:00;127;154;114;73;50;32;16;33;0;34;47
2020-01-14 06:30:00;148;170;134;85;75;38;16;31;0;29;45
2020-01-14 06:45:00;164;182;138;102;73;41;18;36;0;28;46
2020-01-14 07:00:00;161;185;145;138;90;46;15;30;0;25;42
2020-01-14 07:15:00;138;163;157;183;94;53;31;35;0;39;75
2020-01-14 07:30:00;142;176;166;159;113;60;42;38;0;57;75
2020-01-14 07:45:00;158;193;191;131;118;62;41;37;0;46;64
2020-01-14 08:00:00;141;168;163;127;95;35;35;50;0;28;51
2020-01-14 08:15:00;130;168;154;134;109;42;43;51;0;28;40
2020-01-14 08:30:00;136;163;148;135;79;35;21;35;0;30;38
2020-01-14 08:45:00;131;150;131;144;97;40;21;31;0;35;50
2020-01-14 09:00:00;117;148;104;106;91;26;12;31;0;29;34
2020-01-14 09:15:00;100;123;106;110;83;42;26;42;0;27;27
2020-01-14 09:30:00;92;131;88;115;61;23;12;36;0;30;35
2020-01-14 09:45:00;101;123;98;110;82;28;12;40;0;29;30
2020-01-14 10:00:00;109;138;101;91;73;28;11;42;0;22;26
2020-01-14 10:15:00;111;143;103;96;90;23;18;46;0;23;29
2020-01-14 10:30:00;84;110;92;94;67;26;14;41;0;16;25
2020-01-14 10:45:00;
2020-01-14 11:00:00;
2020-01-14 11:15:00;
2020-01-14 11:30:00;16;23;12;23;33;4;2;14;0;2;4
2020-01-14 11:45:00;105;143;106;116;92;22;26;46;0;32;29
2020-01-14 12:00:00;102;135;99;113;92;22;13;51;0;19;29
2020-01-14 12:15:00;101;145;101;126;91;29;21;56;0;21;34
2020-01-14 12:30:00;107;138;93;110;84;28;16;67;0;23;30
2020-01-14 12:45:00;111;142;124;123;105;31;14;61;0;22;26
2020-01-14 13:00:00;114;163;118;118;98;37;16;52;0;28;30
2020-01-14 13:15:00;130;172;134;125;103;27;10;51;0;27;21
2020-01-14 13:30:00;134;177;117;116;88;29;19;67;0;30;28
2020-01-14 13:45:00;109;152;121;143;99;32;18;60;0;28;33
2020-01-14 14:00:00;111;153;111;132;91;29;13;56;0;27;41
2020-01-14 14:15:00;115;154;103;152;109;31;13;59;0;22;24
2020-01-14 14:30:00;104;155;108;156;139;23;11;66;0;25;45
2020-01-14 14:45:00;106;146;109;147;113;56;36;99;0;24;28
2020-01-14 15:00:00;123;170;117;163;100;43;20;70;0;20;29
2020-01-14 15:15:00;101;157;100;187;139;31;22;85;0;33;42
2020-01-14 15:30:00;124;166;113;180;141;28;11;81;0;31;41
2020-01-14 15:45:00;125;179;122;186;159;30;23;106;0;31;28
2020-01-14 16:00:00;132;175;122;198;156;32;18;86;0;33;40
2020-01-14 16:15:00;133;208;138;183;215;32;16;92;0;36;39
2020-01-14 16:30:00;125;191;131;183;173;31;13;109;0;35;37
2020-01-14 16:45:00;129;190;130;195;176;35;17;109;0;33;34
2020-01-14 17:00:00;133;200;111;202;169;55;17;72;0;34;36
2020-01-14 17:15:00;122;194;150;208;172;44;21;97;0;39;48
2020-01-14 17:30:00;138;210;143;192;170;41;15;82;0;27;30
2020-01-14 17:45:00;115;186;107;201;158;35;21;94;0;29;29
