DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-10-02 00:00:00;20;3;12;2;4;1;1
2020-10-02 00:15:00;22;14;19;9;3;5;3
2020-10-02 00:30:00;12;11;8;1;3;6;4
2020-10-02 00:45:00;7;8;13;3;1;3;3
2020-10-02 01:00:00;6;7;8;3;2;1;3
2020-10-02 01:15:00;7;3;5;1;7;3;4
2020-10-02 01:30:00;6;2;6;0;3;2;1
2020-10-02 01:45:00;4;2;8;0;4;2;3
2020-10-02 02:00:00;3;2;5;3;0;5;1
2020-10-02 02:15:00;6;2;10;3;3;3;0
2020-10-02 02:30:00;4;2;8;1;2;2;5
2020-10-02 02:45:00;7;1;11;4;6;5;1
2020-10-02 03:00:00;4;1;8;2;3;10;0
2020-10-02 03:15:00;4;2;6;2;3;4;6
2020-10-02 03:30:00;8;3;11;2;2;3;1
2020-10-02 03:45:00;4;6;9;2;4;5;2
2020-10-02 04:00:00;11;5;7;2;3;4;3
2020-10-02 04:15:00;10;5;14;5;0;2;0
2020-10-02 04:30:00;13;5;15;3;3;2;3
2020-10-02 04:45:00;18;8;37;7;1;1;0
2020-10-02 05:00:00;17;12;60;17;1;2;0
2020-10-02 05:15:00;42;23;100;35;3;1;0
2020-10-02 05:30:00;41;26;100;50;0;1;0
2020-10-02 05:45:00;59;49;108;57;3;3;0
2020-10-02 06:00:00;66;55;87;38;1;0;0
2020-10-02 06:15:00;66;54;136;71;3;0;1
2020-10-02 06:30:00;105;40;165;81;3;0;0
2020-10-02 06:45:00;108;67;147;92;8;0;1
2020-10-02 07:00:00;154;75;145;86;10;0;0
2020-10-02 07:15:00;191;92;158;104;9;0;0
2020-10-02 07:30:00;198;129;204;118;29;1;0
2020-10-02 07:45:00;184;111;207;105;14;0;3
2020-10-02 08:00:00;142;91;163;97;10;5;3
2020-10-02 08:15:00;147;95;153;86;10;1;2
2020-10-02 08:30:00;133;86;161;82;14;3;0
2020-10-02 08:45:00;152;101;159;88;15;1;0
2020-10-02 09:00:00;131;80;156;67;10;0;1
2020-10-02 09:15:00;119;94;143;81;7;1;2
2020-10-02 09:30:00;133;92;139;74;9;1;0
2020-10-02 09:45:00;145;121;134;93;11;3;1
2020-10-02 10:00:00;135;105;152;91;11;5;2
2020-10-02 10:15:00;123;99;156;84;14;2;4
2020-10-02 10:30:00;151;99;167;96;12;3;0
2020-10-02 10:45:00;155;128;177;86;16;0;1
2020-10-02 11:00:00;137;107;165;88;7;1;1
2020-10-02 11:15:00;137;97;188;96;12;1;0
2020-10-02 11:30:00;154;130;168;88;13;2;1
2020-10-02 11:45:00;157;109;178;82;8;1;1
2020-10-02 12:00:00;162;138;166;69;20;6;1
2020-10-02 12:15:00;175;119;175;85;10;2;2
2020-10-02 12:30:00;175;138;180;91;11;4;3
2020-10-02 12:45:00;219;179;187;91;17;4;4
2020-10-02 13:00:00;174;122;208;114;18;2;2
2020-10-02 13:15:00;196;139;217;116;14;3;2
2020-10-02 13:30:00;188;163;195;110;12;4;2
2020-10-02 13:45:00;181;145;201;93;14;2;4
2020-10-02 14:00:00;185;138;193;95;10;5;5
2020-10-02 14:15:00;204;163;207;100;3;2;8
2020-10-02 14:30:00;202;153;198;87;11;2;3
2020-10-02 14:45:00;199;165;207;89;15;10;4
2020-10-02 15:00:00;202;135;187;107;12;3;7
2020-10-02 15:15:00;184;141;178;94;11;3;0
2020-10-02 15:30:00;184;147;197;90;11;4;4
2020-10-02 15:45:00;219;151;196;88;10;5;1
2020-10-02 16:00:00;217;151;178;100;14;1;2
2020-10-02 16:15:00;201;182;178;98;10;1;2
2020-10-02 16:30:00;176;123;194;93;9;2;2
2020-10-02 16:45:00;182;140;194;94;11;0;2
2020-10-02 17:00:00;180;158;196;91;18;4;4
2020-10-02 17:15:00;200;156;183;93;19;4;5
2020-10-02 17:30:00;195;156;180;97;15;4;4
2020-10-02 17:45:00;189;162;172;76;12;1;2
2020-10-02 18:00:00;189;132;204;84;15;2;1
2020-10-02 18:15:00;185;128;194;91;12;4;2
2020-10-02 18:30:00;167;121;141;74;12;4;0
2020-10-02 18:45:00;156;124;172;82;9;3;3
2020-10-02 19:00:00;142;100;143;91;5;4;3
2020-10-02 19:15:00;121;88;162;70;6;3;0
2020-10-02 19:30:00;113;79;131;55;7;0;1
2020-10-02 19:45:00;119;81;146;44;6;10;3
2020-10-02 20:00:00;99;71;97;50;6;1;3
2020-10-02 20:15:00;120;73;116;46;6;2;3
2020-10-02 20:30:00;96;65;100;52;9;2;0
2020-10-02 20:45:00;81;63;100;43;3;2;3
2020-10-02 21:00:00;55;49;68;44;4;1;2
2020-10-02 21:15:00;91;46;91;46;6;3;1
2020-10-02 21:30:00;66;37;82;34;4;0;0
2020-10-02 21:45:00;82;51;83;40;8;1;0
2020-10-02 22:00:00;55;58;50;29;2;1;1
2020-10-02 22:15:00;72;54;90;34;3;2;2
2020-10-02 22:30:00;41;33;67;27;3;0;1
2020-10-02 22:45:00;33;31;69;21;5;0;5
2020-10-02 23:00:00;38;19;47;18;1;1;5
2020-10-02 23:15:00;47;29;51;19;2;1;2
2020-10-02 23:30:00;30;28;42;13;3;2;3
2020-10-02 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
