DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2020-09-08 00:00:00;3;5;1;0;0;1;1;0;5;4;1;0;4;2;0;0;0;0;0;0;0
2020-09-08 00:15:00;2;11;4;2;2;0;0;0;7;4;0;1;4;4;0;0;0;0;0;0;0
2020-09-08 00:30:00;1;7;2;0;1;2;2;1;4;3;0;0;3;1;0;0;0;0;0;0;0
2020-09-08 00:45:00;4;4;1;2;0;2;0;0;3;2;0;0;1;2;0;0;0;0;0;0;0
2020-09-08 01:00:00;2;5;0;0;1;2;0;0;4;5;0;0;2;2;0;0;0;0;0;0;0
2020-09-08 01:15:00;2;4;3;0;0;1;0;0;4;2;0;1;0;0;2;0;0;0;0;0;0
2020-09-08 01:30:00;2;4;1;0;1;2;0;0;3;1;0;0;2;2;0;0;0;0;0;0;0
2020-09-08 01:45:00;2;6;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0
2020-09-08 02:00:00;3;0;1;2;0;0;0;0;1;2;0;0;1;3;0;0;0;0;0;0;0
2020-09-08 02:15:00;1;3;1;0;0;1;0;0;4;6;2;0;4;2;0;0;0;0;0;0;0
2020-09-08 02:30:00;0;6;0;1;1;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0
2020-09-08 02:45:00;5;2;2;0;1;0;0;0;4;0;0;0;7;4;0;0;0;0;0;0;0
2020-09-08 03:00:00;5;1;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2020-09-08 03:15:00;3;5;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
2020-09-08 03:30:00;5;3;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
2020-09-08 03:45:00;3;8;0;0;1;1;0;0;1;2;1;0;0;1;2;0;0;0;0;0;0
2020-09-08 04:00:00;1;3;1;1;0;2;1;0;1;3;1;0;2;2;0;0;0;0;0;0;0
2020-09-08 04:15:00;2;7;1;0;2;1;0;0;1;2;2;1;4;5;1;0;0;0;0;0;0
2020-09-08 04:30:00;4;5;1;1;0;1;1;0;6;3;4;1;5;6;4;0;0;0;0;0;0
2020-09-08 04:45:00;6;7;4;2;2;3;1;0;9;3;6;1;3;7;0;0;0;0;0;0;0
2020-09-08 05:00:00;6;8;4;2;9;11;2;0;12;7;14;2;7;7;3;0;0;0;0;0;0
2020-09-08 05:15:00;13;18;6;3;16;14;1;0;22;12;18;3;10;4;3;0;0;0;0;0;0
2020-09-08 05:30:00;37;33;22;12;10;20;5;2;28;24;31;4;11;8;5;0;0;0;0;0;0
2020-09-08 05:45:00;41;34;22;7;13;20;1;3;30;27;5;21;32;15;18;0;0;0;0;0;0
2020-09-08 06:00:00;37;34;30;7;7;26;8;0;23;36;11;27;42;22;13;1;0;0;0;0;0
2020-09-08 06:15:00;29;51;30;5;13;25;5;1;35;50;5;17;32;26;19;0;0;0;0;0;0
2020-09-08 06:30:00;62;48;43;4;32;34;5;2;41;54;16;10;41;18;17;0;0;0;0;0;0
2020-09-08 06:45:00;71;45;37;7;13;49;6;1;35;54;16;9;36;20;20;0;0;0;0;0;0
2020-09-08 07:00:00;76;63;61;7;25;40;6;2;36;57;17;6;63;43;35;0;0;0;0;0;0
2020-09-08 07:15:00;49;65;51;16;39;58;15;2;39;54;27;13;69;44;44;0;0;0;0;0;0
2020-09-08 07:30:00;63;45;57;21;45;53;18;6;53;61;32;11;53;28;20;0;6;1;1;0;0
2020-09-08 07:45:00;74;60;47;20;51;62;17;2;55;74;31;25;50;30;30;0;0;0;0;0;0
2020-09-08 08:00:00;75;80;69;23;52;62;12;7;62;69;31;18;65;36;34;0;0;1;0;0;0
2020-09-08 08:15:00;46;52;52;27;38;50;17;3;80;47;31;35;49;28;25;0;27;0;0;1;1
2020-09-08 08:30:00;52;70;52;20;37;39;16;5;53;57;34;22;44;26;25;0;0;0;0;0;0
