DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFGA);11(TAFBA);12(TAFGB);13(TAFBB);14(TAFGC);15(TAFBC);16(TAFBD);17(TAFBE);18(TARDC);19(TARDD)
2020-11-24 00:00:00;4;7;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 00:15:00;6;7;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 00:30:00;5;7;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 00:45:00;6;6;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 01:00:00;5;11;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 01:15:00;2;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 01:30:00;10;6;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 01:45:00;5;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:00:00;8;7;4;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:15:00;5;5;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:30:00;3;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 02:45:00;7;8;6;9;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 03:00:00;6;5;5;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-24 03:15:00;6;7;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 03:30:00;11;5;6;10;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 03:45:00;8;5;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 04:00:00;4;11;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-24 04:15:00;13;21;11;21;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0
