DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-11-29 00:00:00;0;30;0;1;0;1;22;18;1;1
2020-11-29 00:15:00;0;23;0;0;1;0;16;16;1;1
2020-11-29 00:30:00;0;20;2;2;0;2;19;8;0;0
2020-11-29 00:45:00;0;22;0;0;0;1;25;20;2;2
2020-11-29 01:00:00;0;13;0;0;1;2;10;10;0;0
2020-11-29 01:15:00;0;17;0;0;0;4;21;13;0;0
2020-11-29 01:30:00;0;13;0;0;1;1;9;7;0;0
2020-11-29 01:45:00;0;16;1;0;0;0;10;7;0;0
2020-11-29 02:00:00;0;11;0;0;0;1;8;10;2;2
2020-11-29 02:15:00;0;12;0;0;1;0;7;6;1;0
2020-11-29 02:30:00;0;11;0;0;0;0;6;5;0;0
2020-11-29 02:45:00;0;6;0;0;0;1;7;2;0;0
2020-11-29 03:00:00;0;4;0;0;0;2;7;5;0;0
2020-11-29 03:15:00;0;7;1;1;2;1;6;4;0;0
2020-11-29 03:30:00;0;7;0;0;0;0;7;2;0;0
2020-11-29 03:45:00;0;3;0;0;0;0;5;4;0;0
2020-11-29 04:00:00;0;3;1;0;0;0;5;3;0;0
2020-11-29 04:15:00;0;4;1;0;0;2;3;2;1;1
2020-11-29 04:30:00;0;6;0;0;0;1;6;2;0;0
2020-11-29 04:45:00;0;9;0;0;0;0;3;5;2;1
2020-11-29 05:00:00;0;6;0;0;0;10;5;4;0;0
2020-11-29 05:15:00;0;13;0;0;1;4;6;10;0;0
2020-11-29 05:30:00;0;10;0;1;5;8;9;17;2;3
2020-11-29 05:45:00;0;16;4;7;1;5;7;10;0;0
2020-11-29 06:00:00;0;11;3;6;1;4;6;15;0;1
2020-11-29 06:15:00;0;6;4;4;1;2;7;4;0;0
2020-11-29 06:30:00;0;14;2;0;1;0;9;8;0;0
2020-11-29 06:45:00;0;13;2;1;0;0;8;6;1;1
2020-11-29 07:00:00;0;10;0;0;0;3;12;6;0;0
2020-11-29 07:15:00;0;8;1;0;1;1;12;5;0;0
2020-11-29 07:30:00;0;8;0;0;0;1;17;6;0;0
2020-11-29 07:45:00;0;10;0;2;0;5;9;13;0;0
2020-11-29 08:00:00;0;9;1;1;0;2;6;6;1;1
2020-11-29 08:15:00;0;11;0;3;1;4;13;7;1;0
2020-11-29 08:30:00;0;12;0;2;0;1;18;10;0;0
2020-11-29 08:45:00;0;14;1;2;0;2;21;16;1;1
2020-11-29 09:00:00;0;18;0;2;1;3;17;15;5;1
2020-11-29 09:15:00;0;22;0;1;1;5;23;30;1;0
2020-11-29 09:30:00;0;24;3;3;1;3;30;35;2;1
2020-11-29 09:45:00;0;38;2;1;1;4;27;24;2;0
2020-11-29 10:00:00;0;39;1;1;2;2;32;34;5;0
2020-11-29 10:15:00;0;37;0;3;2;3;38;32;3;0
2020-11-29 10:30:00;0;56;1;1;2;7;39;37;3;1
2020-11-29 10:45:00;0;50;0;1;1;4;29;37;5;2
2020-11-29 11:00:00;0;51;0;3;2;6;50;48;4;2
2020-11-29 11:15:00;0;68;2;5;7;12;50;39;4;0
2020-11-29 11:30:00;0;52;0;4;4;7;53;53;5;0
2020-11-29 11:45:00;0;61;1;2;4;5;47;51;5;1
2020-11-29 12:00:00;0;71;1;1;2;11;56;51;7;1
2020-11-29 12:15:00;0;59;2;0;3;7;51;64;5;1
2020-11-29 12:30:00;0;59;3;1;7;11;56;46;4;1
2020-11-29 12:45:00;0;73;1;1;1;11;74;68;4;4
2020-11-29 13:00:00;0;74;2;0;3;11;66;67;8;4
2020-11-29 13:15:00;0;74;1;4;7;12;55;62;5;2
2020-11-29 13:30:00;0;77;1;3;6;15;59;68;6;3
2020-11-29 13:45:00;0;67;6;8;5;12;61;82;10;2
2020-11-29 14:00:00;0;58;8;7;9;4;68;72;7;2
2020-11-29 14:15:00;0;83;3;6;7;13;63;69;2;1
2020-11-29 14:30:00;0;79;4;4;3;17;66;77;11;0
2020-11-29 14:45:00;0;90;1;6;8;8;58;66;6;1
2020-11-29 15:00:00;0;69;2;2;4;6;58;74;7;0
2020-11-29 15:15:00;0;77;2;1;2;5;66;78;5;3
2020-11-29 15:30:00;0;69;1;0;2;10;60;64;17;4
2020-11-29 15:45:00;0;86;1;2;3;6;68;73;7;3
2020-11-29 16:00:00;0;82;2;5;4;11;59;79;5;1
2020-11-29 16:15:00;0;91;3;6;4;12;63;72;4;0
2020-11-29 16:30:00;0;85;0;3;8;11;67;78;6;2
2020-11-29 16:45:00;0;66;2;1;1;10;66;76;2;2
2020-11-29 17:00:00;0;81;2;2;1;9;64;74;7;1
2020-11-29 17:15:00;0;64;2;1;2;8;65;67;8;4
2020-11-29 17:30:00;0;75;2;2;1;9;52;65;7;2
2020-11-29 17:45:00;0;70;2;2;3;10;53;60;1;1
2020-11-29 18:00:00;0;64;2;0;2;7;59;67;4;1
2020-11-29 18:15:00;0;59;1;4;2;12;53;63;3;1
2020-11-29 18:30:00;0;53;3;2;7;13;51;44;1;2
2020-11-29 18:45:00;0;52;3;1;3;8;54;54;2;0
2020-11-29 19:00:00;0;55;0;1;2;5;55;61;4;2
2020-11-29 19:15:00;0;64;5;2;3;7;45;61;7;3
2020-11-29 19:30:00;0;50;0;2;3;9;50;52;1;0
2020-11-29 19:45:00;0;46;1;0;1;6;56;43;3;3
2020-11-29 20:00:00;0;58;2;1;3;4;45;50;2;0
2020-11-29 20:15:00;0;37;0;3;1;3;42;43;4;0
2020-11-29 20:30:00;0;33;0;0;0;6;42;46;4;0
2020-11-29 20:45:00;0;41;0;1;1;6;40;39;1;1
2020-11-29 21:00:00;0;30;0;0;3;13;32;28;3;2
2020-11-29 21:15:00;0;36;3;4;0;22;26;29;2;2
2020-11-29 21:30:00;0;35;3;4;3;35;42;34;4;4
2020-11-29 21:45:00;0;41;2;2;2;15;30;24;5;5
2020-11-29 22:00:00;0;32;4;4;5;2;20;22;3;3
2020-11-29 22:15:00;0;22;3;6;2;3;31;25;2;1
2020-11-29 22:30:00;0;15;0;1;0;2;24;16;2;1
2020-11-29 22:45:00;0;14;0;0;0;1;18;13;2;1
2020-11-29 23:00:00;0;18;0;0;0;0;20;7;2;1
2020-11-29 23:15:00;0;6;0;0;0;0;24;14;0;0
2020-11-29 23:30:00;0;13;0;0;0;0;15;4;1;1
2020-11-29 23:45:00;0;9;0;0;1;1;15;7;0;0
