DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2019-08-08 00:00:00;6;1;1;0;0;7;4;7;0;1;1
2019-08-08 00:15:00;8;0;0;0;0;4;0;4;0;0;5
2019-08-08 00:30:00;5;1;1;0;0;5;1;5;0;0;1
2019-08-08 00:45:00;2;3;2;0;0;7;1;7;0;0;7
2019-08-08 01:00:00;3;2;2;0;0;8;0;8;6;2;27
2019-08-08 01:15:00;3;1;1;0;0;7;0;7;3;2;11
2019-08-08 01:30:00;3;3;1;0;0;6;2;6;0;0;14
2019-08-08 01:45:00;6;3;1;0;0;4;5;4;1;3;8
2019-08-08 02:00:00;2;0;0;0;0;1;0;1;2;0;24
2019-08-08 02:15:00;6;1;1;0;0;4;3;4;1;1;29
2019-08-08 02:30:00;5;3;3;0;0;4;4;4;0;1;15
2019-08-08 02:45:00;1;0;0;0;0;3;2;3;2;7;0
2019-08-08 03:00:00;5;3;3;0;0;3;1;3;1;2;0
2019-08-08 03:15:00;3;3;1;0;0;2;1;2;0;1;0
2019-08-08 03:30:00;11;6;6;0;0;5;7;5;2;4;0
2019-08-08 03:45:00;8;5;4;1;0;2;14;3;6;6;0
2019-08-08 04:00:00;5;2;2;0;0;9;5;9;2;3;0
2019-08-08 04:15:00;11;2;0;0;0;9;1;9;0;2;0
2019-08-08 04:30:00;10;3;1;0;0;9;5;9;0;1;0
2019-08-08 04:45:00;21;4;5;0;0;8;9;8;3;4;0
2019-08-08 05:00:00;35;4;1;0;0;20;7;20;1;1;0
2019-08-08 05:15:00;30;5;5;0;0;19;8;19;4;7;0
2019-08-08 05:30:00;82;5;3;0;0;28;7;28;3;4;0
2019-08-08 05:45:00;64;6;5;0;0;40;6;40;4;7;0
2019-08-08 06:00:00;80;3;2;0;1;41;7;41;5;6;0
2019-08-08 06:15:00;88;7;2;0;5;46;7;46;8;7;0
2019-08-08 06:30:00;148;1;1;1;1;80;13;81;6;7;0
2019-08-08 06:45:00;187;2;2;0;2;75;15;73;6;5;0
2019-08-08 07:00:00;133;4;3;0;1;48;16;48;9;4;0
2019-08-08 07:15:00;150;5;4;0;1;54;13;55;7;6;0
2019-08-08 07:30:00;163;3;2;0;0;63;10;63;2;6;0
2019-08-08 07:45:00;178;2;1;0;4;59;19;59;6;3;0
2019-08-08 08:00:00;171;2;2;2;1;54;19;56;12;7;1
