DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2020-01-02 00:00:00;11;5;0;4;8;11;11;5;6;0;0;0
2020-01-02 00:15:00;5;5;2;2;7;10;7;7;7;0;0;0
2020-01-02 00:30:00;9;8;0;1;12;8;10;8;7;0;0;0
2020-01-02 00:45:00;10;5;0;1;6;5;9;5;3;0;0;0
2020-01-02 01:00:00;10;7;1;1;4;6;11;3;5;0;0;0
2020-01-02 01:15:00;17;5;0;0;3;6;16;3;4;0;0;1
2020-01-02 01:30:00;7;4;1;1;5;9;7;3;4;0;0;2
2020-01-02 01:45:00;13;6;1;1;1;6;13;0;2;0;0;1
2020-01-02 02:00:00;14;8;0;0;1;2;12;2;1;0;0;0
2020-01-02 02:15:00;14;8;0;3;2;5;15;1;1;0;0;0
2020-01-02 02:30:00;11;10;0;1;4;4;12;2;3;0;0;0
2020-01-02 02:45:00;12;10;0;0;4;5;11;3;2;1;0;0
2020-01-02 03:00:00;7;2;0;1;4;7;8;3;6;1;0;0
2020-01-02 03:15:00;10;8;0;0;3;8;12;7;7;0;0;0
2020-01-02 03:30:00;9;6;0;1;3;4;9;3;2;0;0;0
2020-01-02 03:45:00;10;7;0;0;5;8;11;3;3;0;0;0
2020-01-02 04:00:00;13;10;0;1;7;9;13;8;9;1;0;0
2020-01-02 04:15:00;14;10;0;0;8;5;13;9;10;1;0;0
2020-01-02 04:30:00;22;5;1;0;7;12;20;6;16;2;0;0
2020-01-02 04:45:00;14;8;0;4;13;9;16;7;8;1;0;0
2020-01-02 05:00:00;28;14;2;6;13;10;27;11;11;1;0;1
2020-01-02 05:15:00;43;16;8;3;23;18;43;26;20;2;0;2
2020-01-02 05:30:00;56;20;1;2;28;37;51;34;34;4;1;2
2020-01-02 05:45:00;39;18;0;4;22;35;39;21;32;1;0;1
2020-01-02 06:00:00;43;20;3;4;28;32;43;31;31;0;0;2
2020-01-02 06:15:00;58;35;5;9;31;31;58;33;34;2;0;1
2020-01-02 06:30:00;66;21;4;7;42;52;71;49;49;2;0;2
2020-01-02 06:45:00;82;23;3;8;38;40;90;34;33;4;0;4
2020-01-02 07:00:00;66;25;4;9;37;58;78;41;51;1;1;4
2020-01-02 07:15:00;115;34;7;6;39;48;115;40;47;2;0;2
2020-01-02 07:30:00;86;31;13;2;39;65;104;51;66;2;2;3
2020-01-02 07:45:00;118;32;8;11;42;54;129;50;60;2;2;5
2020-01-02 08:00:00;93;30;7;6;49;77;102;52;76;2;0;4
2020-01-02 08:15:00;88;20;10;12;53;61;102;46;67;0;1;1
2020-01-02 08:30:00;96;25;11;21;74;76;109;55;74;1;0;6
2020-01-02 08:45:00;130;34;13;18;77;80;138;65;80;0;0;2
2020-01-02 09:00:00;112;26;14;20;77;93;120;72;87;0;0;3
2020-01-02 09:15:00;120;29;15;14;87;87;130;83;95;1;2;3
2020-01-02 09:30:00;139;25;24;25;91;126;152;90;121;3;0;3
2020-01-02 09:45:00;150;35;17;27;91;115;166;87;100;1;0;0
2020-01-02 10:00:00;166;32;24;35;82;123;184;96;118;2;3;4
2020-01-02 10:15:00;134;27;26;27;88;107;153;92;96;3;1;6
2020-01-02 10:30:00;172;23;32;33;83;122;162;90;129;2;1;3
2020-01-02 10:45:00;175;37;29;25;102;140;194;99;131;3;1;2
2020-01-02 11:00:00;187;34;27;45;62;116;192;82;131;1;0;3
2020-01-02 11:15:00;206;28;28;44;64;84;207;97;122;0;1;2
2020-01-02 11:30:00;193;32;46;55;52;26;198;111;128;1;1;0
2020-01-02 11:45:00;205;28;30;44;63;84;211;105;128;2;4;2
2020-01-02 12:00:00;220;26;30;45;75;90;222;100;130;0;1;4
2020-01-02 12:15:00;190;43;28;70;57;96;214;100;128;1;0;1
2020-01-02 12:30:00;212;32;32;62;72;100;223;102;136;1;1;5
2020-01-02 12:45:00;213;39;31;55;76;53;224;103;130;0;2;4
2020-01-02 13:00:00;189;41;35;52;49;91;167;104;145;1;1;5
2020-01-02 13:15:00;212;38;33;45;72;88;171;114;145;0;2;5
2020-01-02 13:30:00;241;31;32;39;61;126;190;109;159;2;2;3
2020-01-02 13:45:00;250;36;25;45;52;106;229;88;150;0;4;5
2020-01-02 14:00:00;228;36;36;39;94;77;205;121;162;0;0;2
2020-01-02 14:15:00;252;33;32;68;31;117;232;111;158;2;1;4
2020-01-02 14:30:00;259;36;28;55;80;122;233;117;160;2;1;7
2020-01-02 14:45:00;236;40;33;49;77;85;243;113;153;1;1;3
2020-01-02 15:00:00;237;47;47;40;50;117;240;141;177;0;0;3
2020-01-02 15:15:00;235;25;36;61;73;67;234;105;155;1;1;2
2020-01-02 15:30:00;246;24;35;63;67;118;243;108;153;0;2;1
2020-01-02 15:45:00;247;25;40;67;80;121;245;117;144;1;0;9
2020-01-02 16:00:00;264;38;34;57;68;93;219;115;136;3;5;10
2020-01-02 16:15:00;247;37;35;45;81;124;228;119;138;2;2;10
2020-01-02 16:30:00;184;26;34;66;73;89;180;126;125;2;2;4
2020-01-02 16:45:00;160;21;34;64;28;71;150;94;117;0;0;8
2020-01-02 17:00:00;254;20;35;67;32;70;247;82;105;1;2;9
2020-01-02 17:15:00;266;25;25;82;33;60;256;83;119;1;3;3
2020-01-02 17:30:00;228;42;37;56;39;43;246;105;107;2;2;3
2020-01-02 17:45:00;201;49;41;46;50;79;194;101;107;3;0;2
2020-01-02 18:00:00;207;30;20;51;28;50;202;82;93;0;0;5
2020-01-02 18:15:00;205;29;35;39;33;38;191;85;92;5;0;2
2020-01-02 18:30:00;189;32;21;53;54;51;167;80;93;1;2;2
2020-01-02 18:45:00;179;33;30;36;41;52;154;78;88;2;1;4
2020-01-02 19:00:00;165;23;21;45;40;82;137;78;84;1;1;4
2020-01-02 19:15:00;174;30;21;33;37;32;169;60;61;0;4;4
2020-01-02 19:30:00;146;35;14;27;37;33;121;52;43;1;0;3
2020-01-02 19:45:00;112;29;20;41;26;55;78;55;54;3;1;2
2020-01-02 20:00:00;138;23;33;42;28;30;123;55;47;1;0;2
2020-01-02 20:15:00;172;23;17;35;38;45;145;44;39;0;3;2
2020-01-02 20:30:00;118;19;15;35;22;36;86;41;34;1;2;0
2020-01-02 20:45:00;94;16;7;19;28;33;80;32;38;0;0;0
2020-01-02 21:00:00;106;19;12;38;20;21;79;26;24;0;8;0
2020-01-02 21:15:00;100;18;9;21;23;42;83;33;43;0;1;2
2020-01-02 21:30:00;85;19;12;26;23;30;67;37;29;0;4;0
2020-01-02 21:45:00;99;23;10;26;19;30;89;33;41;0;2;2
2020-01-02 22:00:00;87;16;10;34;20;30;70;18;24;0;2;4
2020-01-02 22:15:00;87;20;2;20;17;26;67;17;22;0;0;1
2020-01-02 22:30:00;82;34;6;23;20;29;65;17;26;1;1;2
2020-01-02 22:45:00;58;23;9;17;17;25;45;24;21;0;2;0
2020-01-02 23:00:00;45;9;5;22;18;16;40;17;21;0;0;0
2020-01-02 23:15:00;45;15;6;20;13;17;38;19;12;0;0;0
2020-01-02 23:30:00;25;8;4;16;19;18;27;9;8;1;0;0
2020-01-02 23:45:00;32;8;5;7;15;19;28;10;14;1;0;1
