DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2019-10-29 00:00:00;0;15;1;2;3;1;12;7;0;0
2019-10-29 00:15:00;0;10;0;0;0;3;11;7;0;0
2019-10-29 00:30:00;0;20;0;0;0;1;10;6;0;0
2019-10-29 00:45:00;0;7;0;0;1;4;16;6;0;0
2019-10-29 01:00:00;0;14;0;0;1;0;10;7;0;0
2019-10-29 01:15:00;0;12;0;0;1;2;9;4;0;0
2019-10-29 01:30:00;0;12;1;0;0;1;13;1;0;0
2019-10-29 01:45:00;0;9;0;1;0;1;5;3;0;0
2019-10-29 02:00:00;0;10;0;0;1;0;13;4;0;0
2019-10-29 02:15:00;0;13;0;0;0;0;7;1;0;0
2019-10-29 02:30:00;0;4;0;1;0;3;18;3;0;0
2019-10-29 02:45:00;0;8;1;1;1;1;11;3;0;0
2019-10-29 03:00:00;0;12;0;0;1;0;9;4;0;0
2019-10-29 03:15:00;0;5;0;0;0;0;8;1;0;0
2019-10-29 03:30:00;0;11;0;0;2;1;9;4;0;0
2019-10-29 03:45:00;0;12;0;0;0;2;14;3;0;0
2019-10-29 04:00:00;0;23;0;0;0;2;12;4;0;0
2019-10-29 04:15:00;0;13;1;1;0;7;11;4;0;0
2019-10-29 04:30:00;0;26;0;0;1;12;23;7;0;0
2019-10-29 04:45:00;0;20;0;2;0;14;29;18;0;0
2019-10-29 05:00:00;0;47;2;6;4;75;79;54;0;0
2019-10-29 05:15:00;0;75;0;1;3;157;107;112;0;0
2019-10-29 05:30:00;0;88;3;3;13;171;82;145;0;0
2019-10-29 05:45:00;0;127;16;56;49;175;69;124;0;0
2019-10-29 06:00:00;0;133;34;54;50;186;68;131;0;0
2019-10-29 06:15:00;0;125;8;21;20;223;84;126;0;0
2019-10-29 06:30:00;0;132;10;14;16;243;94;122;0;0
2019-10-29 06:45:00;0;125;8;12;14;216;100;162;0;0
2019-10-29 07:00:00;0;117;7;16;14;228;30;156;0;0
2019-10-29 07:15:00;0;130;10;19;18;238;70;168;0;0
2019-10-29 07:30:00;0;129;15;17;22;223;88;164;0;0
