DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2019-09-02 00:00:00;4;1;0;0;0;0;0;0;0;0;1
2019-09-02 00:15:00;2;0;1;2;1;0;1;0;1;0;4
2019-09-02 00:30:00;3;1;0;0;0;0;0;0;0;0;3
2019-09-02 00:45:00;1;0;0;0;0;0;0;0;0;0;4
2019-09-02 01:00:00;3;0;0;0;0;0;0;0;0;0;4
2019-09-02 01:15:00;1;0;0;0;0;0;0;0;0;0;4
2019-09-02 01:30:00;4;1;0;0;0;0;0;0;0;0;2
2019-09-02 01:45:00;1;0;0;0;0;0;0;0;0;0;2
2019-09-02 02:00:00;0;0;0;0;0;0;0;0;0;0;0
2019-09-02 02:15:00;0;0;0;0;0;0;0;0;0;0;1
2019-09-02 02:30:00;0;0;0;0;0;0;0;0;0;0;5
2019-09-02 02:45:00;1;0;0;0;0;0;0;0;0;0;0
2019-09-02 03:00:00;1;1;0;0;0;0;0;0;0;0;1
2019-09-02 03:15:00;1;0;0;0;0;0;0;0;0;0;3
2019-09-02 03:30:00;2;1;0;0;0;0;0;0;0;0;4
2019-09-02 03:45:00;2;1;0;0;0;0;0;0;0;0;0
2019-09-02 04:00:00;3;1;1;1;0;0;0;0;0;0;1
2019-09-02 04:15:00;4;1;1;1;0;0;0;0;1;0;4
2019-09-02 04:30:00;4;1;2;2;1;0;1;0;0;1;7
2019-09-02 04:45:00;10;2;3;4;2;0;2;0;1;1;14
2019-09-02 05:00:00;31;2;7;6;1;0;1;0;1;4;26
2019-09-02 05:15:00;64;3;21;22;0;1;0;2;1;12;59
2019-09-02 05:30:00;55;2;37;37;3;2;3;1;2;37;64
2019-09-02 05:45:00;34;4;62;64;2;1;2;1;3;62;31
2019-09-02 06:00:00;43;3;58;56;4;1;4;0;2;51;40
2019-09-02 06:15:00;38;2;33;33;6;1;6;0;6;41;41
2019-09-02 06:30:00;77;8;46;44;8;2;7;2;6;40;44
2019-09-02 06:45:00;59;4;26;25;8;2;9;0;3;40;38
2019-09-02 07:00:00;53;2;43;42;10;3;11;1;4;35;44
2019-09-02 07:15:00;61;9;44;43;6;4;7;2;3;23;31
2019-09-02 07:30:00;76;13;38;37;10;5;11;2;9;28;41
2019-09-02 07:45:00;49;7;30;28;7;7;8;4;5;25;34
2019-09-02 08:00:00;56;10;25;24;13;6;13;3;0;26;41
2019-09-02 08:15:00;48;3;28;27;12;11;14;7;5;18;39
2019-09-02 08:30:00;64;7;22;22;12;8;11;8;3;15;38
2019-09-02 08:45:00;49;6;14;14;2;2;2;2;6;10;37
2019-09-02 09:00:00;59;5;8;10;11;4;11;4;8;7;39
2019-09-02 09:15:00;55;5;4;4;8;2;9;2;6;6;25
2019-09-02 09:30:00;57;6;9;9;10;5;10;4;6;4;32
2019-09-02 09:45:00;62;4;4;4;6;2;6;2;10;4;31
2019-09-02 10:00:00;68;16;9;10;8;4;9;6;6;2;41
2019-09-02 10:15:00;52;6;7;7;11;6;11;7;3;5;30
2019-09-02 10:30:00;47;5;3;4;4;3;5;3;6;7;40
2019-09-02 10:45:00;70;3;9;9;4;3;5;2;6;2;30
2019-09-02 11:00:00;51;1;3;3;15;3;15;2;9;5;47
2019-09-02 11:15:00;54;5;9;9;13;1;13;1;9;5;44
2019-09-02 11:30:00;59;5;5;5;13;5;13;2;6;10;52
2019-09-02 11:45:00;53;4;5;5;10;5;11;4;4;3;41
2019-09-02 12:00:00;49;5;8;8;12;5;12;5;14;5;46
2019-09-02 12:15:00;38;3;5;4;13;3;13;4;6;1;51
2019-09-02 12:30:00;57;11;5;6;11;5;13;6;10;6;50
2019-09-02 12:45:00;58;1;2;2;13;3;13;3;8;8;45
2019-09-02 13:00:00;47;1;6;6;20;6;22;4;8;3;55
2019-09-02 13:15:00;70;6;11;11;14;4;15;3;9;4;63
2019-09-02 13:30:00;74;6;8;8;14;3;16;3;12;7;64
2019-09-02 13:45:00;74;5;6;6;28;23;30;24;30;8;81
2019-09-02 14:00:00;109;9;9;9;23;16;24;16;21;14;57
2019-09-02 14:15:00;125;12;5;5;37;22;39;23;30;4;74
2019-09-02 14:30:00;98;9;6;6;33;25;34;26;38;4;75
2019-09-02 14:45:00;69;5;4;4;37;34;39;33;36;5;48
2019-09-02 15:00:00;87;10;7;8;52;35;53;36;46;4;62
2019-09-02 15:15:00;81;15;3;4;61;48;64;48;59;6;79
2019-09-02 15:30:00;74;9;5;5;53;35;54;35;43;6;63
2019-09-02 15:45:00;62;7;4;4;40;30;39;30;31;10;66
2019-09-02 16:00:00;63;7;4;4;58;34;56;33;35;7;66
2019-09-02 16:15:00;61;5;5;5;49;36;51;37;39;7;84
2019-09-02 16:30:00;72;10;2;2;50;28;51;26;46;5;68
2019-09-02 16:45:00;73;6;3;3;50;33;45;35;46;8;56
2019-09-02 17:00:00;81;13;4;4;58;24;61;26;31;7;67
2019-09-02 17:15:00;58;5;2;2;43;36;41;35;28;2;61
2019-09-02 17:30:00;69;6;3;3;42;26;43;28;23;3;62
2019-09-02 17:45:00;56;4;1;1;40;23;39;22;16;6;55
2019-09-02 18:00:00;66;7;0;0;30;18;30;18;7;3;60
2019-09-02 18:15:00;40;4;3;3;21;12;22;12;16;2;57
2019-09-02 18:30:00;51;3;1;1;19;11;20;10;6;0;38
2019-09-02 18:45:00;42;3;1;1;18;11;17;11;9;1;34
2019-09-02 19:00:00;35;0;0;0;25;9;28;7;10;1;46
2019-09-02 19:15:00;37;2;0;0;8;4;8;4;4;0;45
2019-09-02 19:30:00;30;3;1;1;12;2;14;3;7;1;47
2019-09-02 19:45:00;30;2;0;0;9;2;10;1;3;1;45
2019-09-02 20:00:00;15;1;0;0;12;0;12;0;4;0;40
2019-09-02 20:15:00;20;4;0;0;3;0;2;0;0;0;38
2019-09-02 20:30:00;22;0;1;1;0;0;0;0;0;0;27
2019-09-02 20:45:00;30;1;0;0;2;1;2;1;1;1;37
2019-09-02 21:00:00;44;2;6;6;3;1;2;1;1;2;47
2019-09-02 21:15:00;52;5;6;6;3;2;3;1;3;6;56
2019-09-02 21:30:00;66;8;3;3;7;2;7;1;3;1;39
2019-09-02 21:45:00;57;2;4;4;11;7;11;7;4;1;37
2019-09-02 22:00:00;65;6;0;0;6;0;6;0;5;0;41
2019-09-02 22:15:00;18;1;1;0;1;0;1;0;3;0;17
2019-09-02 22:30:00;16;0;0;0;4;1;4;1;3;1;21
2019-09-02 22:45:00;5;0;2;2;0;1;0;1;0;0;15
2019-09-02 23:00:00;11;3;0;0;0;0;0;0;0;0;9
2019-09-02 23:15:00;8;1;0;0;0;0;0;0;0;0;6
2019-09-02 23:30:00;6;2;0;0;0;0;0;0;0;0;9
2019-09-02 23:45:00;6;2;0;0;0;1;1;1;0;0;6
