DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2019-12-31 00:00:00;17;19;0;0;0;15;12;0;3
2019-12-31 00:15:00;21;16;0;0;0;23;17;0;0
2019-12-31 00:30:00;19;8;0;0;0;17;9;0;0
2019-12-31 00:45:00;21;9;0;0;0;11;8;0;0
2019-12-31 01:00:00;14;11;0;0;0;13;10;0;0
2019-12-31 01:15:00;16;8;0;0;1;16;10;0;0
2019-12-31 01:30:00;18;14;0;0;0;5;6;0;0
2019-12-31 01:45:00;13;7;0;0;0;12;6;0;0
2019-12-31 02:00:00;10;2;0;0;0;6;6;0;2
2019-12-31 02:15:00;12;7;1;0;0;13;7;0;0
2019-12-31 02:30:00;4;4;0;0;0;10;9;0;0
2019-12-31 02:45:00;9;5;0;0;0;13;4;0;0
2019-12-31 03:00:00;14;5;0;0;0;7;2;0;0
2019-12-31 03:15:00;8;7;0;0;0;5;2;0;0
2019-12-31 03:30:00;3;3;0;0;0;8;3;0;0
2019-12-31 03:45:00;5;3;0;0;0;9;1;0;4
2019-12-31 04:00:00;6;2;0;0;0;8;5;0;0
2019-12-31 04:15:00;12;6;0;0;0;4;0;0;0
2019-12-31 04:30:00;4;4;0;1;2;6;4;0;0
2019-12-31 04:45:00;12;7;0;0;1;9;3;0;0
2019-12-31 05:00:00;9;3;1;2;0;16;8;0;0
2019-12-31 05:15:00;16;13;0;1;1;19;9;0;4
2019-12-31 05:30:00;16;10;2;0;2;25;20;0;0
2019-12-31 05:45:00;22;19;1;1;1;18;17;0;0
2019-12-31 06:00:00;19;12;0;0;0;17;17;0;1
2019-12-31 06:15:00;14;8;1;0;2;22;14;0;0
2019-12-31 06:30:00;21;16;1;1;0;19;12;0;1
2019-12-31 06:45:00;14;13;1;1;0;13;12;0;0
2019-12-31 07:00:00;14;11;0;1;0;14;15;0;0
2019-12-31 07:15:00;16;19;0;1;4;22;13;0;0
2019-12-31 07:30:00;19;17;1;2;1;26;27;0;0
2019-12-31 07:45:00;26;23;3;3;1;24;28;0;0
2019-12-31 08:00:00;31;30;2;2;3;31;27;3;1
2019-12-31 08:15:00;31;27;3;4;2;35;25;12;0
