DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-04-24 00:00:00;5;1;0;3;4;4;0
2020-04-24 00:15:00;13;2;1;2;2;5;1
2020-04-24 00:30:00;1;3;0;1;2;7;3
2020-04-24 00:45:00;3;0;0;0;0;6;2
2020-04-24 01:00:00;2;0;0;1;1;5;3
2020-04-24 01:15:00;8;2;1;2;3;3;2
2020-04-24 01:30:00;4;4;0;2;2;2;2
2020-04-24 01:45:00;5;2;1;0;1;3;2
2020-04-24 02:00:00;3;1;0;1;2;3;2
2020-04-24 02:15:00;4;0;0;0;0;1;1
2020-04-24 02:30:00;4;4;1;1;1;4;4
2020-04-24 02:45:00;3;1;0;0;0;2;1
2020-04-24 03:00:00;3;1;0;2;2;5;3
2020-04-24 03:15:00;2;0;0;0;0;3;0
2020-04-24 03:30:00;3;6;1;0;2;8;3
2020-04-24 03:45:00;4;1;0;0;0;4;1
2020-04-24 04:00:00;5;4;0;0;0;4;0
2020-04-24 04:15:00;8;7;0;1;0;7;0
2020-04-24 04:30:00;10;6;0;0;2;5;1
2020-04-24 04:45:00;14;7;0;1;1;18;7
2020-04-24 05:00:00;17;11;0;1;2;20;9
2020-04-24 05:15:00;26;35;1;9;12;52;31
2020-04-24 05:30:00;33;28;0;5;15;84;69
2020-04-24 05:45:00;36;31;5;3;14;84;62
2020-04-24 06:00:00;64;52;2;8;15;53;45
2020-04-24 06:15:00;51;37;3;7;18;91;79
2020-04-24 06:30:00;64;57;6;6;16;98;104
2020-04-24 06:45:00;71;49;3;5;22;105;82
2020-04-24 07:00:00;49;52;0;9;15;97;75
2020-04-24 07:15:00;59;49;3;10;22;80;94
2020-04-24 07:30:00;61;47;1;12;20;89;84
2020-04-24 07:45:00;49;50;2;8;19;101;92
2020-04-24 08:00:00;46;50;3;9;21;83;76
2020-04-24 08:15:00;40;44;5;7;11;62;63
2020-04-24 08:30:00;61;44;1;9;21;70;58
2020-04-24 08:45:00;77;48;4;6;23;61;50
2020-04-24 09:00:00;73;41;5;6;23;68;61
2020-04-24 09:15:00;62;46;1;12;18;70;70
2020-04-24 09:30:00;78;47;6;5;17;64;58
2020-04-24 09:45:00;78;40;4;12;24;65;76
2020-04-24 10:00:00;75;56;9;13;30;65;57
2020-04-24 10:15:00;102;61;6;15;28;81;75
2020-04-24 10:30:00;69;52;2;6;19;46;46
2020-04-24 10:45:00;90;55;10;10;21;66;52
2020-04-24 11:00:00;95;63;11;16;23;69;82
2020-04-24 11:15:00;110;61;3;12;24;73;59
2020-04-24 11:30:00;100;62;6;13;19;66;65
2020-04-24 11:45:00;103;68;10;14;31;70;77
2020-04-24 12:00:00;137;82;12;19;33;73;75
2020-04-24 12:15:00;102;92;4;20;49;63;58
2020-04-24 12:30:00;150;81;5;24;42;70;58
2020-04-24 12:45:00;116;87;9;29;49;66;72
2020-04-24 13:00:00;128;82;7;19;40;73;78
2020-04-24 13:15:00;113;75;3;11;20;69;65
2020-04-24 13:30:00;116;71;4;10;28;69;70
2020-04-24 13:45:00;121;67;5;16;37;78;80
2020-04-24 14:00:00;142;101;4;14;33;84;75
2020-04-24 14:15:00;160;116;8;16;37;86;82
2020-04-24 14:30:00;157;89;3;24;32;93;74
2020-04-24 14:45:00;109;73;5;18;26;76;73
2020-04-24 15:00:00;107;98;8;17;32;85;69
2020-04-24 15:15:00;128;80;9;8;25;65;55
2020-04-24 15:30:00;110;85;2;5;21;63;60
2020-04-24 15:45:00;116;56;3;11;30;73;59
2020-04-24 16:00:00;117;68;8;11;24;62;56
2020-04-24 16:15:00;121;59;8;13;32;79;75
2020-04-24 16:30:00;92;59;2;17;37;87;70
2020-04-24 16:45:00;115;82;2;13;23;50;63
2020-04-24 17:00:00;106;85;4;9;21;72;70
2020-04-24 17:15:00;83;68;6;13;23;54;45
2020-04-24 17:30:00;108;63;2;16;26;55;55
2020-04-24 17:45:00;80;61;3;14;23;66;59
2020-04-24 18:00:00;81;53;4;7;23;63;51
2020-04-24 18:15:00;85;49;4;12;16;48;43
2020-04-24 18:30:00;70;53;7;12;27;48;42
2020-04-24 18:45:00;74;39;5;13;24;48;46
2020-04-24 19:00:00;72;39;4;13;21;50;37
2020-04-24 19:15:00;59;30;5;3;14;42;39
2020-04-24 19:30:00;63;22;3;10;34;44;20
2020-04-24 19:45:00;64;28;2;11;23;35;22
2020-04-24 20:00:00;48;20;1;12;19;41;31
2020-04-24 20:15:00;34;20;3;7;17;34;15
2020-04-24 20:30:00;26;12;1;11;21;33;18
2020-04-24 20:45:00;28;18;4;4;7;28;24
2020-04-24 21:00:00;22;15;2;7;10;22;16
2020-04-24 21:15:00;30;13;2;5;11;42;14
2020-04-24 21:30:00;20;18;1;2;9;27;17
2020-04-24 21:45:00;32;11;2;3;7;15;12
2020-04-24 22:00:00;29;17;0;7;9;26;5
2020-04-24 22:15:00;10;14;4;6;7;17;14
2020-04-24 22:30:00;16;9;1;4;8;18;8
2020-04-24 22:45:00;15;8;1;3;5;11;4
2020-04-24 23:00:00;14;4;2;2;6;16;9
2020-04-24 23:15:00;14;6;2;2;7;13;4
2020-04-24 23:30:00;7;1;0;2;1;9;7
2020-04-24 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
