DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFBA);11(TAFBB);12(TAFGC);13(TAFBC);14(TAFBD)
2020-11-13 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-13 00:15:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 00:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-13 00:45:00;0;0;3;2;0;0;0;0;0;0;0;0;0;0
2020-11-13 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-13 01:15:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-13 01:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-13 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-13 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-13 02:30:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-13 02:45:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 03:00:00;0;0;0;0;0;0;2;2;0;0;0;0;0;0
2020-11-13 03:15:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 03:30:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 03:45:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 04:00:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-13 04:15:00;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-13 04:30:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-13 04:45:00;0;0;3;3;0;0;5;5;0;0;0;0;0;0
2020-11-13 05:00:00;0;0;1;1;0;0;0;2;0;0;0;0;0;0
2020-11-13 05:15:00;0;0;6;5;0;0;8;6;0;0;0;0;0;0
2020-11-13 05:30:00;0;0;7;6;0;0;14;14;0;0;0;0;0;0
2020-11-13 05:45:00;0;0;21;18;0;0;6;6;0;0;0;0;0;0
2020-11-13 06:00:00;0;0;4;4;0;0;3;4;0;0;0;0;0;0
2020-11-13 06:15:00;0;0;11;10;0;0;13;12;0;0;0;0;0;0
2020-11-13 06:30:00;0;0;18;12;0;0;19;18;0;0;0;0;0;0
2020-11-13 06:45:00;0;0;13;10;0;0;10;10;0;0;0;0;0;0
2020-11-13 07:00:00;0;0;7;7;0;0;13;14;0;0;0;0;0;0
2020-11-13 07:15:00;0;0;19;19;0;0;19;18;0;0;0;1;0;0
2020-11-13 07:30:00;0;0;23;23;0;0;16;18;1;0;0;0;0;0
2020-11-13 07:45:00;0;0;27;25;0;0;18;21;0;0;0;0;0;0
2020-11-13 08:00:00;0;0;30;24;0;0;16;16;0;0;0;0;0;0
2020-11-13 08:15:00;0;0;25;20;0;0;20;20;0;0;0;0;0;0
2020-11-13 08:30:00;0;0;26;21;0;0;14;18;0;0;0;0;0;0
2020-11-13 08:45:00;0;0;18;16;0;0;13;13;0;0;0;0;0;0
2020-11-13 09:00:00;0;0;10;9;0;0;11;12;0;0;0;0;0;0
2020-11-13 09:15:00;0;0;30;26;0;0;12;15;0;0;0;0;0;0
2020-11-13 09:30:00;0;0;18;18;0;0;18;17;0;0;0;0;0;0
2020-11-13 09:45:00;0;0;22;22;0;0;7;8;0;0;0;0;0;0
2020-11-13 10:00:00;0;0;19;14;0;0;12;12;1;0;0;0;0;0
