DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2020-03-07 00:00:00;33;13;4;16;14;22;25;14;19;1;0;1
2020-03-07 00:15:00;48;21;8;17;15;15;45;24;22;0;0;1
2020-03-07 00:30:00;20;6;7;15;18;17;20;24;23;0;1;1
2020-03-07 00:45:00;44;15;1;12;16;17;42;11;12;0;0;0
2020-03-07 01:00:00;23;5;2;19;16;21;20;17;20;0;0;0
2020-03-07 01:15:00;20;6;3;15;14;10;22;6;8;0;0;0
2020-03-07 01:30:00;19;6;3;15;11;12;16;13;11;0;0;0
2020-03-07 01:45:00;27;10;4;10;11;7;25;10;7;1;0;0
2020-03-07 02:00:00;22;10;0;7;7;7;20;5;7;0;0;0
2020-03-07 02:15:00;19;8;4;10;7;11;18;7;10;0;0;0
2020-03-07 02:30:00;11;6;2;7;3;8;12;7;10;1;0;0
2020-03-07 02:45:00;8;3;2;13;6;6;9;6;11;2;0;1
2020-03-07 03:00:00;15;6;3;7;7;4;15;4;7;0;0;1
2020-03-07 03:15:00;12;8;1;10;5;9;12;7;8;1;0;0
2020-03-07 03:30:00;6;4;2;9;4;7;7;5;7;1;0;0
2020-03-07 03:45:00;10;5;0;3;3;2;10;2;2;0;0;0
2020-03-07 04:00:00;22;9;6;6;5;5;22;9;9;0;0;0
2020-03-07 04:15:00;17;10;1;9;8;6;17;7;7;0;0;0
2020-03-07 04:30:00;17;8;0;2;8;8;17;5;9;0;0;1
2020-03-07 04:45:00;24;7;1;6;6;7;25;9;10;0;0;0
2020-03-07 05:00:00;45;17;3;4;15;14;44;18;19;0;0;0
2020-03-07 05:15:00;43;18;0;4;15;18;44;17;19;2;0;0
2020-03-07 05:30:00;35;12;4;12;24;32;36;28;30;1;0;1
2020-03-07 05:45:00;92;25;0;8;21;36;93;23;34;1;0;2
2020-03-07 06:00:00;126;33;4;8;17;22;132;18;26;0;0;0
2020-03-07 06:15:00;106;27;3;6;23;20;97;18;26;0;0;2
2020-03-07 06:30:00;60;24;5;4;17;24;66;21;25;0;0;1
2020-03-07 06:45:00;60;19;3;5;21;17;64;17;17;0;0;3
2020-03-07 07:00:00;40;15;3;5;24;27;43;25;28;0;0;1
2020-03-07 07:15:00;59;12;7;8;36;44;70;31;44;1;0;3
2020-03-07 07:30:00;75;16;12;12;51;47;78;47;52;2;1;1
2020-03-07 07:45:00;101;30;13;9;45;57;117;43;59;1;0;3
2020-03-07 08:00:00;86;24;8;14;50;55;98;45;61;2;2;0
2020-03-07 08:15:00;92;28;20;14;48;66;115;54;62;0;2;2
2020-03-07 08:30:00;110;33;12;16;53;67;126;47;68;1;0;2
2020-03-07 08:45:00;131;31;13;26;81;88;141;61;94;3;3;5
2020-03-07 09:00:00;103;36;25;18;86;118;122;74;116;2;0;6
2020-03-07 09:15:00;140;35;21;25;77;98;155;82;92;1;0;3
2020-03-07 09:30:00;134;39;24;23;103;149;163;93;146;2;1;5
2020-03-07 09:45:00;174;41;32;36;94;143;197;98;149;1;1;3
2020-03-07 10:00:00;168;43;23;29;92;143;195;99;143;0;2;4
2020-03-07 10:15:00;169;46;36;45;94;135;200;107;138;1;2;6
2020-03-07 10:30:00;191;35;42;47;88;131;207;98;134;2;2;2
2020-03-07 10:45:00;213;40;44;46;95;142;246;112;149;6;5;2
2020-03-07 11:00:00;231;44;29;38;100;126;256;101;137;3;3;2
2020-03-07 11:15:00;192;39;46;49;119;152;216;130;150;2;0;1
2020-03-07 11:30:00;220;43;40;63;86;136;250;105;126;2;0;3
2020-03-07 11:45:00;241;28;46;61;105;166;251;128;159;3;2;2
2020-03-07 12:00:00;217;42;52;66;87;147;236;123;149;3;2;3
2020-03-07 12:15:00;237;39;43;66;100;158;248;114;154;2;3;3
2020-03-07 12:30:00;244;26;48;68;93;141;254;117;139;2;1;5
2020-03-07 12:45:00;214;32;41;62;72;119;229;111;154;2;3;5
2020-03-07 13:00:00;248;19;33;68;65;104;256;105;162;0;1;5
2020-03-07 13:15:00;247;27;42;61;40;87;258;110;151;1;1;3
2020-03-07 13:30:00;240;31;47;57;84;102;240;130;149;2;0;3
2020-03-07 13:45:00;226;32;47;79;70;67;245;129;156;3;2;7
2020-03-07 14:00:00;266;36;38;50;53;65;272;113;157;2;3;2
2020-03-07 14:15:00;271;27;33;58;54;88;276;111;150;3;6;4
2020-03-07 14:30:00;259;32;29;57;90;86;230;119;154;0;2;4
2020-03-07 14:45:00;270;32;31;45;57;103;223;111;156;0;1;4
