DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-06-28 00:00:00;0;11;10;13;11;0;0
2020-06-28 00:15:00;3;27;21;37;21;3;3
2020-06-28 00:30:00;0;30;21;50;17;0;0
2020-06-28 00:45:00;0;18;19;25;14;0;0
2020-06-28 01:00:00;0;19;12;24;15;0;0
2020-06-28 01:15:00;0;11;12;16;14;0;0
2020-06-28 01:30:00;0;10;6;18;10;0;0
2020-06-28 01:45:00;0;9;8;15;6;0;0
2020-06-28 02:00:00;0;11;6;11;7;0;0
2020-06-28 02:15:00;0;15;7;10;8;0;0
2020-06-28 02:30:00;0;11;13;11;3;0;0
2020-06-28 02:45:00;0;9;3;5;3;0;0
2020-06-28 03:00:00;0;4;4;3;5;0;0
2020-06-28 03:15:00;0;5;2;10;6;0;0
2020-06-28 03:30:00;0;6;1;8;5;0;0
2020-06-28 03:45:00;0;2;4;2;4;0;0
2020-06-28 04:00:00;0;2;1;8;4;0;0
2020-06-28 04:15:00;0;5;1;5;2;1;1
2020-06-28 04:30:00;0;6;1;4;8;0;0
2020-06-28 04:45:00;0;3;5;5;4;1;1
2020-06-28 05:00:00;0;8;10;10;6;0;0
2020-06-28 05:15:00;0;9;0;6;4;1;1
2020-06-28 05:30:00;0;7;12;9;0;0;0
2020-06-28 05:45:00;0;6;5;7;4;1;1
2020-06-28 06:00:00;0;8;7;8;5;0;0
2020-06-28 06:15:00;0;9;10;10;8;1;1
2020-06-28 06:30:00;0;14;9;11;4;0;0
2020-06-28 06:45:00;2;8;5;9;4;1;1
2020-06-28 07:00:00;0;13;12;10;8;0;0
2020-06-28 07:15:00;1;9;9;17;12;1;1
2020-06-28 07:30:00;1;9;16;23;10;0;0
2020-06-28 07:45:00;2;1;35;20;13;1;1
2020-06-28 08:00:00;0;0;27;13;16;2;2
2020-06-28 08:15:00;1;1;27;21;22;0;0
2020-06-28 08:30:00;0;1;52;27;27;2;2
2020-06-28 08:45:00;2;8;49;30;18;0;0
2020-06-28 09:00:00;1;32;28;40;24;1;1
2020-06-28 09:15:00;0;39;34;58;19;0;0
2020-06-28 09:30:00;3;35;43;39;37;2;2
2020-06-28 09:45:00;10;13;79;42;30;0;0
2020-06-28 10:00:00;134;3;94;48;54;2;2
2020-06-28 10:15:00;9;5;89;58;42;0;0
2020-06-28 10:30:00;6;4;87;49;55;2;2
2020-06-28 10:45:00;4;13;88;65;48;0;0
2020-06-28 11:00:00;3;51;69;62;56;2;2
2020-06-28 11:15:00;2;61;52;75;47;0;0
2020-06-28 11:30:00;10;73;75;60;63;2;2
2020-06-28 11:45:00;8;71;57;69;65;0;0
2020-06-28 12:00:00;9;53;51;67;56;2;2
2020-06-28 12:15:00;1;59;45;61;50;0;0
2020-06-28 12:30:00;33;69;59;77;54;2;2
2020-06-28 12:45:00;14;71;69;91;71;1;1
2020-06-28 13:00:00;6;63;58;77;60;2;2
2020-06-28 13:15:00;9;58;56;82;49;0;0
2020-06-28 13:30:00;3;48;53;77;47;1;1
2020-06-28 13:45:00;19;61;72;71;69;0;0
2020-06-28 14:00:00;11;65;57;72;64;2;2
2020-06-28 14:15:00;14;78;81;70;59;0;0
2020-06-28 14:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-28 14:45:00;7;68;65;76;73;0;0
2020-06-28 15:00:00;2;68;72;89;66;2;2
2020-06-28 15:15:00;4;53;61;102;61;0;0
2020-06-28 15:30:00;16;56;58;77;51;1;1
2020-06-28 15:45:00;7;66;70;67;66;1;1
2020-06-28 16:00:00;24;68;57;61;53;2;2
2020-06-28 16:15:00;18;53;59;61;54;0;0
2020-06-28 16:30:00;3;60;47;66;62;2;2
2020-06-28 16:45:00;8;69;67;90;79;0;0
2020-06-28 17:00:00;42;72;62;72;82;2;2
2020-06-28 17:15:00;4;61;56;84;68;0;0
2020-06-28 17:30:00;70;78;73;68;78;3;3
2020-06-28 17:45:00;2;95;89;89;69;0;0
2020-06-28 18:00:00;15;73;53;82;74;1;1
2020-06-28 18:15:00;5;57;66;81;78;1;1
2020-06-28 18:30:00;6;44;116;80;74;1;1
2020-06-28 18:45:00;18;22;120;93;67;0;0
2020-06-28 19:00:00;8;0;114;77;71;2;2
2020-06-28 19:15:00;14;0;133;80;68;0;0
2020-06-28 19:30:00;4;1;118;68;57;3;3
2020-06-28 19:45:00;6;3;125;77;48;0;0
2020-06-28 20:00:00;12;31;68;63;54;2;2
2020-06-28 20:15:00;0;21;73;63;47;0;0
2020-06-28 20:30:00;3;49;51;52;43;1;1
2020-06-28 20:45:00;0;42;39;54;52;0;0
2020-06-28 21:00:00;0;33;35;61;54;2;2
2020-06-28 21:15:00;1;30;29;48;51;1;1
2020-06-28 21:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-28 21:45:00;3;29;27;40;33;1;1
2020-06-28 22:00:00;0;36;32;37;32;2;2
2020-06-28 22:15:00;1;15;17;21;21;1;1
2020-06-28 22:30:00;13;23;21;31;21;1;1
2020-06-28 22:45:00;0;15;8;22;18;1;1
2020-06-28 23:00:00;3;14;21;21;17;2;2
2020-06-28 23:15:00;3;13;8;22;9;1;1
2020-06-28 23:30:00;0;20;17;16;12;1;1
2020-06-28 23:45:00;0;12;13;12;12;0;0
