DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-09-03 00:00:00;2;10;10;0;1;0;6;4
2020-09-03 00:15:00;7;6;6;4;4;0;11;4
2020-09-03 00:30:00;3;6;6;1;1;0;8;5
2020-09-03 00:45:00;4;5;5;0;0;0;4;3
2020-09-03 01:00:00;0;4;4;2;3;0;2;2
2020-09-03 01:15:00;0;1;2;3;3;0;2;2
2020-09-03 01:30:00;1;4;4;2;2;0;6;2
2020-09-03 01:45:00;2;5;5;2;2;0;4;3
2020-09-03 02:00:00;0;3;3;1;1;0;1;0
2020-09-03 02:15:00;2;2;2;1;1;0;4;3
2020-09-03 02:30:00;2;5;5;1;3;0;0;2
2020-09-03 02:45:00;3;5;5;2;3;0;1;0
2020-09-03 03:00:00;3;5;5;0;2;0;4;3
2020-09-03 03:15:00;3;1;1;0;5;0;1;2
2020-09-03 03:30:00;4;5;4;1;1;0;4;6
2020-09-03 03:45:00;0;0;0;1;2;0;1;0
2020-09-03 04:00:00;3;4;4;3;2;0;2;1
2020-09-03 04:15:00;3;4;4;3;5;0;3;1
2020-09-03 04:30:00;3;12;12;1;3;0;9;3
2020-09-03 04:45:00;7;20;20;4;4;0;4;1
2020-09-03 05:00:00;22;48;48;4;7;0;16;7
2020-09-03 05:15:00;72;79;81;6;10;0;34;12
2020-09-03 05:30:00;73;93;93;13;19;0;47;16
2020-09-03 05:45:00;47;70;72;28;43;0;50;25
2020-09-03 06:00:00;37;44;46;30;49;0;37;34
2020-09-03 06:15:00;62;70;69;25;40;0;46;37
2020-09-03 06:30:00;88;77;79;21;29;0;44;26
2020-09-03 06:45:00;102;103;101;13;25;0;52;29
2020-09-03 07:00:00;90;91;88;7;10;0;44;27
2020-09-03 07:15:00;114;92;91;10;19;0;49;35
2020-09-03 07:30:00;112;93;98;16;33;0;61;50
2020-09-03 07:45:00;122;88;87;10;19;0;58;54
2020-09-03 08:00:00;91;74;74;12;22;0;55;43
2020-09-03 08:15:00;83;72;72;15;22;0;63;35
2020-09-03 08:30:00;74;60;56;19;21;0;57;42
2020-09-03 08:45:00;78;54;53;12;15;0;68;45
2020-09-03 09:00:00;58;52;51;9;17;0;63;46
2020-09-03 09:15:00;78;45;41;12;18;0;62;38
2020-09-03 09:30:00;61;58;62;15;22;0;48;37
2020-09-03 09:45:00;71;49;45;12;17;0;78;57
2020-09-03 10:00:00;75;61;61;21;20;0;74;57
2020-09-03 10:15:00;73;66;65;11;23;0;70;43
2020-09-03 10:30:00;70;62;58;25;21;0;58;56
2020-09-03 10:45:00;57;52;52;15;20;0;70;52
2020-09-03 11:00:00;67;58;59;19;26;0;64;35
2020-09-03 11:15:00;76;67;67;16;36;0;71;49
2020-09-03 11:30:00;75;57;57;17;22;0;66;45
2020-09-03 11:45:00;81;49;49;19;45;0;75;61
2020-09-03 12:00:00;81;70;70;20;17;0;80;54
2020-09-03 12:15:00;71;59;56;18;50;0;61;52
2020-09-03 12:30:00;81;68;65;14;23;0;75;37
2020-09-03 12:45:00;73;57;59;15;22;0;61;40
2020-09-03 13:00:00;90;76;74;14;16;0;64;42
2020-09-03 13:15:00;92;73;71;18;19;0;60;40
2020-09-03 13:30:00;126;113;114;12;23;0;74;45
2020-09-03 13:45:00;101;99;100;22;54;0;76;52
2020-09-03 14:00:00;99;85;85;26;30;0;85;60
2020-09-03 14:15:00;72;62;58;42;46;0;103;77
2020-09-03 14:30:00;76;53;53;40;43;0;90;81
2020-09-03 14:45:00;77;62;65;20;31;0;82;68
2020-09-03 15:00:00;89;64;64;28;32;0;87;64
2020-09-03 15:15:00;70;55;56;22;27;0;109;90
2020-09-03 15:30:00;90;62;63;24;33;0;95;70
2020-09-03 15:45:00;90;76;74;24;32;0;110;76
2020-09-03 16:00:00;83;57;56;26;34;0;116;80
2020-09-03 16:15:00;72;63;63;22;36;0;96;72
2020-09-03 16:30:00;96;70;68;22;26;0;105;76
2020-09-03 16:45:00;97;73;67;21;27;0;95;74
2020-09-03 17:00:00;94;63;60;26;34;0;93;75
2020-09-03 17:15:00;86;66;64;22;28;0;119;91
2020-09-03 17:30:00;103;70;70;21;33;0;92;77
2020-09-03 17:45:00;98;61;61;13;29;0;88;66
2020-09-03 18:00:00;94;65;57;19;32;0;89;55
2020-09-03 18:15:00;79;60;58;28;30;0;91;64
