DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2019-08-07 13:15:00;74;89;95;14;35;28;66;43
2019-08-07 13:30:00;86;104;103;22;43;26;90;53
2019-08-07 13:45:00;71;87;86;20;29;20;74;45
2019-08-07 14:00:00;67;76;73;18;38;35;74;49
2019-08-07 14:15:00;84;70;67;32;49;33;89;67
2019-08-07 14:30:00;81;60;57;38;48;42;93;83
2019-08-07 14:45:00;80;58;59;22;37;34;79;63
2019-08-07 15:00:00;86;57;50;24;35;50;87;66
2019-08-07 15:15:00;100;66;69;31;38;62;81;57
2019-08-07 15:30:00;89;57;58;23;29;49;85;67
2019-08-07 15:45:00;95;53;51;26;37;60;96;76
2019-08-07 16:00:00;94;63;59;23;29;69;107;79
2019-08-07 16:15:00;103;65;64;29;44;84;106;86
2019-08-07 16:30:00;89;66;60;25;35;78;101;76
2019-08-07 16:45:00;105;67;65;22;29;75;96;76
2019-08-07 17:00:00;104;67;62;23;29;59;99;72
2019-08-07 17:15:00;106;70;63;29;41;75;99;74
2019-08-07 17:30:00;81;55;56;21;27;55;102;83
2019-08-07 17:45:00;70;59;53;24;38;63;90;66
2019-08-07 18:00:00;88;67;65;21;30;45;77;64
2019-08-07 18:15:00;79;63;59;18;30;33;76;63
2019-08-07 18:30:00;82;59;54;18;25;40;75;49
2019-08-07 18:45:00;72;55;58;19;25;29;65;40
2019-08-07 19:00:00;51;43;43;20;27;25;59;38
2019-08-07 19:15:00;52;44;41;19;16;16;52;31
2019-08-07 19:30:00;60;45;44;9;14;17;49;24
2019-08-07 19:45:00;45;41;44;13;18;22;34;24
2019-08-07 20:00:00;59;42;43;5;12;20;40;29
2019-08-07 20:15:00;37;56;56;10;16;19;41;19
2019-08-07 20:30:00;39;46;43;7;12;10;39;23
2019-08-07 20:45:00;39;47;49;10;10;15;40;21
2019-08-07 21:00:00;51;69;66;6;11;13;45;21
2019-08-07 21:15:00;38;68;68;11;12;7;43;17
2019-08-07 21:30:00;40;38;37;12;13;9;35;21
2019-08-07 21:45:00;22;25;26;18;24;6;38;19
2019-08-07 22:00:00;23;24;26;29;45;15;48;40
2019-08-07 22:15:00;22;22;24;17;25;9;34;29
2019-08-07 22:30:00;14;34;33;8;15;13;27;15
2019-08-07 22:45:00;12;21;25;7;5;8;13;3
2019-08-07 23:00:00;16;20;21;2;6;8;16;11
2019-08-07 23:15:00;16;11;11;2;3;7;14;8
2019-08-07 23:30:00;4;8;9;2;6;7;18;10
2019-08-07 23:45:00;7;12;12;1;1;10;18;8
