DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2019-12-12 00:00:00;5;7;7;6;10;6;0
2019-12-12 00:15:00;7;5;6;2;6;4;0
2019-12-12 00:30:00;3;4;3;1;5;2;0
2019-12-12 00:45:00;2;2;2;1;5;2;0
2019-12-12 01:00:00;2;2;2;3;3;2;0
2019-12-12 01:15:00;3;6;4;2;5;4;0
2019-12-12 01:30:00;5;4;1;0;4;3;0
2019-12-12 01:45:00;5;3;3;2;9;6;0
2019-12-12 02:00:00;1;0;0;2;10;4;0
2019-12-12 02:15:00;5;6;4;0;11;7;0
2019-12-12 02:30:00;5;6;4;0;3;3;0
2019-12-12 02:45:00;4;7;6;6;12;7;0
2019-12-12 03:00:00;4;8;3;2;4;3;0
2019-12-12 03:15:00;4;1;1;1;7;10;0
2019-12-12 03:30:00;10;10;7;3;0;1;0
2019-12-12 03:45:00;6;2;2;4;1;1;0
2019-12-12 04:00:00;7;8;3;0;8;2;0
2019-12-12 04:15:00;5;2;2;0;13;10;0
2019-12-12 04:30:00;4;8;6;5;8;8;0
2019-12-12 04:45:00;15;9;10;4;13;9;0
2019-12-12 05:00:00;25;12;9;11;18;14;0
2019-12-12 05:15:00;34;16;14;6;26;12;0
2019-12-12 05:30:00;38;23;20;12;43;22;0
2019-12-12 05:45:00;61;53;43;17;56;26;0
2019-12-12 06:00:00;53;38;27;13;59;40;0
2019-12-12 06:15:00;93;58;47;22;72;38;0
2019-12-12 06:30:00;86;46;41;23;77;32;0
2019-12-12 06:45:00;104;52;53;50;86;54;1
2019-12-12 07:00:00;117;70;64;45;102;38;1
2019-12-12 07:15:00;127;75;73;42;99;37;2
2019-12-12 07:30:00;117;62;57;52;88;37;0
2019-12-12 07:45:00;108;70;62;77;103;52;2
2019-12-12 08:00:00;93;57;52;66;113;41;4
2019-12-12 08:15:00;90;63;59;40;89;46;1
2019-12-12 08:30:00;77;52;49;45;109;26;1
2019-12-12 08:45:00;72;68;61;46;78;46;0
2019-12-12 09:00:00;77;50;44;26;91;49;0
2019-12-12 09:15:00;97;62;59;37;88;52;1
2019-12-12 09:30:00;93;60;57;52;82;51;0
2019-12-12 09:45:00;84;55;50;42;76;47;1
2019-12-12 10:00:00;88;62;54;33;74;46;1
2019-12-12 10:15:00;79;55;44;38;103;42;0
2019-12-12 10:30:00;67;53;51;47;90;70;2
2019-12-12 10:45:00;83;45;40;36;83;53;0
2019-12-12 11:00:00;89;74;59;42;70;37;0
2019-12-12 11:15:00;96;56;50;57;86;64;2
2019-12-12 11:30:00;91;62;53;58;112;79;2
2019-12-12 11:45:00;94;72;66;38;84;63;4
2019-12-12 12:00:00;74;58;49;82;69;58;2
2019-12-12 12:15:00;79;62;48;35;106;54;2
2019-12-12 12:30:00;84;47;41;45;90;60;3
2019-12-12 12:45:00;73;47;44;37;92;48;5
2019-12-12 13:00:00;78;63;57;52;101;62;2
2019-12-12 13:15:00;92;70;64;43;98;48;4
2019-12-12 13:30:00;88;44;39;36;94;64;0
2019-12-12 13:45:00;92;62;52;37;86;56;1
2019-12-12 14:00:00;87;61;55;51;89;54;1
2019-12-12 14:15:00;95;64;60;60;103;65;2
2019-12-12 14:30:00;71;60;58;43;102;68;3
2019-12-12 14:45:00;87;58;52;44;99;65;2
2019-12-12 15:00:00;88;52;47;57;116;64;1
2019-12-12 15:15:00;90;54;44;44;112;70;0
2019-12-12 15:30:00;106;56;54;78;116;48;2
2019-12-12 15:45:00;96;58;50;58;102;64;1
2019-12-12 16:00:00;111;76;72;68;132;72;0
2019-12-12 16:15:00;125;69;62;60;122;72;4
2019-12-12 16:30:00;100;47;40;68;131;62;3
2019-12-12 16:45:00;125;84;75;48;123;82;2
2019-12-12 17:00:00;104;75;70;79;95;55;0
2019-12-12 17:15:00;83;57;46;53;108;67;1
2019-12-12 17:30:00;92;47;42;46;106;51;0
2019-12-12 17:45:00;72;50;45;48;79;43;0
2019-12-12 18:00:00;68;46;44;36;88;40;0
2019-12-12 18:15:00;73;44;36;25;76;52;0
2019-12-12 18:30:00;57;41;35;28;89;55;1
2019-12-12 18:45:00;58;31;31;18;69;57;2
2019-12-12 19:00:00;58;26;18;17;71;39;0
2019-12-12 19:15:00;42;21;18;11;52;28;0
2019-12-12 19:30:00;37;20;16;12;36;20;0
2019-12-12 19:45:00;21;21;18;10;46;22;0
2019-12-12 20:00:00;30;19;10;9;45;31;0
2019-12-12 20:15:00;18;12;10;10;57;24;0
2019-12-12 20:30:00;36;27;22;5;33;11;0
2019-12-12 20:45:00;33;18;13;11;55;20;0
2019-12-12 21:00:00;25;16;10;7;42;12;0
2019-12-12 21:15:00;29;18;10;5;41;16;0
2019-12-12 21:30:00;27;14;8;9;34;12;0
2019-12-12 21:45:00;38;19;15;5;39;18;0
2019-12-12 22:00:00;26;14;11;6;41;16;0
2019-12-12 22:15:00;44;25;17;9;36;18;0
2019-12-12 22:30:00;29;20;16;2;33;9;0
2019-12-12 22:45:00;32;25;16;5;17;7;0
2019-12-12 23:00:00;29;10;5;4;21;7;0
2019-12-12 23:15:00;25;16;9;2;27;14;0
2019-12-12 23:30:00;8;8;6;4;20;5;0
2019-12-12 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
