DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-09-08 00:00:00;5;3;0;0;1;6;6;1;4;2;0;0
2020-09-08 00:15:00;2;1;2;2;3;7;6;5;3;4;0;0
2020-09-08 00:30:00;4;4;1;0;2;4;4;1;0;3;0;0
2020-09-08 00:45:00;7;2;0;2;2;6;7;5;4;2;0;0
2020-09-08 01:00:00;1;5;1;1;1;4;6;4;4;1;0;0
2020-09-08 01:15:00;4;2;0;0;0;0;2;1;1;2;0;0
2020-09-08 01:30:00;2;0;0;0;0;3;1;0;5;1;0;0
2020-09-08 01:45:00;0;0;0;0;0;1;5;3;1;1;0;0
2020-09-08 02:00:00;0;0;0;0;0;3;5;2;3;0;0;0
2020-09-08 02:15:00;0;2;1;1;0;2;4;4;2;0;0;0
2020-09-08 02:30:00;4;3;1;0;1;2;2;4;4;2;0;0
2020-09-08 02:45:00;2;1;1;3;4;2;3;2;2;1;0;0
2020-09-08 03:00:00;3;3;0;2;0;5;5;4;1;1;0;0
2020-09-08 03:15:00;2;2;0;0;0;2;3;3;2;1;0;0
2020-09-08 03:30:00;1;2;1;0;0;1;4;4;2;1;0;0
2020-09-08 03:45:00;5;6;0;1;1;4;2;1;4;2;0;0
2020-09-08 04:00:00;5;4;2;3;2;1;6;5;1;2;0;0
2020-09-08 04:15:00;7;8;0;2;3;6;5;2;7;5;0;0
2020-09-08 04:30:00;8;4;0;2;3;6;6;3;6;4;0;0
2020-09-08 04:45:00;16;5;0;3;2;6;9;7;7;2;0;0
2020-09-08 05:00:00;19;10;0;1;2;19;16;5;22;5;2;0
2020-09-08 05:15:00;35;19;1;5;6;34;38;6;23;10;0;0
2020-09-08 05:30:00;46;23;0;11;12;43;43;19;46;5;1;0
2020-09-08 05:45:00;56;21;3;6;9;50;50;24;29;11;2;0
2020-09-08 06:00:00;61;31;3;5;8;47;63;37;37;17;1;6
2020-09-08 06:15:00;60;31;3;10;14;66;77;51;38;21;4;2
2020-09-08 06:30:00;51;25;4;11;16;107;106;54;58;24;1;1
2020-09-08 06:45:00;66;45;2;11;16;117;138;85;67;24;0;1
2020-09-08 07:00:00;63;32;5;17;23;191;149;105;66;46;3;5
2020-09-08 07:15:00;72;41;3;20;21;230;126;110;55;39;4;10
2020-09-08 07:30:00;77;43;4;26;28;190;142;114;78;37;2;11
2020-09-08 07:45:00;96;57;5;18;26;144;104;87;98;19;4;3
2020-09-08 08:00:00;65;35;7;10;12;93;114;82;53;30;1;3
2020-09-08 08:15:00;61;33;7;16;9;101;107;96;71;20;4;17
2020-09-08 08:30:00;64;42;3;7;10;101;122;84;71;17;6;149
2020-09-08 08:45:00;50;32;5;12;13;75;82;56;76;18;1;5
2020-09-08 09:00:00;61;36;2;6;9;87;80;51;64;25;1;11
2020-09-08 09:15:00;64;29;6;16;15;62;63;43;59;9;3;9
2020-09-08 09:30:00;72;31;4;18;22;67;73;44;70;16;2;13
2020-09-08 09:45:00;77;30;3;5;11;64;75;50;60;18;1;4
2020-09-08 10:00:00;67;36;4;18;19;54;70;53;56;11;2;1
2020-09-08 10:15:00;68;29;5;11;11;55;69;51;51;31;2;3
2020-09-08 10:30:00;53;34;6;7;11;70;90;65;65;31;2;11
2020-09-08 10:45:00;60;39;5;11;16;76;87;64;73;19;2;0
2020-09-08 11:00:00;74;58;7;6;14;47;67;44;61;12;5;5
2020-09-08 11:15:00;76;42;5;17;24;65;63;50;54;18;6;0
2020-09-08 11:30:00;96;61;8;13;13;68;56;58;69;16;7;13
2020-09-08 11:45:00;85;39;2;17;21;65;61;57;80;13;4;2
2020-09-08 12:00:00;88;54;1;11;16;66;67;47;76;14;4;5
2020-09-08 12:15:00;64;40;2;10;11;73;71;53;64;11;0;5
2020-09-08 12:30:00;86;62;8;14;10;68;74;52;58;18;6;17
2020-09-08 12:45:00;74;51;2;16;15;76;80;55;75;14;8;6
2020-09-08 13:00:00;85;63;3;11;16;69;68;53;98;17;4;3
2020-09-08 13:15:00;111;76;4;16;19;69;76;43;90;16;6;10
2020-09-08 13:30:00;82;67;5;5;10;77;89;57;90;20;2;1
2020-09-08 13:45:00;90;59;5;10;10;78;78;54;82;23;3;2
2020-09-08 14:00:00;86;51;5;18;19;82;86;70;81;20;4;126
2020-09-08 14:15:00;94;61;7;18;27;86;89;59;77;34;8;14
2020-09-08 14:30:00;104;58;8;13;22;96;71;73;92;15;6;5
2020-09-08 14:45:00;119;82;2;16;14;82;71;73;82;19;4;14
2020-09-08 15:00:00;130;91;6;18;15;70;67;53;99;16;7;43
2020-09-08 15:15:00;121;68;8;15;16;86;59;66;97;14;2;21
2020-09-08 15:30:00;120;84;6;15;19;102;65;80;89;52;8;39
2020-09-08 15:45:00;131;80;20;19;23;96;77;70;107;17;3;17
2020-09-08 16:00:00;162;119;9;19;19;94;73;56;101;14;4;5
2020-09-08 16:15:00;161;101;4;25;23;115;51;55;121;15;10;6
2020-09-08 16:30:00;149;114;9;22;20;127;64;74;129;16;3;18
2020-09-08 16:45:00;156;118;10;18;20;127;41;59;105;14;16;2
2020-09-08 17:00:00;137;97;8;29;31;146;80;84;118;14;10;30
2020-09-08 17:15:00;142;86;8;20;25;112;71;65;110;16;11;1
2020-09-08 17:30:00;120;92;9;14;17;91;79;44;102;29;6;42
2020-09-08 17:45:00;91;71;5;14;17;102;81;75;88;16;7;32
2020-09-08 18:00:00;99;57;2;14;14;96;61;64;92;14;7;8
2020-09-08 18:15:00;83;47;9;15;25;89;82;76;81;13;5;8
2020-09-08 18:30:00;71;55;0;10;15;63;63;60;75;22;2;0
2020-09-08 18:45:00;62;45;4;11;12;66;61;69;51;17;9;31
2020-09-08 19:00:00;64;34;1;8;17;52;64;61;69;21;13;55
2020-09-08 19:15:00;61;32;6;21;20;67;62;56;50;30;3;8
