DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-12-24 00:00:00;1;1;0;0;3;2;1;0;3;0;0
2020-12-24 00:15:00;2;2;1;0;5;2;0;0;4;0;0
2020-12-24 00:30:00;2;4;0;0;5;2;0;0;4;0;0
2020-12-24 00:45:00;1;5;1;0;5;3;0;0;3;0;0
2020-12-24 01:00:00;2;3;0;1;3;2;0;0;2;0;0
2020-12-24 01:15:00;1;1;0;0;3;2;0;0;2;0;0
2020-12-24 01:30:00;5;2;1;0;2;1;0;0;2;0;0
2020-12-24 01:45:00;0;0;0;0;1;0;0;0;3;0;0
2020-12-24 02:00:00;3;3;0;0;1;2;0;0;1;0;0
2020-12-24 02:15:00;2;5;0;0;4;1;0;0;1;0;0
2020-12-24 02:30:00;8;4;0;0;5;3;0;0;4;0;0
2020-12-24 02:45:00;2;3;0;0;1;1;1;0;1;0;0
2020-12-24 03:00:00;2;3;0;0;1;1;0;0;1;0;0
2020-12-24 03:15:00;4;4;1;0;1;1;0;0;1;0;0
2020-12-24 03:30:00;3;2;0;0;4;0;0;0;0;0;0
2020-12-24 03:45:00;1;2;0;0;1;2;1;0;1;0;0
2020-12-24 04:00:00;3;3;0;0;1;1;0;0;2;0;0
2020-12-24 04:15:00;1;1;0;0;4;1;0;0;3;0;0
2020-12-24 04:30:00;13;9;0;0;1;3;0;0;4;0;0
2020-12-24 04:45:00;9;7;0;0;5;5;0;0;5;0;0
2020-12-24 05:00:00;13;12;0;0;8;1;0;0;1;0;0
2020-12-24 05:15:00;3;4;2;0;8;4;0;0;6;0;0
2020-12-24 05:30:00;16;15;1;0;18;15;2;0;12;0;0
2020-12-24 05:45:00;12;9;1;1;4;6;0;0;5;0;0
2020-12-24 06:00:00;14;12;1;3;8;5;0;0;7;0;0
2020-12-24 06:15:00;12;12;3;0;9;4;0;0;7;0;0
2020-12-24 06:30:00;16;15;1;0;17;13;0;0;16;0;0
2020-12-24 06:45:00;17;16;1;0;11;15;1;0;14;0;0
2020-12-24 07:00:00;17;22;2;2;26;7;0;0;9;0;0
2020-12-24 07:15:00;14;15;3;0;21;9;0;0;11;0;0
2020-12-24 07:30:00;23;27;0;0;20;19;2;0;20;0;0
2020-12-24 07:45:00;11;7;0;1;24;17;0;0;21;0;0
2020-12-24 08:00:00;29;29;0;1;17;9;0;0;15;0;0
2020-12-24 08:15:00;29;20;0;0;19;12;0;0;9;0;0
2020-12-24 08:30:00;27;25;1;1;26;22;1;0;27;0;0
2020-12-24 08:45:00;29;32;2;1;35;25;1;0;24;0;0
2020-12-24 09:00:00;32;42;2;1;28;23;4;0;31;1;0
2020-12-24 09:15:00;36;29;1;1;24;28;3;0;33;0;0
2020-12-24 09:30:00;45;50;3;0;26;31;1;0;32;0;0
2020-12-24 09:45:00;52;68;0;0;53;34;1;0;35;1;4
2020-12-24 10:00:00;44;59;4;0;36;34;1;0;32;1;8
2020-12-24 10:15:00;49;66;4;3;47;43;2;0;44;1;0
2020-12-24 10:30:00;44;53;0;1;58;51;3;0;49;1;0
2020-12-24 10:45:00;62;75;4;1;57;48;0;0;48;1;0
2020-12-24 11:00:00;52;73;6;1;55;47;1;0;45;0;3
2020-12-24 11:15:00;58;54;1;1;56;54;0;0;54;1;1
2020-12-24 11:30:00;56;64;3;1;48;48;2;0;45;0;0
2020-12-24 11:45:00;52;52;4;1;67;55;2;0;63;0;4
2020-12-24 12:00:00;52;72;3;2;55;57;3;0;57;0;0
2020-12-24 12:15:00;48;45;2;1;58;55;1;0;50;0;2
2020-12-24 12:30:00;39;65;4;0;49;48;2;0;45;0;4
2020-12-24 12:45:00;54;66;4;1;50;36;2;0;44;1;1
2020-12-24 13:00:00;35;58;4;0;66;55;2;0;55;0;2
2020-12-24 13:15:00;43;55;4;1;56;50;3;0;51;0;0
2020-12-24 13:30:00;49;54;5;0;54;46;1;0;42;1;4
2020-12-24 13:45:00;50;74;7;1;65;49;3;0;49;1;0
2020-12-24 14:00:00;50;62;5;2;47;48;1;0;49;0;0
2020-12-24 14:15:00;52;67;3;0;51;49;0;0;48;0;0
2020-12-24 14:30:00;49;56;7;0;52;48;1;0;45;0;4
2020-12-24 14:45:00;44;52;7;0;63;58;0;0;59;1;25
2020-12-24 15:00:00;36;46;3;1;51;39;0;0;43;1;2
2020-12-24 15:15:00;38;51;3;0;49;37;0;0;37;0;17
2020-12-24 15:30:00;32;40;2;0;36;37;2;0;35;0;4
2020-12-24 15:45:00;42;47;4;0;49;51;0;0;48;0;15
2020-12-24 16:00:00;30;47;5;0;35;38;1;0;43;2;0
2020-12-24 16:15:00;29;36;2;0;30;42;0;0;39;1;0
2020-12-24 16:30:00;38;40;2;1;32;24;0;0;27;1;0
2020-12-24 16:45:00;24;18;1;0;43;32;1;0;36;1;0
2020-12-24 17:00:00;20;28;1;0;24;24;0;0;30;0;3
2020-12-24 17:15:00;19;24;4;0;27;26;0;0;23;0;0
2020-12-24 17:30:00;29;33;2;0;23;24;1;0;23;0;0
2020-12-24 17:45:00;19;19;2;4;17;16;1;0;19;0;0
2020-12-24 18:00:00;15;15;1;0;14;16;1;0;15;0;0
2020-12-24 18:15:00;16;13;3;0;22;15;0;0;15;0;0
2020-12-24 18:30:00;9;13;0;1;19;20;0;0;21;0;0
2020-12-24 18:45:00;12;17;0;0;16;17;0;0;14;0;0
2020-12-24 19:00:00;20;22;1;0;16;9;1;0;12;0;0
2020-12-24 19:15:00;10;13;3;0;24;13;1;0;11;0;0
2020-12-24 19:30:00;20;23;0;0;26;16;1;0;16;0;0
2020-12-24 19:45:00;21;26;1;0;31;13;0;0;17;0;0
2020-12-24 20:00:00;43;23;1;0;33;31;4;0;29;0;0
2020-12-24 20:15:00;29;33;1;0;34;27;1;0;24;0;0
2020-12-24 20:30:00;43;56;0;1;62;51;1;0;54;0;0
2020-12-24 20:45:00;24;25;0;0;52;54;2;0;56;1;0
2020-12-24 21:00:00;7;6;1;1;21;22;2;0;23;0;0
