DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-08-13 00:00:00;6;0;3;2;0;0;0;0;0;0;0;0
2019-08-13 00:15:00;7;0;5;4;0;0;0;0;0;0;0;0
2019-08-13 00:30:00;3;0;8;1;0;0;0;0;0;0;0;0
2019-08-13 00:45:00;4;0;6;2;0;0;0;0;0;0;0;0
2019-08-13 01:00:00;4;0;2;3;0;0;0;0;0;0;0;0
2019-08-13 01:15:00;4;0;4;5;0;0;0;0;0;0;0;0
2019-08-13 01:30:00;3;0;3;1;0;0;0;0;0;0;0;0
2019-08-13 01:45:00;0;0;2;0;0;0;0;0;0;0;0;0
2019-08-13 02:00:00;2;0;3;0;0;0;0;0;0;0;0;0
2019-08-13 02:15:00;2;0;2;0;0;0;0;0;0;0;0;0
2019-08-13 02:30:00;0;0;0;2;0;0;0;0;0;0;0;0
2019-08-13 02:45:00;0;0;1;0;0;0;0;0;0;0;0;0
2019-08-13 03:00:00;6;0;0;0;0;0;0;0;0;0;0;0
2019-08-13 03:15:00;4;0;2;2;0;0;0;0;0;0;0;0
2019-08-13 03:30:00;1;0;7;1;0;0;0;0;0;0;0;0
2019-08-13 03:45:00;0;0;0;1;0;0;0;0;0;0;0;0
2019-08-13 04:00:00;0;0;3;1;0;0;0;0;0;0;0;0
2019-08-13 04:15:00;5;0;4;0;0;0;0;0;0;0;0;0
2019-08-13 04:30:00;10;0;2;4;0;0;0;0;0;0;0;0
2019-08-13 04:45:00;12;0;6;4;0;0;0;0;0;0;0;0
2019-08-13 05:00:00;9;0;11;1;0;0;0;0;0;0;0;0
2019-08-13 05:15:00;17;0;17;5;0;0;0;0;0;0;0;0
2019-08-13 05:30:00;34;0;42;10;0;0;0;0;0;0;0;0
2019-08-13 05:45:00;32;0;45;3;0;0;2;0;0;0;0;0
2019-08-13 06:00:00;39;0;38;8;13;0;0;0;0;0;0;0
2019-08-13 06:15:00;35;0;52;6;4;0;0;0;0;0;0;0
2019-08-13 06:30:00;53;0;70;14;2;0;0;0;0;0;0;0
2019-08-13 06:45:00;45;0;64;11;7;3;0;0;0;0;0;0
2019-08-13 07:00:00;55;0;67;15;2;0;2;0;0;0;0;0
2019-08-13 07:15:00;38;0;85;12;5;0;7;0;0;0;0;0
2019-08-13 07:30:00;35;0;91;11;1;0;2;0;0;0;0;0
2019-08-13 07:45:00;52;0;93;19;8;0;2;0;0;0;0;0
2019-08-13 08:00:00;40;0;90;15;6;1;0;0;0;0;0;0
2019-08-13 08:15:00;49;0;79;11;14;0;0;0;0;0;0;0
2019-08-13 08:30:00;50;0;86;13;7;0;1;1;0;0;0;0
2019-08-13 08:45:00;31;0;77;11;9;0;3;0;1;0;0;0
2019-08-13 09:00:00;55;0;67;16;14;0;0;8;0;3;0;0
2019-08-13 09:15:00;50;0;73;22;0;0;8;0;0;0;0;0
2019-08-13 09:30:00;56;0;76;17;19;0;13;1;0;0;0;0
2019-08-13 09:45:00;48;0;72;20;5;0;8;6;0;0;0;0
2019-08-13 10:00:00;59;0;56;19;1;2;3;0;0;0;0;0
2019-08-13 10:15:00;54;0;64;22;3;1;4;2;0;0;0;0
2019-08-13 10:30:00;49;0;82;24;3;0;3;1;0;0;0;0
2019-08-13 10:45:00;68;0;76;11;9;1;3;14;0;0;0;0
2019-08-13 11:00:00;56;0;48;21;2;2;21;0;0;0;0;0
2019-08-13 11:15:00;72;0;64;25;3;0;2;0;0;0;0;0
2019-08-13 11:30:00;68;0;72;17;2;0;2;0;5;0;0;0
2019-08-13 11:45:00;64;0;61;22;3;0;0;2;0;0;0;0
2019-08-13 12:00:00;50;0;57;14;6;0;6;0;0;0;0;0
2019-08-13 12:15:00;64;0;64;16;1;0;7;0;0;0;0;0
2019-08-13 12:30:00;64;0;68;17;2;0;1;0;0;0;0;0
2019-08-13 12:45:00;63;0;69;22;4;0;0;0;0;0;0;0
2019-08-13 13:00:00;56;0;59;18;0;0;7;2;0;0;0;0
2019-08-13 13:15:00;74;0;69;26;27;4;3;0;0;0;0;0
