DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DD1);9(DD2);10(DD3);11(TAFBA);12(TAFBA2);13(TAFBB);14(TAFBC);15(TAFBC2);16(TAFBD);17(TAFBE)
2020-11-05 00:00:00;9;7;1;1;0;4;11;3;5;2;0;0;0;0;0;0;0
2020-11-05 00:15:00;6;5;2;4;1;1;11;1;5;1;0;0;0;0;0;0;0
2020-11-05 00:30:00;11;10;6;3;2;2;7;0;3;1;0;0;0;0;0;0;0
2020-11-05 00:45:00;10;1;0;1;0;2;8;2;5;4;0;0;0;0;0;0;0
2020-11-05 01:00:00;17;10;0;0;0;6;6;2;3;4;0;0;0;0;0;0;0
2020-11-05 01:15:00;11;7;0;1;0;3;7;0;3;2;0;0;0;0;0;0;0
2020-11-05 01:30:00;8;5;1;0;0;1;6;0;1;0;0;0;0;0;0;0;0
2020-11-05 01:45:00;5;3;2;1;0;3;4;1;1;1;0;0;0;0;0;0;0
2020-11-05 02:00:00;7;3;0;1;0;2;7;3;4;4;0;0;0;0;0;0;0
2020-11-05 02:15:00;4;4;2;2;0;1;10;1;1;0;0;0;0;0;0;0;0
2020-11-05 02:30:00;9;1;1;0;0;1;6;0;2;0;0;0;0;0;0;0;0
2020-11-05 02:45:00;3;3;0;0;0;2;6;0;0;2;0;0;0;0;0;0;0
2020-11-05 03:00:00;8;6;1;0;0;1;4;0;5;1;0;0;0;0;0;0;0
2020-11-05 03:15:00;4;1;1;1;1;0;3;1;4;4;0;0;0;0;0;0;0
2020-11-05 03:30:00;7;3;0;0;0;1;6;1;2;3;0;0;0;0;0;0;0
2020-11-05 03:45:00;5;4;0;0;0;1;6;5;0;2;0;0;0;0;0;0;0
2020-11-05 04:00:00;5;4;5;0;0;4;10;3;3;1;0;0;0;0;0;0;0
2020-11-05 04:15:00;8;4;0;0;0;2;8;4;3;0;0;0;0;0;0;0;0
2020-11-05 04:30:00;23;14;4;4;1;7;23;2;7;5;0;0;0;0;0;0;0
2020-11-05 04:45:00;28;15;5;6;0;9;23;2;6;3;0;0;0;0;0;0;0
2020-11-05 05:00:00;51;26;11;29;1;8;40;4;11;9;0;0;0;0;0;0;0
2020-11-05 05:15:00;100;67;49;69;2;26;64;10;12;13;0;0;0;0;0;0;0
2020-11-05 05:30:00;49;61;51;61;2;18;60;14;17;18;0;0;0;0;0;0;0
2020-11-05 05:45:00;50;57;31;47;2;38;84;76;64;76;0;0;0;0;0;0;0
2020-11-05 06:00:00;52;58;24;23;3;53;78;58;58;88;0;3;0;1;0;0;0
2020-11-05 06:15:00;90;88;23;35;6;58;80;39;34;40;1;0;0;0;0;0;0
2020-11-05 06:30:00;69;98;38;46;8;47;88;19;28;25;2;0;0;0;0;0;0
2020-11-05 06:45:00;68;103;42;61;18;50;90;25;33;34;0;0;0;0;0;0;0
2020-11-05 07:00:00;65;72;32;33;4;59;80;16;22;20;0;0;0;0;0;0;0
2020-11-05 07:15:00;80;91;34;31;19;45;83;32;38;23;0;5;0;0;0;0;0
2020-11-05 07:30:00;79;121;36;39;18;58;81;34;38;30;0;0;0;0;0;0;0
2020-11-05 07:45:00;57;107;37;49;17;56;75;33;43;47;0;0;0;0;0;1;0
2020-11-05 08:00:00;67;100;41;41;10;51;66;28;24;27;2;0;1;0;3;0;0
2020-11-05 08:15:00;87;110;44;38;12;66;94;30;39;30;0;0;0;0;2;0;0
2020-11-05 08:30:00;63;98;27;28;12;81;83;33;24;27;0;0;1;0;0;0;0
2020-11-05 08:45:00;68;100;34;30;12;50;96;29;31;31;0;0;3;0;0;6;0
2020-11-05 09:00:00;68;88;28;30;11;48;67;39;29;23;0;0;0;0;0;0;0
2020-11-05 09:15:00;62;94;24;26;12;57;77;33;26;30;0;1;1;6;0;0;0
2020-11-05 09:30:00;80;96;28;25;7;54;80;30;32;22;0;0;6;0;0;0;0
2020-11-05 09:45:00;77;115;24;26;21;57;89;28;41;23;1;1;0;0;0;0;0
2020-11-05 10:00:00;52;90;15;18;13;55;76;21;29;25;8;0;0;0;0;0;0
2020-11-05 10:15:00;84;95;30;27;10;76;88;30;33;38;0;0;1;0;0;0;0
2020-11-05 10:30:00;75;127;27;26;14;70;75;24;27;35;0;0;0;0;0;4;0
2020-11-05 10:45:00;90;124;32;20;14;72;82;28;33;45;2;0;5;0;2;2;0
2020-11-05 11:00:00;69;91;24;30;20;57;92;30;26;35;0;0;0;0;0;0;0
2020-11-05 11:15:00;74;128;27;35;16;53;76;32;30;34;0;0;3;2;1;3;0
2020-11-05 11:30:00;74;97;30;25;10;92;112;34;27;34;1;0;3;0;6;0;0
2020-11-05 11:45:00;77;101;31;23;26;74;87;37;25;31;0;0;4;0;0;0;0
