DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2019-09-27 00:00:00;9;6;1;8;8;0;0;0;0;0
2019-09-27 00:15:00;8;13;2;6;3;1;0;0;0;0
2019-09-27 00:30:00;12;5;1;9;5;0;0;0;0;0
2019-09-27 00:45:00;8;13;1;5;3;0;0;0;0;0
2019-09-27 01:00:00;7;2;0;8;5;0;0;0;0;0
2019-09-27 01:15:00;8;6;0;7;6;0;0;0;0;0
2019-09-27 01:30:00;5;5;1;6;1;0;0;0;0;0
2019-09-27 01:45:00;9;5;0;6;3;0;0;0;0;0
2019-09-27 02:00:00;4;4;0;6;6;0;0;0;0;0
2019-09-27 02:15:00;7;3;0;4;2;0;0;0;0;0
2019-09-27 02:30:00;6;4;0;8;2;0;0;0;0;0
2019-09-27 02:45:00;1;4;1;7;6;0;0;0;0;0
2019-09-27 03:00:00;7;6;0;10;3;0;0;0;0;0
2019-09-27 03:15:00;7;4;3;4;7;0;0;0;0;0
2019-09-27 03:30:00;7;3;1;5;3;0;0;0;0;0
2019-09-27 03:45:00;9;3;0;9;3;0;0;0;0;0
2019-09-27 04:00:00;11;6;1;4;1;0;0;0;0;0
2019-09-27 04:15:00;9;5;0;8;3;0;0;0;0;0
2019-09-27 04:30:00;10;2;0;12;5;0;0;0;0;0
2019-09-27 04:45:00;19;16;1;19;10;0;0;0;0;0
2019-09-27 05:00:00;14;7;0;35;15;0;0;0;0;0
2019-09-27 05:15:00;27;24;1;38;24;0;0;0;0;0
2019-09-27 05:30:00;47;26;1;52;20;3;0;0;0;0
2019-09-27 05:45:00;57;37;1;70;35;2;0;0;0;0
2019-09-27 06:00:00;54;29;5;51;32;1;0;0;0;0
2019-09-27 06:15:00;69;41;0;77;30;2;0;0;0;0
2019-09-27 06:30:00;82;48;0;79;62;4;0;0;0;0
2019-09-27 06:45:00;117;67;0;110;56;6;0;0;0;0
2019-09-27 07:00:00;95;49;0;113;58;256;0;0;0;0
2019-09-27 07:15:00;114;52;3;129;107;2;0;0;0;0
2019-09-27 07:30:00;99;59;3;125;68;4;0;0;0;0
2019-09-27 07:45:00;125;71;7;124;75;11;1;0;0;0
2019-09-27 08:00:00;92;78;2;84;55;6;0;0;0;0
2019-09-27 08:15:00;84;69;0;91;68;5;0;0;0;0
2019-09-27 08:30:00;76;70;3;96;52;1;0;0;0;0
2019-09-27 08:45:00;92;80;2;92;56;5;0;0;0;0
2019-09-27 09:00:00;87;69;7;89;53;6;0;0;0;0
2019-09-27 09:15:00;90;62;3;91;53;7;0;0;0;0
2019-09-27 09:30:00;91;59;3;94;68;7;13;0;0;0
2019-09-27 09:45:00;79;76;2;112;54;8;0;0;0;0
2019-09-27 10:00:00;80;65;4;106;67;7;1;0;0;0
2019-09-27 10:15:00;86;55;3;101;57;6;0;0;0;0
2019-09-27 10:30:00;84;50;9;89;51;10;0;0;0;0
2019-09-27 10:45:00;90;65;10;105;54;6;0;0;0;0
2019-09-27 11:00:00;107;57;9;99;58;9;1;0;0;0
2019-09-27 11:15:00;97;75;2;113;76;262;2;0;0;0
2019-09-27 11:30:00;119;77;12;132;76;262;1;0;0;0
2019-09-27 11:45:00;132;64;3;89;62;7;60;0;0;0
2019-09-27 12:00:00;119;98;6;136;81;8;5;0;0;0
2019-09-27 12:15:00;116;65;8;123;73;7;2;0;0;0
2019-09-27 12:30:00;109;68;5;111;82;5;2;0;0;0
2019-09-27 12:45:00;123;79;263;135;73;261;4;0;0;0
