DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2020-03-31 00:00:00;2;0;2;0;0;0;0;0;0;0;0;0
2020-03-31 00:15:00;3;0;1;0;0;0;0;0;0;0;0;0
2020-03-31 00:30:00;2;0;3;0;0;0;0;0;0;0;0;0
2020-03-31 00:45:00;1;0;5;0;0;0;0;0;0;0;0;0
2020-03-31 01:00:00;3;0;2;0;0;0;0;0;0;0;0;0
2020-03-31 01:15:00;3;0;5;0;0;0;0;0;0;0;0;0
2020-03-31 01:30:00;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-31 01:45:00;1;0;4;0;0;0;0;0;0;0;0;0
2020-03-31 02:00:00;2;0;3;0;0;0;0;0;0;0;0;0
2020-03-31 02:15:00;0;0;1;0;0;0;0;0;0;0;0;0
2020-03-31 02:30:00;3;0;2;0;0;0;0;0;0;0;0;0
2020-03-31 02:45:00;0;0;2;0;0;0;0;0;0;0;0;0
2020-03-31 03:00:00;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-31 03:15:00;0;0;3;0;0;0;0;0;0;0;0;0
2020-03-31 03:30:00;2;0;6;0;0;0;0;0;0;0;0;0
2020-03-31 03:45:00;3;0;5;0;0;0;0;0;0;0;0;0
2020-03-31 04:00:00;3;0;7;0;0;0;0;0;0;0;0;0
2020-03-31 04:15:00;4;0;3;0;0;0;0;0;0;0;0;0
2020-03-31 04:30:00;2;0;7;0;0;0;0;0;0;0;0;0
2020-03-31 04:45:00;3;0;10;0;0;0;0;0;0;0;0;0
2020-03-31 05:00:00;2;0;17;0;0;0;0;0;0;0;0;0
2020-03-31 05:15:00;7;0;30;0;0;0;0;0;0;0;0;0
2020-03-31 05:30:00;6;0;75;0;0;0;0;0;0;0;0;0
2020-03-31 05:45:00;9;0;59;0;0;0;0;0;0;0;0;0
2020-03-31 06:00:00;20;0;73;0;0;0;0;0;0;0;0;0
2020-03-31 06:15:00;21;0;110;0;2;0;0;0;0;0;0;0
2020-03-31 06:30:00;34;0;116;0;4;0;0;0;0;0;0;0
2020-03-31 06:45:00;39;0;143;0;5;0;0;0;0;0;0;0
2020-03-31 07:00:00;37;0;118;0;7;0;0;0;0;0;0;0
2020-03-31 07:15:00;37;0;147;0;3;1;0;0;0;1;0;0
2020-03-31 07:30:00;48;0;127;0;6;0;0;0;0;1;0;0
2020-03-31 07:45:00;35;0;140;0;4;0;0;0;0;0;0;0
2020-03-31 08:00:00;41;0;109;0;6;0;0;0;0;0;0;0
2020-03-31 08:15:00;38;0;96;0;4;1;0;0;0;1;0;0
2020-03-31 08:30:00;50;0;92;0;0;0;0;0;0;0;0;0
2020-03-31 08:45:00;23;0;65;0;1;0;0;0;0;1;0;0
2020-03-31 09:00:00;33;0;62;0;0;2;0;0;0;1;0;0
2020-03-31 09:15:00;59;0;71;0;0;0;0;0;0;7;0;0
2020-03-31 09:30:00;46;0;86;0;0;0;0;0;0;1;0;0
2020-03-31 09:45:00;57;0;70;0;1;15;0;0;0;3;0;0
2020-03-31 10:00:00;48;0;75;0;0;5;0;0;0;1;0;0
2020-03-31 10:15:00;61;0;72;0;3;0;0;0;0;0;0;0
2020-03-31 10:30:00;59;0;69;0;1;0;0;0;0;3;0;0
2020-03-31 10:45:00;75;0;81;0;3;0;0;0;0;3;0;0
2020-03-31 11:00:00;63;0;78;0;0;0;0;0;0;1;0;0
2020-03-31 11:15:00;64;0;66;0;2;0;0;0;0;1;0;0
2020-03-31 11:30:00;78;0;78;0;0;0;0;0;0;1;0;0
2020-03-31 11:45:00;99;0;64;0;2;0;0;0;0;5;3;0
2020-03-31 12:00:00;90;0;72;0;0;14;0;0;0;2;0;0
2020-03-31 12:15:00;93;0;73;0;0;4;0;0;0;4;3;0
2020-03-31 12:30:00;91;0;74;0;0;2;0;0;0;4;0;0
2020-03-31 12:45:00;88;0;70;0;1;2;0;0;0;3;2;0
2020-03-31 13:00:00;98;0;85;0;2;2;0;0;0;0;0;0
2020-03-31 13:15:00;77;0;73;0;2;2;0;0;0;1;3;0
2020-03-31 13:30:00;72;0;83;0;0;40;0;0;0;1;0;0
2020-03-31 13:45:00;63;0;73;0;4;36;0;0;0;2;0;0
2020-03-31 14:00:00;80;0;65;0;2;4;0;0;0;3;0;0
2020-03-31 14:15:00;95;0;86;0;1;0;0;0;0;2;0;0
2020-03-31 14:30:00;91;0;69;0;0;0;0;0;0;6;0;0
2020-03-31 14:45:00;103;0;67;0;1;3;0;0;0;4;2;0
2020-03-31 15:00:00;112;0;91;0;2;3;0;0;0;2;0;0
2020-03-31 15:15:00;88;0;64;0;3;0;0;0;0;4;2;0
2020-03-31 15:30:00;121;0;64;0;4;4;0;0;0;4;0;0
2020-03-31 15:45:00;90;0;71;0;3;3;0;0;0;7;0;0
2020-03-31 16:00:00;115;0;84;0;1;6;0;0;0;5;1;0
2020-03-31 16:15:00;132;0;86;0;0;6;0;0;0;5;0;0
2020-03-31 16:30:00;115;0;68;0;5;2;0;0;0;5;0;0
2020-03-31 16:45:00;118;0;81;0;4;3;0;0;0;3;0;0
2020-03-31 17:00:00;120;0;65;0;4;6;0;0;0;6;0;0
2020-03-31 17:15:00;135;0;73;0;2;27;0;0;0;2;3;0
2020-03-31 17:30:00;100;0;81;0;1;7;0;0;0;9;3;0
2020-03-31 17:45:00;108;0;71;0;2;7;0;0;0;6;1;0
2020-03-31 18:00:00;108;0;59;0;1;5;0;0;0;4;0;0
2020-03-31 18:15:00;91;0;40;0;4;6;0;0;0;0;0;0
2020-03-31 18:30:00;75;0;58;0;0;9;0;0;0;1;0;0
2020-03-31 18:45:00;57;0;53;0;0;2;0;0;0;1;0;0
2020-03-31 19:00:00;78;0;40;0;3;1;0;0;0;1;0;0
2020-03-31 19:15:00;47;0;35;0;1;2;0;0;0;1;0;0
2020-03-31 19:30:00;42;0;45;0;1;6;0;0;0;2;0;0
2020-03-31 19:45:00;30;0;32;0;1;6;0;0;0;2;1;0
2020-03-31 20:00:00;46;0;28;0;0;15;0;0;0;3;0;0
2020-03-31 20:15:00;33;0;34;0;1;8;0;0;0;0;0;0
2020-03-31 20:30:00;24;0;29;0;0;11;0;0;0;0;0;0
2020-03-31 20:45:00;31;0;26;0;0;15;0;0;0;0;0;0
2020-03-31 21:00:00;21;0;22;0;0;29;0;0;0;0;0;0
2020-03-31 21:15:00;23;0;18;0;0;31;0;0;0;0;0;0
2020-03-31 21:30:00;9;0;10;0;0;35;0;0;0;0;0;0
2020-03-31 21:45:00;20;0;10;0;0;19;0;0;0;0;0;0
2020-03-31 22:00:00;25;0;11;0;0;11;0;0;0;0;0;0
2020-03-31 22:15:00;25;0;13;0;0;9;0;0;0;0;0;0
2020-03-31 22:30:00;9;0;9;0;0;3;0;0;0;0;0;0
2020-03-31 22:45:00;13;0;8;0;0;0;0;0;0;0;0;0
