DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2020-01-11 21:00:00;10;11;24;12;9;11;48;254;1;0;0;0
2020-01-11 21:15:00;8;24;25;6;6;13;46;5;1;0;0;0
2020-01-11 21:30:00;3;11;17;12;8;8;19;6;3;0;0;0
2020-01-11 21:45:00;6;11;24;5;9;16;37;254;2;0;0;0
2020-01-11 22:00:00;8;10;16;2;21;13;51;4;3;0;0;0
2020-01-11 22:15:00;7;15;18;3;9;14;41;255;3;0;0;0
2020-01-11 22:30:00;9;14;22;3;9;23;65;3;4;0;0;0
2020-01-11 22:45:00;8;17;21;4;10;13;39;3;3;0;0;0
2020-01-11 23:00:00;7;13;20;8;9;9;30;257;1;0;0;0
2020-01-11 23:15:00;6;8;11;5;9;12;30;0;0;0;0;0
2020-01-11 23:30:00;3;10;12;9;11;4;20;0;1;1;0;0
2020-01-11 23:45:00;4;13;14;2;5;8;26;0;0;0;0;0
