DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2019-12-20 00:00:00;4;10;5;2;2;5;1;0;13;8;3;1;2;4;2;0;0;0;0;0;0
2019-12-20 00:15:00;6;11;3;4;1;3;2;0;9;9;0;0;7;2;3;0;0;0;0;0;0
2019-12-20 00:30:00;6;13;3;2;11;6;0;0;10;5;1;0;2;3;1;0;0;0;0;0;0
2019-12-20 00:45:00;4;7;7;4;7;7;1;1;6;9;0;0;4;2;0;0;0;0;0;0;0
2019-12-20 01:00:00;5;4;4;4;1;2;0;0;1;4;0;0;2;2;0;0;0;0;0;0;0
2019-12-20 01:15:00;5;5;1;1;0;3;2;0;3;4;1;0;1;1;0;0;0;0;0;0;0
2019-12-20 01:30:00;4;6;3;0;4;5;0;0;7;3;0;0;2;1;1;0;0;0;0;0;0
2019-12-20 01:45:00;3;2;2;0;0;3;0;0;5;4;1;1;6;7;1;0;0;0;0;0;0
2019-12-20 02:00:00;4;6;1;3;3;4;0;0;4;4;0;1;3;2;2;0;0;0;0;0;0
2019-12-20 02:15:00;5;7;2;2;0;0;1;0;4;5;1;0;0;4;2;0;0;0;0;0;0
2019-12-20 02:30:00;1;5;2;0;1;2;0;0;2;2;1;0;3;1;1;0;0;0;0;0;0
2019-12-20 02:45:00;5;11;1;2;1;1;0;0;3;2;1;0;3;4;0;0;0;0;0;0;0
2019-12-20 03:00:00;1;2;1;4;2;1;0;1;5;1;0;0;4;3;0;0;0;0;0;0;0
2019-12-20 03:15:00;1;8;3;3;1;3;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0
2019-12-20 03:30:00;3;3;1;1;0;3;1;0;0;2;0;0;2;1;0;0;0;0;0;0;0
2019-12-20 03:45:00;2;9;0;0;1;4;1;1;0;0;0;0;4;1;0;0;0;0;0;0;0
2019-12-20 04:00:00;2;4;0;1;1;1;0;0;3;2;0;0;4;3;0;0;0;0;0;0;0
2019-12-20 04:15:00;3;5;0;0;1;5;0;1;2;0;0;0;3;4;1;0;0;0;0;0;0
2019-12-20 04:30:00;5;8;1;0;0;4;2;0;3;3;1;3;3;4;2;0;0;0;0;0;0
2019-12-20 04:45:00;3;5;2;0;2;1;1;0;4;3;1;2;4;5;4;0;0;0;0;0;0
2019-12-20 05:00:00;12;7;6;1;0;11;1;0;11;6;2;0;5;10;3;0;0;0;0;0;0
2019-12-20 05:15:00;5;16;5;3;3;7;0;0;13;10;3;1;10;6;2;0;0;0;0;0;0
2019-12-20 05:30:00;27;30;15;9;9;20;4;0;22;21;12;1;10;13;4;0;0;0;0;0;0
2019-12-20 05:45:00;42;40;14;5;7;25;6;6;23;32;11;2;14;14;11;0;0;0;0;0;0
2019-12-20 06:00:00;26;30;16;6;10;23;3;1;22;32;7;0;18;11;19;0;0;0;0;0;0
2019-12-20 06:15:00;34;32;23;8;11;29;5;2;25;38;9;6;23;17;16;0;0;0;0;0;0
2019-12-20 06:30:00;38;42;26;8;14;37;6;1;26;44;8;5;22;16;16;0;0;0;0;0;0
2019-12-20 06:45:00;65;44;38;8;20;52;3;1;28;54;10;3;30;22;20;0;0;0;0;0;0
2019-12-20 07:00:00;56;67;44;16;13;44;4;2;38;37;17;10;46;26;24;0;0;0;0;0;0
2019-12-20 07:15:00;67;60;45;15;30;47;12;3;38;59;32;7;59;50;29;0;0;0;0;0;0
2019-12-20 07:30:00;61;63;44;17;52;48;19;3;44;46;21;14;69;29;28;0;0;0;0;0;0
2019-12-20 07:45:00;66;72;63;24;62;67;33;2;59;58;25;23;62;42;41;2;0;2;0;0;0
2019-12-20 08:00:00;64;64;41;16;42;51;18;8;47;50;20;15;55;24;28;0;0;0;0;0;0
2019-12-20 08:15:00;34;62;46;17;30;35;10;7;33;40;29;18;35;19;13;0;0;0;0;0;0
2019-12-20 08:30:00;38;85;40;16;42;41;23;8;49;37;28;25;21;7;4;1;2;0;0;0;0
2019-12-20 08:45:00;42;92;57;26;42;42;34;11;61;60;21;64;17;6;3;0;0;0;0;0;0
2019-12-20 09:00:00;34;95;62;18;42;48;21;14;64;63;29;76;19;4;1;0;0;0;0;0;0
2019-12-20 09:15:00;38;109;79;33;49;36;20;18;48;55;24;75;26;14;0;1;0;2;0;0;0
2019-12-20 09:30:00;29;107;77;33;52;47;20;13;65;51;22;59;17;4;6;0;0;1;0;0;0
2019-12-20 09:45:00;34;114;100;26;46;36;27;16;69;73;26;74;22;8;8;0;0;1;0;0;1
2019-12-20 10:00:00;22;114;72;24;43;40;20;20;75;77;18;51;18;4;3;1;0;0;0;1;0
2019-12-20 10:15:00;20;100;80;31;56;39;34;21;84;73;27;74;34;13;7;0;0;0;0;0;0
2019-12-20 10:30:00;27;114;80;29;65;40;32;19;79;72;30;98;35;8;8;0;1;0;0;0;0
