DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-04-11 19:45:00;0;15;4;5;5;14;5;15;0;0;0;0;0
2020-04-11 20:00:00;0;16;3;3;4;5;4;27;0;0;0;0;0
2020-04-11 20:15:00;0;12;2;2;1;8;2;22;0;0;0;0;0
2020-04-11 20:30:00;0;8;4;3;1;3;2;9;0;0;0;0;0
2020-04-11 20:45:00;0;3;0;0;2;3;2;15;0;0;0;0;0
2020-04-11 21:00:00;0;8;3;3;1;3;1;13;0;0;0;0;0
2020-04-11 21:15:00;0;6;1;1;3;1;0;12;0;0;0;0;0
2020-04-11 21:30:00;0;6;1;2;0;2;0;7;0;0;0;0;0
2020-04-11 21:45:00;1;3;4;4;1;1;1;8;0;0;0;0;0
2020-04-11 22:00:00;0;6;1;1;5;3;5;3;0;0;0;0;0
2020-04-11 22:15:00;2;1;1;1;1;2;1;3;0;0;0;0;0
2020-04-11 22:30:00;0;3;3;2;0;0;0;6;0;0;0;0;0
2020-04-11 22:45:00;0;3;0;0;2;2;2;5;0;0;0;0;0
2020-04-11 23:00:00;2;3;0;0;2;1;2;4;0;0;0;0;0
2020-04-11 23:15:00;1;1;1;1;0;1;0;4;0;0;0;0;0
2020-04-11 23:30:00;1;4;0;0;0;0;0;1;0;0;0;0;0
2020-04-11 23:45:00;0;1;0;0;0;2;0;4;0;0;0;0;0
