DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-02-06 00:00:00;4;5;1;0;2;11;8;2;0;1;0;0;0;0
2020-02-06 00:15:00;5;10;2;1;1;8;6;5;2;0;0;0;0;0
2020-02-06 00:30:00;8;5;0;0;0;12;7;2;3;0;0;0;0;0
2020-02-06 00:45:00;5;5;2;2;2;5;7;2;1;1;0;0;0;0
2020-02-06 01:00:00;5;5;1;1;1;5;3;7;1;3;0;0;0;0
2020-02-06 01:15:00;5;6;1;2;3;5;3;0;0;1;0;0;0;0
2020-02-06 01:30:00;6;4;1;1;1;1;3;2;3;0;0;0;0;0
2020-02-06 01:45:00;6;2;0;0;1;8;5;2;1;2;0;0;0;0
2020-02-06 02:00:00;3;1;0;0;1;5;2;1;0;1;0;0;0;0
2020-02-06 02:15:00;2;1;2;2;1;5;9;5;0;0;0;0;0;0
2020-02-06 02:30:00;0;1;2;0;2;5;4;1;1;0;0;0;0;0
2020-02-06 02:45:00;1;4;1;1;2;5;2;0;0;0;0;0;0;0
2020-02-06 03:00:00;2;2;0;1;4;3;4;2;0;0;0;0;0;0
2020-02-06 03:15:00;5;5;1;0;1;2;10;4;0;0;0;0;0;0
2020-02-06 03:30:00;0;2;0;0;0;7;8;2;0;0;0;0;0;0
2020-02-06 03:45:00;6;4;0;0;0;8;10;5;0;1;0;0;0;0
2020-02-06 04:00:00;1;3;4;1;1;7;8;3;0;0;0;0;0;0
2020-02-06 04:15:00;6;3;2;3;3;17;13;4;0;0;0;0;0;0
2020-02-06 04:30:00;15;6;1;5;2;8;16;8;1;0;0;0;0;0
2020-02-06 04:45:00;24;24;3;2;5;11;10;6;2;0;0;0;0;0
2020-02-06 05:00:00;48;45;7;4;9;24;17;10;1;3;0;0;1;0
2020-02-06 05:15:00;80;69;6;10;17;32;24;18;6;1;0;0;1;0
2020-02-06 05:30:00;62;72;4;10;20;28;25;25;2;6;0;0;0;0
2020-02-06 05:45:00;43;60;2;19;24;48;30;29;12;8;0;0;0;0
2020-02-06 06:00:00;57;73;4;18;21;62;64;40;8;4;5;0;0;0
2020-02-06 06:15:00;76;111;6;20;14;56;60;41;8;8;0;0;0;0
2020-02-06 06:30:00;94;115;11;27;42;43;40;38;11;11;0;0;0;0
2020-02-06 06:45:00;88;111;9;41;45;67;47;52;18;8;0;0;0;0
2020-02-06 07:00:00;111;142;20;26;67;63;51;34;19;7;0;0;0;0
2020-02-06 07:15:00;118;143;14;44;89;76;61;31;15;15;0;0;1;1
2020-02-06 07:30:00;99;115;25;46;83;80;68;31;15;7;0;0;1;5
2020-02-06 07:45:00;92;111;29;61;77;104;88;52;19;7;48;0;0;0
2020-02-06 08:00:00;96;103;19;35;54;92;93;41;12;8;0;0;0;0
2020-02-06 08:15:00;90;109;23;42;72;80;76;32;9;5;0;0;0;0
2020-02-06 08:30:00;95;111;28;35;38;78;80;36;10;10;0;0;0;0
2020-02-06 08:45:00;77;84;16;42;45;85;76;51;18;14;0;0;4;0
2020-02-06 09:00:00;87;99;24;33;34;84;69;32;13;12;0;0;0;0
2020-02-06 09:15:00;73;82;20;35;32;78;79;47;11;5;0;0;0;0
2020-02-06 09:30:00;75;80;21;42;46;84;84;40;14;6;0;0;0;0
2020-02-06 09:45:00;68;81;33;32;26;88;105;45;12;12;0;0;0;0
2020-02-06 10:00:00;80;84;30;40;37;102;122;41;14;11;0;0;0;0
2020-02-06 10:15:00;81;81;17;33;34;90;130;49;11;8;0;0;0;0
2020-02-06 10:30:00;74;105;35;33;29;101;106;43;16;16;0;0;0;0
2020-02-06 10:45:00;76;78;29;43;36;105;121;53;18;8;0;0;1;1
2020-02-06 11:00:00;78;74;25;38;39;101;117;52;15;6;0;0;0;0
2020-02-06 11:15:00;71;73;22;40;46;101;130;58;24;9;10;0;0;0
2020-02-06 11:30:00;71;75;28;34;32;99;121;58;15;12;0;0;6;0
2020-02-06 11:45:00;73;77;25;35;43;93;115;52;20;9;0;0;31;0
2020-02-06 12:00:00;79;76;26;42;35;78;111;50;20;5;0;0;6;0
2020-02-06 12:15:00;89;85;20;40;43;104;121;51;15;7;0;2;6;0
2020-02-06 12:30:00;88;86;22;30;37;107;133;54;11;10;1;0;0;0
2020-02-06 12:45:00;74;96;26;30;31;106;126;60;16;10;0;0;0;0
2020-02-06 13:00:00;93;97;18;40;64;95;108;46;10;9;1;4;15;0
2020-02-06 13:15:00;82;89;23;36;48;113;114;46;18;12;1;0;2;0
2020-02-06 13:30:00;103;117;20;40;38;86;101;42;19;12;0;3;2;2
2020-02-06 13:45:00;74;90;24;47;43;91;124;48;19;19;0;1;0;0
2020-02-06 14:00:00;88;86;33;46;41;114;117;40;16;11;0;0;4;0
2020-02-06 14:15:00;81;94;25;47;35;118;152;54;11;9;1;1;4;0
2020-02-06 14:30:00;89;101;29;35;37;102;134;48;17;7;1;1;1;11
2020-02-06 14:45:00;90;93;25;48;47;134;137;64;22;7;0;0;0;0
