DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-01-19 00:00:00;5;8;8;3;2;2;0;5;0;0
2020-01-19 00:15:00;5;6;8;1;0;1;1;2;0;0
2020-01-19 00:30:00;2;6;3;0;2;0;0;0;0;0
2020-01-19 00:45:00;6;6;10;0;0;0;1;3;0;0
2020-01-19 01:00:00;5;5;5;1;0;0;0;0;0;0
2020-01-19 01:15:00;3;5;5;1;0;0;0;1;0;0
2020-01-19 01:30:00;2;3;5;1;0;0;0;2;0;0
2020-01-19 01:45:00;1;7;7;1;0;0;0;1;0;0
2020-01-19 02:00:00;3;2;2;2;0;0;0;1;0;0
2020-01-19 02:15:00;1;4;5;1;0;0;1;1;0;0
2020-01-19 02:30:00;5;5;3;0;0;0;0;3;0;0
2020-01-19 02:45:00;2;3;4;0;0;1;0;1;0;0
2020-01-19 03:00:00;3;6;2;2;2;0;0;1;0;0
2020-01-19 03:15:00;4;2;3;1;0;0;0;1;0;0
2020-01-19 03:30:00;0;1;0;0;0;0;0;0;0;0
2020-01-19 03:45:00;3;2;3;1;0;0;0;0;0;0
2020-01-19 04:00:00;1;1;1;0;0;0;0;0;0;0
2020-01-19 04:15:00;2;2;1;1;0;0;0;0;0;0
2020-01-19 04:30:00;1;1;0;0;0;0;1;0;0;0
2020-01-19 04:45:00;1;2;2;0;0;0;0;2;0;0
2020-01-19 05:00:00;3;5;4;0;0;0;0;1;0;0
2020-01-19 05:15:00;1;1;1;0;0;0;1;0;0;0
2020-01-19 05:30:00;4;4;2;1;0;0;0;0;0;0
2020-01-19 05:45:00;3;2;4;1;1;1;1;1;0;0
2020-01-19 06:00:00;3;4;2;2;0;0;4;1;0;0
2020-01-19 06:15:00;3;4;4;2;0;0;0;1;0;0
2020-01-19 06:30:00;4;4;4;0;0;0;0;0;0;0
2020-01-19 06:45:00;1;2;2;0;0;0;0;1;0;0
2020-01-19 07:00:00;4;5;2;1;0;0;0;1;0;0
2020-01-19 07:15:00;2;3;3;2;0;0;1;1;0;0
2020-01-19 07:30:00;3;3;4;0;0;0;2;0;0;0
2020-01-19 07:45:00;7;7;5;5;0;0;2;3;0;0
2020-01-19 08:00:00;3;4;2;1;0;0;0;0;0;0
2020-01-19 08:15:00;8;11;4;3;1;0;1;4;0;0
2020-01-19 08:30:00;5;7;4;0;0;0;0;3;0;0
2020-01-19 08:45:00;16;18;6;6;1;1;0;1;0;0
2020-01-19 09:00:00;13;9;7;3;0;0;0;4;0;0
2020-01-19 09:15:00;18;18;12;3;0;0;3;2;0;0
2020-01-19 09:30:00;16;18;12;3;0;0;1;5;0;0
2020-01-19 09:45:00;19;26;26;1;0;1;4;3;0;0
2020-01-19 10:00:00;12;15;11;0;1;0;1;4;0;0
2020-01-19 10:15:00;23;24;20;0;0;0;1;3;0;0
2020-01-19 10:30:00;17;24;13;4;2;0;3;1;0;0
2020-01-19 10:45:00;28;32;21;2;0;1;1;6;0;0
2020-01-19 11:00:00;13;18;20;2;0;0;0;2;0;0
2020-01-19 11:15:00;21;26;22;1;2;0;1;3;0;0
2020-01-19 11:30:00;30;24;22;0;0;0;1;7;0;0
2020-01-19 11:45:00;22;18;40;1;3;0;3;6;0;0
2020-01-19 12:00:00;20;27;26;2;0;0;2;10;0;0
2020-01-19 12:15:00;31;31;31;5;3;2;5;6;1;0
2020-01-19 12:30:00;25;29;31;7;0;0;2;2;0;0
2020-01-19 12:45:00;34;32;34;6;3;1;4;5;0;0
2020-01-19 13:00:00;39;35;17;5;1;1;3;3;0;0
2020-01-19 13:15:00;31;31;24;9;2;0;4;1;0;0
2020-01-19 13:30:00;30;26;29;2;2;0;6;6;0;0
2020-01-19 13:45:00;27;21;25;1;0;0;4;9;0;0
2020-01-19 14:00:00;28;29;20;8;3;1;6;5;0;0
2020-01-19 14:15:00;40;35;22;1;4;2;5;5;0;0
2020-01-19 14:30:00;30;27;32;2;3;0;4;4;0;0
2020-01-19 14:45:00;35;35;23;2;3;1;3;8;3;0
2020-01-19 15:00:00;27;28;19;3;5;1;3;3;0;0
2020-01-19 15:15:00;32;31;25;3;2;2;4;8;2;7
2020-01-19 15:30:00;27;29;25;4;4;1;3;4;0;0
2020-01-19 15:45:00;30;26;39;8;4;2;3;10;0;0
2020-01-19 16:00:00;29;31;23;7;4;0;1;8;0;0
2020-01-19 16:15:00;23;22;31;5;2;0;1;7;0;0
2020-01-19 16:30:00;34;34;28;3;1;0;2;8;0;0
2020-01-19 16:45:00;23;28;34;5;0;0;2;9;0;0
2020-01-19 17:00:00;25;24;39;5;1;1;0;7;0;0
2020-01-19 17:15:00;23;24;33;3;0;0;0;6;0;0
2020-01-19 17:30:00;24;25;29;2;0;1;3;7;0;0
2020-01-19 17:45:00;24;27;37;2;1;0;4;7;0;0
2020-01-19 18:00:00;26;28;19;5;0;0;1;10;0;0
2020-01-19 18:15:00;18;25;26;2;0;0;6;9;0;0
2020-01-19 18:30:00;16;16;31;3;1;0;3;5;0;0
2020-01-19 18:45:00;16;20;14;2;0;0;1;7;0;0
2020-01-19 19:00:00;18;19;18;2;1;0;2;4;0;0
2020-01-19 19:15:00;26;33;20;2;2;1;4;3;0;0
2020-01-19 19:30:00;14;22;16;5;0;0;1;2;0;0
2020-01-19 19:45:00;13;12;18;6;0;1;1;3;0;0
2020-01-19 20:00:00;10;13;15;6;0;0;1;5;0;0
2020-01-19 20:15:00;14;23;18;6;0;0;2;5;0;0
2020-01-19 20:30:00;14;13;13;2;0;0;1;6;0;0
2020-01-19 20:45:00;14;16;20;2;1;3;3;1;0;0
2020-01-19 21:00:00;13;15;19;1;0;0;0;3;0;0
2020-01-19 21:15:00;13;19;25;4;0;0;0;3;0;0
2020-01-19 21:30:00;11;14;11;2;0;0;1;0;0;0
2020-01-19 21:45:00;12;20;19;5;0;0;1;3;0;0
2020-01-19 22:00:00;7;6;9;0;1;0;2;2;0;0
2020-01-19 22:15:00;6;12;11;0;0;0;0;3;0;0
2020-01-19 22:30:00;3;3;8;0;0;0;1;1;0;0
2020-01-19 22:45:00;9;10;12;2;0;0;1;3;0;0
2020-01-19 23:00:00;5;5;4;1;0;0;2;2;0;0
2020-01-19 23:15:00;4;3;3;1;1;1;0;2;0;0
2020-01-19 23:30:00;1;0;1;0;1;0;1;0;0;0
2020-01-19 23:45:00;3;4;3;2;0;0;0;0;0;0
