DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-04-23 00:00:00;4;5;0;2;1;3;3;5
2020-04-23 00:15:00;4;3;0;2;1;5;6;5
2020-04-23 00:30:00;3;2;2;5;5;7;4;1
2020-04-23 00:45:00;3;5;2;5;5;8;8;3
2020-04-23 01:00:00;3;4;3;0;0;0;1;2
2020-04-23 01:15:00;0;2;2;1;2;3;3;1
2020-04-23 01:30:00;1;2;3;3;1;4;4;0
2020-04-23 01:45:00;4;6;4;3;1;4;2;3
2020-04-23 02:00:00;4;9;7;1;1;2;2;1
2020-04-23 02:15:00;3;4;3;0;1;1;2;4
2020-04-23 02:30:00;3;2;0;2;2;4;4;1
2020-04-23 02:45:00;3;1;1;3;2;3;8;3
2020-04-23 03:00:00;5;2;3;2;1;2;2;1
2020-04-23 03:15:00;1;2;0;3;1;4;4;2
2020-04-23 03:30:00;3;2;0;9;7;11;2;4
2020-04-23 03:45:00;4;2;0;4;3;5;11;5
2020-04-23 04:00:00;9;3;3;4;3;7;5;2
2020-04-23 04:15:00;9;4;2;4;4;6;6;1
2020-04-23 04:30:00;12;7;4;3;3;6;2;4
2020-04-23 04:45:00;15;10;11;8;6;11;11;3
2020-04-23 05:00:00;17;9;7;5;3;7;18;7
2020-04-23 05:15:00;21;13;11;17;13;32;19;13
2020-04-23 05:30:00;43;38;36;12;12;27;32;11
2020-04-23 05:45:00;50;48;40;29;25;59;39;18
2020-04-23 06:00:00;32;17;35;37;35;64;35;32
2020-04-23 06:15:00;33;39;34;48;50;106;56;39
2020-04-23 06:30:00;64;57;28;69;64;137;65;42
2020-04-23 06:45:00;51;60;36;93;86;160;58;64
2020-04-23 07:00:00;49;44;30;77;67;128;67;64
2020-04-23 07:15:00;55;60;35;133;75;132;69;69
2020-04-23 07:30:00;37;42;34;102;69;156;67;79
2020-04-23 07:45:00;60;53;29;97;82;158;75;60
2020-04-23 08:00:00;59;61;30;69;53;102;61;64
2020-04-23 08:15:00;56;36;23;57;44;100;61;54
2020-04-23 08:30:00;57;50;19;53;46;105;55;57
2020-04-23 08:45:00;73;49;26;60;59;132;50;41
2020-04-23 09:00:00;54;54;28;37;51;90;53;56
2020-04-23 09:15:00;54;48;21;30;47;93;53;56
2020-04-23 09:30:00;76;57;15;33;48;88;59;59
2020-04-23 09:45:00;73;55;20;29;42;84;62;64
2020-04-23 10:00:00;73;66;21;36;41;85;54;70
2020-04-23 10:15:00;70;52;21;33;49;93;56;51
2020-04-23 10:30:00;73;52;14;34;44;93;59;65
2020-04-23 10:45:00;68;49;17;43;49;98;64;68
2020-04-23 11:00:00;68;65;19;33;48;95;61;70
2020-04-23 11:15:00;56;63;22;39;44;88;49;61
2020-04-23 11:30:00;79;64;23;36;41;95;55;80
2020-04-23 11:45:00;66;64;21;92;60;85;55;51
2020-04-23 12:00:00;58;65;22;46;77;77;60;84
2020-04-23 12:15:00;58;76;21;75;40;78;60;74
2020-04-23 12:30:00;66;79;26;66;45;90;55;62
2020-04-23 12:45:00;69;80;27;110;46;84;47;52
2020-04-23 13:00:00;63;62;25;122;57;93;58;59
2020-04-23 13:15:00;67;71;26;66;47;95;62;69
2020-04-23 13:30:00;66;85;27;67;53;97;71;60
2020-04-23 13:45:00;63;55;27;86;57;114;73;78
2020-04-23 14:00:00;70;61;29;59;52;92;67;46
2020-04-23 14:15:00;83;88;46;65;46;92;75;79
2020-04-23 14:30:00;88;77;37;61;44;90;72;84
2020-04-23 14:45:00;63;81;24;48;38;84;70;71
2020-04-23 15:00:00;62;66;36;71;40;85;40;55
2020-04-23 15:15:00;74;71;35;48;43;108;69;76
2020-04-23 15:30:00;65;77;27;45;53;113;64;82
2020-04-23 15:45:00;82;76;38;33;41;94;78;67
2020-04-23 16:00:00;85;83;53;42;43;103;59;74
2020-04-23 16:15:00;84;83;53;43;43;120;65;66
2020-04-23 16:30:00;91;90;55;39;45;111;61;85
2020-04-23 16:45:00;74;92;38;42;53;110;54;81
2020-04-23 17:00:00;83;94;36;36;35;91;83;83
2020-04-23 17:15:00;65;75;48;34;46;99;73;72
2020-04-23 17:30:00;33;45;25;20;24;44;35;37
2020-04-23 17:45:00;31;45;22;11;15;37;43;45
2020-04-23 18:00:00;45;61;26;31;28;68;54;70
2020-04-23 18:15:00;49;52;31;21;25;51;39;51
2020-04-23 18:30:00;61;49;22;22;15;49;55;53
2020-04-23 18:45:00;35;37;18;14;20;46;42;38
2020-04-23 19:00:00;44;39;10;15;18;38;36;38
2020-04-23 19:15:00;25;34;14;12;12;33;47;44
2020-04-23 19:30:00;29;22;17;20;11;34;34;34
2020-04-23 19:45:00;13;22;15;16;10;33;31;34
2020-04-23 20:00:00;21;25;14;12;12;35;40;34
2020-04-23 20:15:00;31;23;8;18;12;29;38;33
2020-04-23 20:30:00;23;24;9;16;8;31;32;26
2020-04-23 20:45:00;14;21;8;9;9;26;20;17
2020-04-23 21:00:00;18;26;11;7;3;13;27;20
2020-04-23 21:15:00;17;17;6;12;7;24;17;6
2020-04-23 21:30:00;18;18;7;9;7;18;15;11
2020-04-23 21:45:00;12;10;5;13;10;26;22;8
2020-04-23 22:00:00;13;10;4;9;5;17;33;15
2020-04-23 22:15:00;8;3;4;8;6;14;21;10
2020-04-23 22:30:00;5;4;7;2;1;11;17;7
2020-04-23 22:45:00;4;9;4;4;4;10;13;9
2020-04-23 23:00:00;4;6;5;3;2;4;12;7
2020-04-23 23:15:00;8;8;3;3;2;9;12;7
2020-04-23 23:30:00;7;5;1;3;4;5;4;4
2020-04-23 23:45:00;4;5;4;2;1;5;7;5
