DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2019-08-19 00:00:00;7;11;0;0;10;5;0;0;0;0;7;10;6;15;6;0;0
2019-08-19 00:15:00;12;10;0;0;13;7;2;2;1;2;9;13;6;18;6;0;0
2019-08-19 00:30:00;11;8;0;0;14;5;1;1;0;0;11;8;5;20;6;0;0
2019-08-19 00:45:00;9;4;0;0;12;5;0;0;0;0;7;5;3;17;5;0;0
2019-08-19 01:00:00;11;3;0;0;5;5;0;0;0;0;10;3;4;9;5;0;0
2019-08-19 01:15:00;7;5;0;0;7;3;1;1;0;0;7;5;3;10;3;0;0
2019-08-19 01:30:00;10;2;0;0;6;4;1;1;0;0;11;1;5;10;5;0;0
2019-08-19 01:45:00;7;1;0;0;2;2;0;0;0;0;7;1;3;4;3;0;0
2019-08-19 02:00:00;5;2;0;0;2;1;1;1;0;0;5;2;0;3;0;0;0
2019-08-19 02:15:00;8;4;0;0;6;6;0;0;0;0;8;5;6;12;6;0;0
2019-08-19 02:30:00;14;0;0;0;8;3;1;1;1;0;14;0;4;10;4;0;0
2019-08-19 02:45:00;14;1;0;0;4;1;2;2;1;0;12;1;2;5;1;0;0
2019-08-19 03:00:00;3;3;0;0;13;1;1;1;0;0;3;3;1;14;2;0;0
2019-08-19 03:15:00;5;1;0;1;6;3;0;0;0;0;6;1;3;8;3;0;0
2019-08-19 03:30:00;3;5;0;0;10;4;0;0;0;0;4;5;4;13;4;0;0
2019-08-19 03:45:00;7;2;1;0;7;1;0;0;0;0;6;2;2;7;2;0;0
2019-08-19 04:00:00;9;6;1;0;8;3;0;0;0;0;10;6;3;11;3;0;0
2019-08-19 04:15:00;21;3;0;2;12;3;1;1;0;0;16;3;4;13;4;0;0
2019-08-19 04:30:00;15;7;1;0;14;2;1;1;0;1;15;7;2;13;2;0;0
2019-08-19 04:45:00;33;10;0;0;9;3;6;5;0;2;29;11;5;12;5;0;0
2019-08-19 05:00:00;20;9;0;0;27;13;0;0;0;0;16;9;13;40;14;0;0
2019-08-19 05:15:00;31;23;0;1;31;7;6;6;0;3;28;25;5;34;5;0;0
2019-08-19 05:30:00;39;36;3;0;50;20;4;4;0;2;36;34;21;70;23;0;0
2019-08-19 05:45:00;62;47;3;0;60;23;7;7;0;5;60;47;20;76;20;0;0
2019-08-19 06:00:00;50;41;4;1;70;22;3;3;0;5;44;42;21;84;21;0;0
2019-08-19 06:15:00;74;45;2;0;73;29;3;2;0;3;61;51;30;98;30;0;0
2019-08-19 06:30:00;99;103;3;0;69;48;1;1;1;1;83;102;51;102;50;0;4
2019-08-19 06:45:00;154;164;2;0;87;46;3;4;0;3;133;166;47;118;47;0;2
2019-08-19 07:00:00;81;104;2;1;82;47;9;10;0;2;78;103;49;111;47;0;0
2019-08-19 07:15:00;105;136;0;3;81;68;6;6;0;6;93;131;67;123;66;0;1
2019-08-19 07:30:00;117;180;0;2;84;50;8;8;0;1;108;185;51;119;51;2;0
2019-08-19 07:45:00;125;199;0;3;106;74;9;9;0;4;105;203;69;155;69;0;9
2019-08-19 08:00:00;117;188;1;3;96;52;9;9;0;2;109;191;53;139;52;1;0
2019-08-19 08:15:00;114;179;3;1;79;55;9;9;0;4;104;182;57;126;57;1;0
2019-08-19 08:30:00;102;173;2;2;103;51;16;16;0;4;101;178;52;142;51;3;0
2019-08-19 08:45:00;112;153;3;1;92;53;9;9;0;1;92;156;52;132;52;0;1
2019-08-19 09:00:00;93;142;2;0;110;72;9;11;0;2;81;143;68;161;70;0;3
2019-08-19 09:15:00;112;113;2;0;87;71;12;12;0;4;102;118;71;141;69;0;0
2019-08-19 09:30:00;95;107;0;0;99;68;11;13;0;0;83;105;69;152;65;0;1
2019-08-19 09:45:00;118;130;3;0;121;90;12;13;0;4;107;137;93;191;89;0;0
2019-08-19 10:00:00;92;103;3;0;99;59;12;11;0;5;87;105;59;146;56;0;0
2019-08-19 10:15:00;97;121;4;1;127;80;19;19;0;2;89;117;80;192;78;0;0
2019-08-19 10:30:00;113;132;4;1;112;70;9;9;0;2;110;137;73;168;73;0;0
2019-08-19 10:45:00;115;144;2;0;116;81;23;23;0;1;106;140;77;176;80;0;0
2019-08-19 11:00:00;101;110;3;1;127;76;14;15;0;1;91;117;73;184;72;0;1
2019-08-19 11:15:00;133;127;1;0;157;81;30;29;15;2;116;136;95;221;91;27;0
2019-08-19 11:30:00;104;126;3;2;141;90;17;18;12;6;89;131;88;197;87;1;0
2019-08-19 11:45:00;102;139;5;0;132;103;12;12;8;4;94;148;99;214;100;1;0
2019-08-19 12:00:00;113;133;4;1;115;73;22;23;20;4;105;146;76;162;75;0;19
2019-08-19 12:15:00;106;138;1;1;147;92;12;11;14;4;104;145;93;205;95;1;0
2019-08-19 12:30:00;123;119;1;1;130;92;17;18;10;0;107;122;91;198;89;4;2
2019-08-19 12:45:00;112;146;4;1;142;92;12;13;9;6;102;146;99;210;93;0;0
2019-08-19 13:00:00;117;126;3;0;139;83;22;21;21;3;104;137;87;195;86;0;17
2019-08-19 13:15:00;119;123;1;0;142;92;24;25;15;4;111;126;102;211;104;2;2
2019-08-19 13:30:00;119;140;4;1;145;92;22;21;11;0;102;142;96;212;93;0;0
2019-08-19 13:45:00;112;138;4;1;128;110;19;20;14;1;102;139;114;206;117;0;0
2019-08-19 14:00:00;129;131;2;2;138;87;14;15;7;6;118;133;95;195;94;0;0
2019-08-19 14:15:00;117;120;3;1;145;123;27;27;14;1;110;126;120;230;120;0;0
2019-08-19 14:30:00;140;154;0;0;155;96;21;21;14;1;135;157;97;226;104;1;0
2019-08-19 14:45:00;118;130;2;1;164;95;22;22;16;2;111;132;91;232;93;0;0
2019-08-19 15:00:00;132;141;2;0;148;119;17;19;8;2;118;145;128;242;130;0;0
2019-08-19 15:15:00;134;141;2;0;160;129;27;27;16;2;129;144;141;260;145;5;4
2019-08-19 15:30:00;118;156;2;1;159;107;30;31;20;0;109;161;116;241;110;0;2
2019-08-19 15:45:00;134;150;2;2;184;117;26;25;15;1;119;161;118;262;122;1;0
2019-08-19 16:00:00;134;141;4;3;174;125;27;28;12;3;122;144;143;253;144;1;1
2019-08-19 16:15:00;144;169;1;0;207;123;27;26;20;2;131;176;130;293;131;0;9
2019-08-19 16:30:00;137;142;1;2;225;142;49;49;42;0;129;155;153;296;152;0;5
2019-08-19 16:45:00;133;139;5;0;207;133;39;39;22;2;118;143;146;291;142;1;5
2019-08-19 17:00:00;124;117;1;0;204;138;22;23;21;1;121;122;141;282;142;17;8
2019-08-19 17:15:00;128;144;3;0;203;148;32;33;16;2;121;153;157;319;157;2;1
2019-08-19 17:30:00;103;131;2;2;188;124;26;28;18;0;91;136;132;269;136;1;3
2019-08-19 17:45:00;121;104;0;2;175;111;26;26;14;3;112;106;121;254;121;5;0
2019-08-19 18:00:00;100;104;0;2;197;113;24;25;21;3;99;112;120;269;119;0;1
2019-08-19 18:15:00;105;97;0;0;156;115;14;14;8;1;93;101;112;244;113;7;0
2019-08-19 18:30:00;62;84;1;0;158;81;18;17;11;1;60;86;88;216;89;0;0
2019-08-19 18:45:00;58;77;0;0;129;57;12;12;5;0;58;76;58;173;58;0;1
2019-08-19 19:00:00;63;62;0;1;103;66;17;16;9;0;62;65;68;155;67;1;0
2019-08-19 19:15:00;66;75;0;0;104;46;7;7;4;0;62;78;51;145;50;0;0
2019-08-19 19:30:00;52;40;0;0;107;34;8;8;2;0;47;48;35;133;35;1;0
2019-08-19 19:45:00;56;31;0;1;92;37;5;5;3;0;55;32;35;122;36;1;0
2019-08-19 20:00:00;42;19;0;0;75;38;6;6;2;0;42;18;40;106;38;0;0
2019-08-19 20:15:00;36;25;0;0;55;32;5;5;0;0;35;25;33;85;33;0;0
2019-08-19 20:30:00;49;21;0;0;47;22;3;3;2;0;47;21;25;68;24;0;0
2019-08-19 20:45:00;42;32;0;0;61;16;4;4;1;2;38;33;16;74;15;0;0
2019-08-19 21:00:00;34;18;0;0;39;21;4;4;3;1;34;20;20;56;19;0;0
2019-08-19 21:15:00;22;20;0;0;36;15;6;5;2;3;17;21;13;50;14;0;0
2019-08-19 21:30:00;26;18;0;0;28;6;2;2;2;1;24;20;8;34;8;0;0
2019-08-19 21:45:00;25;29;0;0;29;12;0;0;0;1;25;30;12;41;14;0;0
2019-08-19 22:00:00;23;15;0;0;29;10;8;8;4;0;25;15;9;40;9;0;0
2019-08-19 22:15:00;22;23;0;0;25;18;1;1;1;1;22;22;16;40;15;0;0
2019-08-19 22:30:00;20;13;0;1;31;9;0;0;0;1;18;14;8;38;8;0;0
2019-08-19 22:45:00;14;19;0;0;28;7;1;1;0;1;14;21;8;34;8;0;0
2019-08-19 23:00:00;11;11;0;0;18;12;5;5;2;1;11;9;11;29;11;0;0
