DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-05-26 00:00:00;3;3;6;13;5;0;0;0;0;0;0;0;0
2020-05-26 00:15:00;2;6;5;8;5;0;0;1;0;0;0;0;0
2020-05-26 00:30:00;1;5;5;12;10;0;0;0;0;0;0;0;0
2020-05-26 00:45:00;3;2;3;10;5;1;0;0;0;0;0;0;0
2020-05-26 01:00:00;0;2;2;4;3;0;0;0;0;0;0;0;0
2020-05-26 01:15:00;2;9;1;7;5;0;0;0;0;0;0;0;0
2020-05-26 01:30:00;3;3;4;3;1;0;0;0;0;0;0;0;0
2020-05-26 01:45:00;4;4;2;4;3;0;0;0;0;0;0;0;0
2020-05-26 02:00:00;1;4;2;7;4;0;0;0;0;0;0;0;0
2020-05-26 02:15:00;3;2;1;7;3;0;0;0;0;0;0;0;0
2020-05-26 02:30:00;2;5;3;7;2;1;0;0;0;0;0;0;0
2020-05-26 02:45:00;3;11;3;7;4;0;0;0;0;0;0;0;0
2020-05-26 03:00:00;2;3;0;4;2;1;0;0;0;0;0;0;0
2020-05-26 03:15:00;0;2;5;3;1;1;0;0;0;0;0;0;0
2020-05-26 03:30:00;1;4;1;3;4;0;0;0;0;0;0;0;0
2020-05-26 03:45:00;4;3;2;5;1;0;0;0;0;0;0;0;0
2020-05-26 04:00:00;1;4;2;2;1;0;0;0;0;0;0;0;0
2020-05-26 04:15:00;3;5;4;9;3;1;0;0;0;0;0;0;0
2020-05-26 04:30:00;3;3;4;18;3;0;0;0;0;0;0;0;0
2020-05-26 04:45:00;1;11;5;23;8;0;0;0;0;0;0;0;0
2020-05-26 05:00:00;5;7;5;45;32;1;0;1;0;0;0;0;0
2020-05-26 05:15:00;3;16;4;80;76;1;0;0;0;0;0;0;0
2020-05-26 05:30:00;13;25;13;68;67;0;0;0;1;0;0;0;0
2020-05-26 05:45:00;30;61;9;60;65;5;0;1;0;0;0;0;0
2020-05-26 06:00:00;22;60;19;56;55;2;0;0;0;0;0;0;0
2020-05-26 06:15:00;23;57;23;75;79;7;0;0;0;0;0;0;0
2020-05-26 06:30:00;18;36;23;103;105;6;0;0;0;0;0;0;0
2020-05-26 06:45:00;31;48;31;79;96;7;0;0;1;0;0;0;0
2020-05-26 07:00:00;25;59;26;91;77;8;0;3;3;0;0;0;0
2020-05-26 07:15:00;33;67;29;108;102;6;0;1;1;0;0;21;0
2020-05-26 07:30:00;30;49;45;126;131;21;0;3;8;0;0;0;0
2020-05-26 07:45:00;38;76;37;91;98;19;0;1;0;25;0;0;0
2020-05-26 08:00:00;42;64;35;94;101;16;0;0;0;0;0;0;0
