DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-12-19 00:00:00;2;0;1;1;2;0;0;0;0;0;0;0;0;0
2020-12-19 00:15:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-19 00:30:00;3;2;2;2;1;1;0;1;0;0;0;0;0;0
2020-12-19 00:45:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-19 01:00:00;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-12-19 01:15:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-19 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 01:45:00;1;1;1;1;1;0;0;0;0;0;0;0;0;0
2020-12-19 02:00:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-12-19 02:15:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-19 02:30:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-19 02:45:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:15:00;2;0;0;0;3;1;1;1;0;0;0;0;0;0
2020-12-19 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:45:00;1;0;0;0;0;1;1;1;0;0;0;0;0;0
2020-12-19 04:00:00;2;1;1;1;1;1;0;0;0;0;0;0;0;0
2020-12-19 04:15:00;2;0;0;0;1;1;1;1;0;0;0;0;0;0
2020-12-19 04:30:00;1;0;0;0;2;1;1;1;0;0;0;0;0;0
2020-12-19 04:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 05:00:00;5;0;0;0;6;3;1;1;0;0;0;0;0;0
2020-12-19 05:15:00;4;1;1;1;4;2;2;2;0;0;0;0;0;0
2020-12-19 05:30:00;12;2;2;2;12;4;3;5;0;0;0;0;0;0
2020-12-19 05:45:00;15;2;2;2;5;5;5;5;0;0;0;0;0;0
2020-12-19 06:00:00;16;1;1;1;9;4;1;1;0;0;0;0;0;0
2020-12-19 06:15:00;14;1;1;1;3;7;5;6;0;0;0;0;0;0
2020-12-19 06:30:00;7;0;0;0;6;4;2;2;0;0;0;0;0;0
2020-12-19 06:45:00;11;2;2;1;5;5;4;1;0;0;0;0;0;0
2020-12-19 07:00:00;8;2;3;2;6;7;6;7;0;0;0;0;0;0
2020-12-19 07:15:00;17;3;4;2;16;6;7;4;0;0;0;0;0;0
2020-12-19 07:30:00;15;6;6;6;21;13;13;10;3;0;0;0;0;0
2020-12-19 07:45:00;17;5;4;4;14;11;10;11;1;1;0;0;0;0
2020-12-19 08:00:00;17;4;5;5;21;8;8;8;0;0;0;0;0;0
2020-12-19 08:15:00;19;5;6;4;28;20;17;15;0;1;0;0;0;0
2020-12-19 08:30:00;23;3;3;4;28;12;11;13;0;0;0;0;0;0
2020-12-19 08:45:00;25;1;1;1;32;17;15;18;2;3;0;0;0;0
2020-12-19 09:00:00;28;8;10;6;34;16;13;16;0;0;0;0;0;0
2020-12-19 09:15:00;41;6;8;6;38;31;21;19;0;2;0;0;0;0
2020-12-19 09:30:00;35;4;5;3;27;24;19;22;0;1;0;0;0;0
2020-12-19 09:45:00;30;8;8;8;38;23;19;20;0;1;0;0;0;0
2020-12-19 10:00:00;40;6;4;7;25;19;15;18;3;2;0;0;0;0
2020-12-19 10:15:00;44;13;10;13;48;29;23;21;1;3;0;0;0;0
