DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2019-12-06 00:00:00;6;3;2;2;1;12;16;6;2;3;2;1;2
2019-12-06 00:15:00;10;3;1;3;4;13;9;0;0;10;9;4;1
2019-12-06 00:30:00;8;3;3;3;2;18;11;2;1;6;5;3;3
2019-12-06 00:45:00;8;3;4;2;3;7;8;3;3;8;6;2;4
2019-12-06 01:00:00;4;4;2;2;6;7;9;4;2;2;2;1;2
2019-12-06 01:15:00;11;3;0;0;1;7;10;5;1;3;5;0;0
2019-12-06 01:30:00;7;0;0;3;1;7;7;2;1;5;3;0;0
2019-12-06 01:45:00;7;1;0;0;2;10;9;4;1;3;6;0;0
2019-12-06 02:00:00;5;1;1;0;1;9;11;4;3;2;2;1;1
2019-12-06 02:15:00;4;0;1;1;2;9;9;3;1;2;3;1;1
2019-12-06 02:30:00;5;0;2;2;0;9;6;1;0;1;1;0;1
2019-12-06 02:45:00;4;1;1;0;3;9;10;0;0;4;3;1;1
2019-12-06 03:00:00;8;2;1;2;1;9;13;3;1;1;0;0;2
2019-12-06 03:15:00;4;2;2;3;0;6;6;1;1;3;1;0;2
2019-12-06 03:30:00;9;0;0;4;5;7;11;4;2;2;2;1;0
2019-12-06 03:45:00;10;2;0;2;1;9;6;3;0;2;4;1;0
2019-12-06 04:00:00;5;0;2;2;3;10;6;3;1;0;2;1;2
2019-12-06 04:15:00;6;1;1;1;6;14;15;4;2;3;6;0;1
2019-12-06 04:30:00;9;5;0;6;8;20;16;4;0;0;0;0;0
2019-12-06 04:45:00;19;10;1;5;6;30;16;5;3;3;1;0;1
2019-12-06 05:00:00;21;10;4;8;14;21;9;7;1;1;0;0;4
2019-12-06 05:15:00;26;21;4;17;14;27;31;11;1;3;6;1;3
2019-12-06 05:30:00;36;17;11;22;29;51;56;10;4;5;5;1;10
