DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2019-08-31 00:00:00;18;13;0;0;0;8;15;0;0
2019-08-31 00:15:00;31;17;0;0;0;16;44;0;1
2019-08-31 00:30:00;20;12;0;0;0;9;20;1;1
2019-08-31 00:45:00;33;16;0;0;0;13;31;4;6
2019-08-31 01:00:00;11;12;0;0;0;11;22;1;1
2019-08-31 01:15:00;23;11;0;0;0;11;19;0;2
2019-08-31 01:30:00;15;7;0;0;0;14;19;0;1
2019-08-31 01:45:00;8;7;0;0;0;6;17;2;5
2019-08-31 02:00:00;11;7;0;0;0;6;18;0;0
2019-08-31 02:15:00;8;6;0;0;0;5;9;0;0
2019-08-31 02:30:00;12;3;0;0;0;5;20;1;4
2019-08-31 02:45:00;11;9;0;0;0;9;12;0;0
2019-08-31 03:00:00;22;9;0;0;0;3;17;0;0
2019-08-31 03:15:00;10;0;0;0;0;5;8;0;0
2019-08-31 03:30:00;9;6;0;0;0;6;12;0;0
2019-08-31 03:45:00;13;9;0;0;0;4;9;1;1
2019-08-31 04:00:00;7;4;0;0;0;7;9;0;0
2019-08-31 04:15:00;9;6;0;0;0;3;13;0;1
2019-08-31 04:30:00;4;2;0;0;0;4;15;0;0
2019-08-31 04:45:00;12;8;0;0;0;3;15;2;3
2019-08-31 05:00:00;11;6;0;0;0;7;19;1;3
2019-08-31 05:15:00;19;4;0;0;0;15;36;0;1
2019-08-31 05:30:00;21;7;0;0;0;11;35;0;1
2019-08-31 05:45:00;19;6;0;0;0;11;31;3;2
2019-08-31 06:00:00;18;15;0;0;0;11;35;1;3
2019-08-31 06:15:00;18;6;0;0;0;9;37;4;5
2019-08-31 06:30:00;23;13;0;0;0;13;39;1;4
2019-08-31 06:45:00;15;8;0;0;0;5;27;2;4
2019-08-31 07:00:00;21;11;0;0;0;16;44;0;5
2019-08-31 07:15:00;29;22;0;0;0;10;37;3;3
2019-08-31 07:30:00;36;20;0;0;0;17;63;8;12
2019-08-31 07:45:00;37;29;0;0;0;13;77;3;7
2019-08-31 08:00:00;37;26;0;0;0;19;73;3;9
2019-08-31 08:15:00;45;40;0;0;0;17;71;8;10
2019-08-31 08:30:00;56;40;0;0;0;19;91;8;14
2019-08-31 08:45:00;48;46;0;0;0;21;125;6;14
2019-08-31 09:00:00;60;60;0;0;0;14;127;15;18
2019-08-31 09:15:00;64;45;0;0;0;29;143;9;19
2019-08-31 09:30:00;69;62;0;0;0;25;142;13;13
2019-08-31 09:45:00;100;75;0;0;0;47;134;11;23
2019-08-31 10:00:00;78;76;0;0;0;33;150;9;14
2019-08-31 10:15:00;97;79;0;0;0;32;144;10;20
2019-08-31 10:30:00;107;93;0;0;0;35;188;14;18
2019-08-31 10:45:00;73;76;0;0;0;40;177;5;15
2019-08-31 11:00:00;107;87;0;0;0;36;142;14;18
2019-08-31 11:15:00;100;80;0;0;0;37;136;10;12
2019-08-31 11:30:00;101;105;0;0;0;35;178;19;20
2019-08-31 11:45:00;116;104;0;0;0;30;175;107;27
2019-08-31 12:00:00;86;89;0;0;0;45;162;19;19
2019-08-31 12:15:00;102;88;0;0;0;47;170;17;23
2019-08-31 12:30:00;88;85;0;0;0;27;167;18;28
2019-08-31 12:45:00;104;101;0;0;0;48;142;13;20
2019-08-31 13:00:00;104;81;0;0;0;32;158;15;23
2019-08-31 13:15:00;82;85;0;0;0;38;168;13;38
2019-08-31 13:30:00;85;84;0;0;0;31;146;9;14
2019-08-31 13:45:00;108;82;0;0;0;35;162;12;17
2019-08-31 14:00:00;94;90;0;0;0;31;174;8;13
2019-08-31 14:15:00;99;87;0;0;0;30;155;13;18
2019-08-31 14:30:00;88;92;0;0;0;28;153;16;16
2019-08-31 14:45:00;97;76;0;0;0;43;145;11;20
2019-08-31 15:00:00;87;81;0;0;0;40;139;8;18
2019-08-31 15:15:00;83;86;0;0;0;38;155;15;20
2019-08-31 15:30:00;88;70;0;0;0;32;132;10;15
2019-08-31 15:45:00;92;88;0;0;0;37;117;7;16
2019-08-31 16:00:00;83;68;0;0;0;30;129;5;7
2019-08-31 16:15:00;94;71;0;0;0;41;127;13;15
2019-08-31 16:30:00;103;87;0;0;0;37;111;14;18
2019-08-31 16:45:00;86;74;0;0;0;37;120;8;14
2019-08-31 17:00:00;73;72;0;0;0;38;111;15;21
2019-08-31 17:15:00;90;63;0;0;0;39;145;13;47
2019-08-31 17:30:00;82;70;0;0;0;39;136;13;56
2019-08-31 17:45:00;90;80;0;0;0;48;129;5;11
2019-08-31 18:00:00;93;63;0;0;0;29;111;13;19
2019-08-31 18:15:00;71;73;0;0;0;29;106;12;19
2019-08-31 18:30:00;83;73;0;0;0;33;104;9;14
2019-08-31 18:45:00;94;85;0;0;0;25;76;11;11
2019-08-31 19:00:00;89;90;0;0;0;37;106;9;13
2019-08-31 19:15:00;102;87;0;0;0;39;99;10;13
2019-08-31 19:30:00;79;56;0;0;0;37;85;7;13
2019-08-31 19:45:00;75;79;0;0;0;28;94;16;17
2019-08-31 20:00:00;71;66;0;0;0;32;78;4;13
2019-08-31 20:15:00;72;54;0;0;0;43;66;7;15
2019-08-31 20:30:00;52;37;0;0;0;28;68;6;9
2019-08-31 20:45:00;54;46;0;0;0;34;65;5;4
2019-08-31 21:00:00;52;28;0;0;0;37;64;4;11
2019-08-31 21:15:00;49;33;0;0;0;27;72;4;6
2019-08-31 21:30:00;54;48;0;0;0;25;64;5;6
2019-08-31 21:45:00;48;30;0;0;0;25;46;4;9
2019-08-31 22:00:00;45;34;0;0;0;32;68;8;13
2019-08-31 22:15:00;41;30;0;0;0;18;51;1;3
2019-08-31 22:30:00;35;36;0;0;0;20;56;3;8
2019-08-31 22:45:00;32;26;0;0;0;27;41;3;9
2019-08-31 23:00:00;44;29;0;0;0;25;39;4;8
2019-08-31 23:15:00;28;26;0;0;0;26;54;3;8
2019-08-31 23:30:00;26;29;0;0;0;19;44;6;8
2019-08-31 23:45:00;36;24;0;0;0;16;30;4;4
