DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2019-10-15 00:00:00;6;0;1;1;5;11;7;0;0;0;0;0;0;0
2019-10-15 00:15:00;6;2;0;1;4;13;7;0;0;0;0;0;0;0
2019-10-15 00:30:00;8;0;0;0;1;9;8;0;0;0;0;0;0;0
2019-10-15 00:45:00;9;0;3;3;2;11;13;0;0;0;0;0;0;0
2019-10-15 01:00:00;3;1;0;1;4;7;5;0;0;0;0;0;0;0
2019-10-15 01:15:00;4;0;1;0;2;10;6;0;0;0;0;0;0;0
2019-10-15 01:30:00;3;1;1;1;1;11;7;0;0;0;0;0;0;0
2019-10-15 01:45:00;1;1;1;0;7;8;5;0;0;0;0;0;0;0
2019-10-15 02:00:00;2;0;0;0;2;7;2;0;0;0;0;0;0;0
2019-10-15 02:15:00;1;0;0;0;3;7;3;0;0;0;0;0;0;0
2019-10-15 02:30:00;1;1;0;0;3;6;5;0;0;0;0;0;0;0
2019-10-15 02:45:00;0;2;0;1;1;4;7;0;0;0;0;0;0;0
2019-10-15 03:00:00;1;0;0;0;7;8;2;0;0;0;0;0;0;0
2019-10-15 03:15:00;4;0;0;0;3;7;8;0;0;0;0;0;0;0
2019-10-15 03:30:00;8;0;1;1;3;9;7;0;0;0;0;0;0;0
2019-10-15 03:45:00;2;0;2;1;2;7;4;0;0;0;0;0;0;0
2019-10-15 04:00:00;9;1;0;1;5;16;7;0;0;0;0;0;0;0
2019-10-15 04:15:00;8;0;0;0;2;15;7;0;0;0;0;0;0;0
2019-10-15 04:30:00;11;0;3;0;9;18;15;0;0;0;0;0;0;0
2019-10-15 04:45:00;24;0;1;0;12;27;30;0;0;0;0;0;0;0
2019-10-15 05:00:00;51;6;2;4;11;53;74;0;0;0;0;0;0;0
2019-10-15 05:15:00;111;8;8;7;12;45;138;0;0;0;0;0;0;0
2019-10-15 05:30:00;104;7;30;7;25;52;150;1;0;0;0;0;0;0
2019-10-15 05:45:00;100;3;24;8;49;104;127;9;0;0;0;0;0;0
2019-10-15 06:00:00;83;8;26;6;59;117;100;3;0;0;0;0;0;0
2019-10-15 06:15:00;110;19;18;6;73;134;156;4;0;0;0;0;0;0
2019-10-15 06:30:00;163;30;47;12;67;127;174;0;0;0;0;0;0;0
2019-10-15 06:45:00;179;53;31;15;63;110;172;0;0;0;0;0;0;0
2019-10-15 07:00:00;183;39;50;20;68;119;174;6;0;0;0;0;0;0
2019-10-15 07:15:00;187;39;46;20;100;130;181;12;0;0;0;0;0;0
2019-10-15 07:30:00;143;49;59;28;76;112;170;5;0;2;0;0;0;3
