DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2019-10-10 00:00:00;16;10;2;7;6;6;12;9;6;0;0;0
2019-10-10 00:15:00;17;5;2;7;9;11;18;8;16;0;0;0
2019-10-10 00:30:00;14;8;3;6;11;8;15;13;10;0;0;0
2019-10-10 00:45:00;9;5;4;5;9;5;11;10;6;1;0;1
2019-10-10 01:00:00;4;2;1;6;10;8;4;11;9;0;0;0
2019-10-10 01:15:00;8;4;1;2;3;2;7;4;1;0;0;0
2019-10-10 01:30:00;5;2;0;1;4;6;5;4;6;0;0;0
2019-10-10 01:45:00;13;8;1;2;4;6;12;4;6;0;0;0
2019-10-10 02:00:00;8;6;0;1;7;2;9;3;2;0;0;1
2019-10-10 02:15:00;9;2;0;1;5;4;10;2;4;0;0;1
2019-10-10 02:30:00;7;5;0;3;2;5;7;3;1;0;0;0
2019-10-10 02:45:00;10;6;0;0;4;2;10;3;2;0;0;0
2019-10-10 03:00:00;4;5;0;1;5;6;5;5;4;1;0;0
2019-10-10 03:15:00;6;1;0;0;2;4;6;2;4;0;0;0
2019-10-10 03:30:00;9;2;0;0;6;3;9;7;6;0;0;0
2019-10-10 03:45:00;15;6;1;1;5;5;17;9;10;0;0;0
2019-10-10 04:00:00;16;5;1;0;11;9;15;10;14;0;0;0
2019-10-10 04:15:00;30;5;2;2;7;9;27;15;14;1;0;0
2019-10-10 04:30:00;28;6;0;3;12;15;26;16;16;0;0;2
2019-10-10 04:45:00;21;8;2;2;20;20;19;24;26;0;0;2
2019-10-10 05:00:00;47;17;2;2;30;47;45;31;45;2;0;1
2019-10-10 05:15:00;63;20;2;3;40;64;59;60;51;1;0;6
2019-10-10 05:30:00;97;21;6;8;35;75;88;57;68;1;0;6
2019-10-10 05:45:00;159;32;3;7;36;60;140;53;58;2;0;5
2019-10-10 06:00:00;201;44;4;9;38;52;192;47;46;0;0;6
2019-10-10 06:15:00;216;46;8;19;38;80;211;61;56;2;0;8
2019-10-10 06:30:00;191;26;10;15;33;115;188;88;53;7;0;14
2019-10-10 06:45:00;193;36;8;10;41;115;206;68;60;2;0;7
2019-10-10 07:00:00;189;33;9;20;35;153;215;101;109;3;0;12
2019-10-10 07:15:00;201;35;14;19;71;242;229;115;173;3;0;10
2019-10-10 07:30:00;194;47;26;28;89;224;232;132;165;4;1;29
2019-10-10 07:45:00;186;56;40;44;86;220;232;133;164;5;1;21
2019-10-10 08:00:00;203;52;21;32;140;203;236;131;124;4;0;16
2019-10-10 08:15:00;181;52;21;28;70;158;216;107;144;5;1;11
