DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-05-15 00:00:00;3;3;5;0;0;0;0;2;0;0
2020-05-15 00:15:00;7;9;5;1;1;0;1;6;0;0
2020-05-15 00:30:00;9;5;6;1;0;0;2;1;0;0
2020-05-15 00:45:00;3;2;7;0;0;1;1;2;0;0
2020-05-15 01:00:00;3;8;5;4;1;0;0;2;0;0
2020-05-15 01:15:00;8;9;4;1;1;0;1;3;0;0
2020-05-15 01:30:00;1;2;2;0;0;0;0;2;0;0
2020-05-15 01:45:00;5;3;2;2;0;0;1;1;0;0
2020-05-15 02:00:00;3;3;0;1;0;0;0;1;0;0
2020-05-15 02:15:00;2;1;0;0;0;0;0;1;0;0
2020-05-15 02:30:00;4;8;5;2;0;0;0;3;0;0
2020-05-15 02:45:00;0;0;0;0;0;0;0;0;0;0
2020-05-15 03:00:00;2;3;2;1;0;0;0;0;0;0
2020-05-15 03:15:00;2;3;1;0;0;0;0;1;0;0
2020-05-15 03:30:00;2;5;2;2;1;0;0;0;0;0
2020-05-15 03:45:00;4;3;2;2;0;0;0;1;0;0
2020-05-15 04:00:00;2;2;3;2;1;0;0;0;0;0
2020-05-15 04:15:00;5;6;3;2;2;0;1;0;0;0
2020-05-15 04:30:00;8;3;2;1;3;0;0;0;0;0
2020-05-15 04:45:00;11;6;13;0;5;1;10;8;0;0
2020-05-15 05:00:00;26;9;29;7;41;0;77;54;0;0
2020-05-15 05:15:00;75;10;86;7;11;1;31;25;0;0
2020-05-15 05:30:00;130;23;120;8;0;8;13;19;0;0
2020-05-15 05:45:00;72;13;62;3;4;4;5;4;0;0
2020-05-15 06:00:00;40;13;39;4;8;3;6;19;0;0
2020-05-15 06:15:00;37;23;59;6;2;1;6;15;0;0
2020-05-15 06:30:00;57;26;58;2;0;2;2;6;0;0
2020-05-15 06:45:00;42;30;59;3;1;2;4;3;0;0
2020-05-15 07:00:00;45;28;45;7;2;1;4;2;0;0
2020-05-15 07:15:00;43;30;49;3;3;0;5;4;0;0
2020-05-15 07:30:00;51;32;81;3;4;1;4;7;0;3
2020-05-15 07:45:00;49;24;76;4;2;1;3;6;0;0
2020-05-15 08:00:00;42;38;54;2;4;4;5;11;0;0
2020-05-15 08:15:00;39;35;50;4;4;5;7;8;0;0
2020-05-15 08:30:00;40;47;42;3;6;4;6;7;0;0
2020-05-15 08:45:00;29;26;42;5;1;1;8;12;0;0
2020-05-15 09:00:00;32;35;50;2;3;2;3;6;1;0
2020-05-15 09:15:00;38;49;39;3;4;1;10;8;0;0
2020-05-15 09:30:00;42;35;65;4;9;4;8;8;0;0
2020-05-15 09:45:00;30;38;42;1;5;3;9;10;0;0
2020-05-15 10:00:00;27;53;54;4;11;2;8;10;1;0
2020-05-15 10:15:00;28;51;38;6;5;2;8;7;1;1
2020-05-15 10:30:00;33;57;57;6;7;1;15;6;2;4
2020-05-15 10:45:00;52;59;58;5;5;7;5;9;6;0
2020-05-15 11:00:00;31;48;79;5;5;1;6;7;1;0
2020-05-15 11:15:00;46;53;80;8;3;4;7;11;0;0
2020-05-15 11:30:00;39;52;70;1;6;4;18;14;2;0
2020-05-15 11:45:00;49;54;70;8;6;3;12;10;7;21
2020-05-15 12:00:00;52;65;91;3;13;4;29;25;1;0
2020-05-15 12:15:00;49;61;80;6;4;2;21;12;0;0
2020-05-15 12:30:00;51;48;54;5;7;6;15;15;1;2
2020-05-15 12:45:00;43;56;63;3;3;2;16;13;2;6
2020-05-15 13:00:00;44;50;69;2;4;4;17;12;1;0
2020-05-15 13:15:00;54;58;68;2;12;3;22;20;1;0
2020-05-15 13:30:00;78;73;127;6;48;4;113;48;0;0
2020-05-15 13:45:00;73;52;117;19;12;4;73;40;3;5
2020-05-15 14:00:00;73;47;137;7;14;3;39;35;1;3
2020-05-15 14:15:00;35;38;33;0;6;1;17;16;0;11
2020-05-15 14:30:00;51;94;88;5;7;6;39;16;2;55
2020-05-15 14:45:00;34;67;61;7;10;4;20;14;1;0
2020-05-15 15:00:00;39;53;76;3;9;3;37;21;4;90
2020-05-15 15:15:00;49;65;66;2;12;6;32;19;3;0
2020-05-15 15:30:00;37;74;70;4;11;1;28;19;2;5
2020-05-15 15:45:00;36;46;55;3;7;1;19;22;2;15
2020-05-15 16:00:00;40;54;61;2;10;3;19;15;2;8
2020-05-15 16:15:00;39;56;73;1;2;2;16;13;0;7
2020-05-15 16:30:00;53;62;83;6;3;4;13;10;4;9
2020-05-15 16:45:00;41;61;56;7;3;3;18;16;2;10
2020-05-15 17:00:00;41;55;50;5;2;0;16;11;5;0
2020-05-15 17:15:00;34;51;71;7;4;2;15;11;5;0
2020-05-15 17:30:00;12;17;32;3;1;0;8;3;0;0
2020-05-15 17:45:00;
2020-05-15 18:00:00;
2020-05-15 18:15:00;
2020-05-15 18:30:00;
2020-05-15 18:45:00;23;23;48;1;1;2;4;3;1;0
2020-05-15 19:00:00;30;49;50;6;6;5;7;11;4;6
2020-05-15 19:15:00;22;28;55;5;3;1;2;5;1;4
2020-05-15 19:30:00;25;32;50;2;1;3;5;5;1;0
2020-05-15 19:45:00;20;26;58;3;2;0;3;4;0;0
2020-05-15 20:00:00;27;23;41;7;3;1;1;8;0;0
2020-05-15 20:15:00;16;18;32;4;5;2;1;6;0;0
2020-05-15 20:30:00;17;19;25;2;4;1;2;6;0;0
2020-05-15 20:45:00;34;20;24;3;2;1;13;27;0;0
2020-05-15 21:00:00;41;17;35;6;41;1;103;48;2;1
2020-05-15 21:15:00;95;22;62;4;11;5;19;11;0;0
2020-05-15 21:30:00;91;18;62;1;7;6;4;12;1;2
2020-05-15 21:45:00;26;17;18;2;4;1;5;6;1;1
2020-05-15 22:00:00;26;36;20;2;4;0;22;15;0;0
2020-05-15 22:15:00;12;15;5;5;4;0;6;15;0;0
2020-05-15 22:30:00;9;9;7;2;2;1;2;5;0;0
2020-05-15 22:45:00;9;9;10;3;0;0;0;3;0;0
2020-05-15 23:00:00;12;10;3;3;0;0;0;7;0;0
2020-05-15 23:15:00;7;4;9;1;2;2;1;8;0;0
2020-05-15 23:30:00;9;10;10;5;0;0;1;4;0;0
2020-05-15 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
