DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-02-03 00:00:00;3;4;8;0;0;5;0;0;0;0;0;0
2020-02-03 00:15:00;4;4;6;0;5;4;0;0;0;0;0;0
2020-02-03 00:30:00;0;4;8;0;0;4;0;0;0;0;0;0
2020-02-03 00:45:00;5;10;8;0;1;3;0;0;0;0;0;0
2020-02-03 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-03 01:15:00;4;5;8;0;0;4;0;0;0;0;0;0
2020-02-03 01:30:00;2;4;4;0;0;1;0;0;0;0;0;0
2020-02-03 01:45:00;0;3;5;0;0;2;0;0;0;0;0;0
2020-02-03 02:00:00;0;0;3;0;0;3;0;0;0;0;0;0
2020-02-03 02:15:00;0;1;1;0;0;0;0;0;0;0;0;0
2020-02-03 02:30:00;2;1;5;0;0;4;0;0;0;0;0;0
2020-02-03 02:45:00;3;4;6;0;0;3;0;0;0;0;0;0
2020-02-03 03:00:00;2;4;6;0;1;3;0;0;0;0;0;0
2020-02-03 03:15:00;1;4;6;0;0;2;0;0;0;0;0;0
2020-02-03 03:30:00;1;3;5;3;0;1;0;0;0;0;0;0
2020-02-03 03:45:00;1;2;2;1;0;1;0;0;0;0;0;0
2020-02-03 04:00:00;0;1;4;0;0;4;0;0;0;0;0;0
2020-02-03 04:15:00;0;2;4;0;1;2;0;0;0;0;0;0
2020-02-03 04:30:00;4;6;4;0;0;0;0;0;0;0;0;0
2020-02-03 04:45:00;5;2;5;0;0;4;0;0;0;0;0;0
2020-02-03 05:00:00;5;5;8;0;0;5;0;0;0;0;0;0
2020-02-03 05:15:00;9;7;10;1;0;5;0;0;0;0;0;0
2020-02-03 05:30:00;9;9;17;1;3;12;0;0;0;0;0;0
2020-02-03 05:45:00;14;24;31;1;4;13;0;0;0;0;0;0
2020-02-03 06:00:00;8;20;38;3;5;25;0;0;0;0;0;0
2020-02-03 06:15:00;25;39;51;8;7;27;0;0;0;0;0;0
2020-02-03 06:30:00;25;41;51;14;7;37;0;0;0;0;0;0
2020-02-03 06:45:00;35;56;62;30;8;41;0;0;0;0;0;0
2020-02-03 07:00:00;42;82;83;59;8;42;0;0;0;0;0;0
2020-02-03 07:15:00;63;133;92;78;9;80;0;0;0;2;0;0
2020-02-03 07:30:00;73;156;93;76;16;81;0;0;0;0;0;0
2020-02-03 07:45:00;92;170;141;51;9;77;1;1;0;0;0;0
2020-02-03 08:00:00;88;92;105;22;7;83;0;0;0;0;0;0
2020-02-03 08:15:00;67;86;99;23;9;61;0;0;1;0;0;0
2020-02-03 08:30:00;53;60;82;33;9;67;1;0;2;0;0;0
2020-02-03 08:45:00;46;63;97;20;6;55;0;0;0;0;0;0
2020-02-03 09:00:00;40;54;88;13;7;47;0;0;1;0;0;0
2020-02-03 09:15:00;50;57;89;15;7;49;0;0;0;0;0;0
2020-02-03 09:30:00;45;47;67;16;10;52;0;0;0;0;0;0
2020-02-03 09:45:00;44;57;92;18;5;58;0;0;0;0;0;0
2020-02-03 10:00:00;36;51;89;9;9;56;0;0;0;0;0;0
2020-02-03 10:15:00;38;48;102;9;6;71;0;0;3;0;0;0
2020-02-03 10:30:00;37;52;98;13;8;65;0;0;0;0;0;0
2020-02-03 10:45:00;41;63;101;12;5;67;0;0;0;0;0;0
2020-02-03 11:00:00;36;48;85;13;8;70;0;0;0;0;0;0
